aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,9.236399e-01,1,9.236399e-01,1,19,52,0
E,1,9.236399e-01,1,9.236399e-01,1,19,61,0
E,1,9.236399e-01,1,9.236399e-01,1,19,126,0
E,1,9.236399e-01,1,9.236399e-01,1,19,242,0
E,1,9.236399e-01,1,9.236399e-01,1,19,340,0
E,1,9.236399e-01,1,9.236399e-01,1,19,349,0
E,1,9.236399e-01,1,9.236399e-01,1,19,376,0
E,1,9.236399e-01,1,9.236399e-01,1,19,388,0
E,1,9.236399e-01,1,9.236399e-01,1,19,391,0
E,1,9.236399e-01,1,9.236399e-01,1,19,626,0
E,1,9.236399e-01,1,9.236399e-01,1,19,638,0
E,1,9.236399e-01,1,9.236399e-01,1,19,641,0
E,1,9.236399e-01,1,9.236399e-01,1,19,643,0
E,1,9.236399e-01,1,9.236399e-01,1,19,688,0
E,1,9.236399e-01,1,9.236399e-01,1,19,715,0
E,1,9.236399e-01,1,9.236399e-01,1,19,854,0
E,1,9.236399e-01,1,9.236399e-01,1,19,873,0
E,1,9.236399e-01,1,9.236399e-01,1,19,896,0
E,1,9.236399e-01,1,9.236399e-01,1,19,978,0
E,2,8.531106e-01,1,8.531106e-01,1,22,28,0
E,2,8.531106e-01,1,8.531106e-01,1,22,58,0
E,2,8.531106e-01,1,8.531106e-01,1,22,83,0
E,2,8.531106e-01,1,8.531106e-01,1,22,135,0
E,2,8.531106e-01,1,8.531106e-01,1,22,192,0
E,2,8.531106e-01,1,8.531106e-01,1,22,193,0
E,2,8.531106e-01,1,8.531106e-01,1,22,201,0
E,2,1.410585e-01,1,8.531106e-01,1,5,220,0
E,2,8.531106e-01,1,8.531106e-01,1,22,304,0
E,2,8.531106e-01,1,8.531106e-01,1,22,323,0
E,2,1.410585e-01,1,8.531106e-01,1,5,350,0
E,2,1.410585e-01,1,8.531106e-01,1,5,356,0
E,2,8.531106e-01,1,8.531106e-01,1,22,358,0
E,2,8.531106e-01,1,8.531106e-01,1,22,378,0
E,2,8.531106e-01,1,8.531106e-01,1,22,470,0
E,2,8.531106e-01,1,8.531106e-01,1,22,484,0
E,2,8.531106e-01,1,8.531106e-01,1,22,503,0
E,2,8.531106e-01,1,8.531106e-01,1,22,505,0
E,2,8.531106e-01,1,8.531106e-01,1,22,538,0
E,2,8.531106e-01,1,8.531106e-01,1,22,545,0
E,2,1.410585e-01,1,8.531106e-01,1,5,554,0
E,2,1.410585e-01,1,8.531106e-01,1,5,565,0
E,2,8.531106e-01,1,8.531106e-01,1,22,623,0
E,2,8.531106e-01,1,8.531106e-01,1,22,653,0
E,2,8.531106e-01,1,8.531106e-01,1,22,734,0
E,2,8.531106e-01,1,8.531106e-01,1,22,852,0
E,2,8.531106e-01,1,8.531106e-01,1,22,939,0
E,3,7.879670e-01,1,7.879670e-01,1,23,9,0
E,3,7.879670e-01,1,7.879670e-01,1,23,19,0
E,3,7.879670e-01,1,7.879670e-01,1,23,63,0
E,3,7.879670e-01,1,7.879670e-01,1,23,80,0
E,3,7.879670e-01,1,7.879670e-01,1,23,148,0
E,3,1.954309e-01,1,7.879670e-01,1,7,161,0
E,3,1.954309e-01,1,7.879670e-01,1,7,218,0
E,3,1.954309e-01,1,7.879670e-01,1,7,236,0
E,3,7.879670e-01,1,7.879670e-01,1,23,273,0
E,3,7.879670e-01,1,7.879670e-01,1,23,294,0
E,3,7.879670e-01,1,7.879670e-01,1,23,298,0
E,3,7.879670e-01,1,7.879670e-01,1,23,347,0
E,3,7.879670e-01,1,7.879670e-01,1,23,363,0
E,3,7.879670e-01,1,7.879670e-01,1,23,367,0
E,3,7.879670e-01,1,7.879670e-01,1,23,389,0
E,3,7.879670e-01,1,7.879670e-01,1,23,402,0
E,3,7.879670e-01,1,7.879670e-01,1,23,420,0
E,3,7.879670e-01,1,7.879670e-01,1,23,494,0
E,3,7.879670e-01,1,7.879670e-01,1,23,511,0
E,3,7.879670e-01,1,7.879670e-01,1,23,564,0
E,3,7.879670e-01,1,7.879670e-01,1,23,577,0
E,3,1.954309e-01,1,7.879670e-01,1,7,596,0
E,3,7.879670e-01,1,7.879670e-01,1,23,616,0
E,3,1.954309e-01,1,7.879670e-01,1,7,633,0
E,3,1.954309e-01,1,7.879670e-01,1,7,674,0
E,3,7.879670e-01,1,7.879670e-01,1,23,687,0
E,3,7.879670e-01,1,7.879670e-01,1,23,717,0
E,3,7.879670e-01,1,7.879670e-01,1,23,903,0
E,3,1.954309e-01,1,7.879670e-01,1,7,916,0
E,3,7.879670e-01,1,7.879670e-01,1,23,942,0
E,4,2.406770e-01,1,7.277977e-01,1,8,25,1
E,4,7.277977e-01,1,7.277977e-01,1,30,31,1
E,4,7.277977e-01,1,7.277977e-01,1,30,49,1
E,4,7.277977e-01,1,7.277977e-01,1,30,57,1
E,4,2.406770e-01,1,7.277977e-01,1,8,106,1
E,4,2.406770e-01,1,7.277977e-01,1,8,129,1
E,4,7.277977e-01,1,7.277977e-01,1,30,160,1
E,4,7.277977e-01,1,7.277977e-01,1,30,238,1
E,4,7.277977e-01,1,7.277977e-01,1,30,247,1
E,4,7.277977e-01,1,7.277977e-01,1,30,274,1
E,4,7.277977e-01,1,7.277977e-01,1,30,296,1
E,4,7.277977e-01,1,7.277977e-01,1,30,333,1
E,4,7.277977e-01,1,7.277977e-01,1,30,334,1
E,4,7.277977e-01,1,7.277977e-01,1,30,361,1
E,4,2.406770e-01,1,7.277977e-01,1,8,422,1
E,4,2.406770e-01,1,7.277977e-01,1,8,449,1
E,4,7.277977e-01,1,7.277977e-01,1,30,504,1
E,4,2.406770e-01,1,7.277977e-01,1,8,506,1
E,4,7.277977e-01,1,7.277977e-01,1,30,546,1
E,4,7.277977e-01,1,7.277977e-01,1,30,588,1
E,4,7.277977e-01,1,7.277977e-01,1,30,595,1
E,4,7.277977e-01,1,7.277977e-01,1,30,627,1
E,4,7.277977e-01,1,7.277977e-01,1,30,649,1
E,4,2.984626e-02,1,7.277977e-01,1,1,693,1
E,4,7.277977e-01,1,7.277977e-01,1,30,703,1
E,4,7.277977e-01,1,7.277977e-01,1,30,737,1
E,4,7.277977e-01,1,7.277977e-01,1,30,738,1
E,4,7.277977e-01,1,7.277977e-01,1,30,764,1
E,4,7.277977e-01,1,7.277977e-01,1,30,771,1
E,4,7.277977e-01,1,7.277977e-01,1,30,825,1
E,4,7.277977e-01,1,7.277977e-01,1,30,828,1
E,4,7.277977e-01,1,7.277977e-01,1,30,830,1
E,4,7.277977e-01,1,7.277977e-01,1,30,836,1
E,4,7.277977e-01,1,7.277977e-01,1,30,842,1
E,4,7.277977e-01,1,7.277977e-01,1,30,846,1
E,4,2.406770e-01,1,7.277977e-01,1,8,875,1
E,4,7.277977e-01,1,7.277977e-01,1,30,889,1
E,4,7.277977e-01,1,7.277977e-01,1,30,962,1
E,4,2.406770e-01,1,7.277977e-01,1,8,977,1
E,5,2.778736e-01,1,6.722230e-01,1,10,69,1
E,5,2.778736e-01,1,6.722230e-01,1,10,82,1
E,5,6.722230e-01,1,6.722230e-01,1,23,146,1
E,5,6.722230e-01,1,6.722230e-01,1,23,177,1
E,5,2.778736e-01,1,6.722230e-01,1,10,181,1
E,5,2.778736e-01,1,6.722230e-01,1,10,197,1
E,5,2.778736e-01,1,6.722230e-01,1,10,200,1
E,5,2.778736e-01,1,6.722230e-01,1,10,215,1
E,5,6.722230e-01,1,6.722230e-01,1,23,228,1
E,5,6.722230e-01,1,6.722230e-01,1,23,244,1
E,5,6.722230e-01,1,6.722230e-01,1,23,310,1
E,5,6.722230e-01,1,6.722230e-01,1,23,341,1
E,5,6.722230e-01,1,6.722230e-01,1,23,355,1
E,5,6.722230e-01,1,6.722230e-01,1,23,406,1
E,5,6.722230e-01,1,6.722230e-01,1,23,414,1
E,5,6.722230e-01,1,6.722230e-01,1,23,417,1
E,5,2.778736e-01,1,6.722230e-01,1,10,432,1
E,5,6.722230e-01,1,6.722230e-01,1,23,452,1
E,5,2.778736e-01,1,6.722230e-01,1,10,457,1
E,5,6.722230e-01,1,6.722230e-01,1,23,464,1
E,5,6.722230e-01,1,6.722230e-01,1,23,516,1
E,5,6.722230e-01,1,6.722230e-01,1,23,530,1
E,5,2.778736e-01,1,6.722230e-01,1,10,576,1
E,5,6.722230e-01,1,6.722230e-01,1,23,637,1
E,5,6.722230e-01,1,6.722230e-01,1,23,719,1
E,5,6.722230e-01,1,6.722230e-01,1,23,750,1
E,5,6.722230e-01,1,6.722230e-01,1,23,779,1
E,5,6.722230e-01,1,6.722230e-01,1,23,781,1
