aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,62,1,1
E,1,5.000000e-01,2,5.000000e-01,2,62,24,1
E,1,5.000000e-01,2,5.000000e-01,2,62,179,1
E,1,5.000000e-01,2,5.000000e-01,2,62,270,1
E,1,5.000000e-01,2,5.000000e-01,2,62,276,1
E,1,5.000000e-01,2,5.000000e-01,2,62,421,1
E,1,5.000000e-01,2,5.000000e-01,2,62,428,1
E,1,5.000000e-01,2,5.000000e-01,2,62,520,1
E,1,5.000000e-01,2,5.000000e-01,2,62,616,1
E,1,5.000000e-01,2,5.000000e-01,2,62,684,1
E,1,5.000000e-01,2,5.000000e-01,2,62,750,1
E,1,5.000000e-01,2,5.000000e-01,2,62,776,1
E,1,5.000000e-01,2,5.000000e-01,2,62,778,1
E,1,5.000000e-01,2,5.000000e-01,2,62,810,1
E,1,5.000000e-01,2,5.000000e-01,2,62,946,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1013,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1052,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1084,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1156,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1237,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1266,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1351,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1437,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1469,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1649,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1806,1
E,1,5.000000e-01,2,5.000000e-01,2,62,1897,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2009,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2135,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2294,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2318,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2352,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2368,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2371,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2411,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2557,1
E,1,5.000000e-01,2,5.000000e-01,2,62,2600,1
