aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,7.806642e-01,1,7.806642e-01,1,15,353,0
E,1,7.806642e-01,1,7.806642e-01,1,15,562,0
E,1,7.806642e-01,1,7.806642e-01,1,15,737,0
E,1,7.806642e-01,1,7.806642e-01,1,15,962,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1023,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1164,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1277,0
E,1,2.193358e-01,1,7.806642e-01,1,5,1414,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1454,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1527,0
E,1,2.193358e-01,1,7.806642e-01,1,5,1532,0
E,1,2.193358e-01,1,7.806642e-01,1,5,1539,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1598,0
E,1,2.193358e-01,1,7.806642e-01,1,5,1679,0
E,1,7.806642e-01,1,7.806642e-01,1,15,1875,0
E,1,2.193358e-01,1,7.806642e-01,1,5,2173,0
E,1,7.806642e-01,1,7.806642e-01,1,15,2225,0
E,1,7.806642e-01,1,7.806642e-01,1,15,2479,0
E,1,7.806642e-01,1,7.806642e-01,1,15,2520,0
E,1,7.806642e-01,1,7.806642e-01,1,15,2534,0
E,2,3.424552e-01,1,6.094366e-01,1,11,13,1
E,2,6.094366e-01,1,6.094366e-01,1,11,19,1
E,2,3.424552e-01,1,6.094366e-01,1,11,152,1
E,2,3.424552e-01,1,6.094366e-01,1,11,640,1
E,2,3.424552e-01,1,6.094366e-01,1,11,952,1
E,2,6.094366e-01,1,6.094366e-01,1,11,986,1
E,2,6.094366e-01,1,6.094366e-01,1,11,1246,1
E,2,6.094366e-01,1,6.094366e-01,1,11,1283,1
E,2,3.424552e-01,1,6.094366e-01,1,11,1286,1
E,2,3.424552e-01,1,6.094366e-01,1,11,1416,1
E,2,3.424552e-01,1,6.094366e-01,1,11,1593,1
E,2,3.424552e-01,1,6.094366e-01,1,11,1900,1
E,2,6.094366e-01,1,6.094366e-01,1,11,1975,1
E,2,3.424552e-01,1,6.094366e-01,1,11,2100,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2148,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2253,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2274,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2301,1
E,2,3.424552e-01,1,6.094366e-01,1,11,2524,1
E,2,3.424552e-01,1,6.094366e-01,1,11,2533,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2556,1
E,2,6.094366e-01,1,6.094366e-01,1,11,2635,1
E,3,4.010138e-01,1,4.757654e-01,1,21,48,1
E,3,4.757654e-01,1,4.757654e-01,1,21,276,1
E,3,4.757654e-01,1,4.757654e-01,1,21,301,1
E,3,4.757654e-01,1,4.757654e-01,1,21,325,1
E,3,1.126690e-01,1,4.757654e-01,1,5,343,1
E,3,4.010138e-01,1,4.757654e-01,1,21,389,1
E,3,4.757654e-01,1,4.757654e-01,1,21,400,1
E,3,4.757654e-01,1,4.757654e-01,1,21,427,1
E,3,4.757654e-01,1,4.757654e-01,1,21,428,1
E,3,4.010138e-01,1,4.757654e-01,1,21,434,1
E,3,4.757654e-01,1,4.757654e-01,1,21,491,1
E,3,1.126690e-01,1,4.757654e-01,1,5,544,1
E,3,4.010138e-01,1,4.757654e-01,1,21,636,1
E,3,1.126690e-01,1,4.757654e-01,1,5,745,1
E,3,4.010138e-01,1,4.757654e-01,1,21,924,1
E,3,4.757654e-01,1,4.757654e-01,1,21,950,1
E,3,4.010138e-01,1,4.757654e-01,1,21,981,1
E,3,1.126690e-01,1,4.757654e-01,1,5,1080,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1100,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1147,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1165,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1222,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1275,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1294,1
E,3,1.055185e-02,1,4.757654e-01,1,1,1296,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1320,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1347,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1460,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1480,1
E,3,1.126690e-01,1,4.757654e-01,1,5,1619,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1704,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1759,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1877,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1887,1
E,3,4.757654e-01,1,4.757654e-01,1,21,1960,1
E,3,4.010138e-01,1,4.757654e-01,1,21,1962,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2067,1
E,3,4.757654e-01,1,4.757654e-01,1,21,2153,1
E,3,4.757654e-01,1,4.757654e-01,1,21,2320,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2378,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2385,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2406,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2460,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2466,1
E,3,4.757654e-01,1,4.757654e-01,1,21,2515,1
E,3,4.757654e-01,1,4.757654e-01,1,21,2527,1
E,3,4.010138e-01,1,4.757654e-01,1,21,2555,1
E,3,4.757654e-01,1,4.757654e-01,1,21,2558,1
E,4,3.714130e-01,1,4.174095e-01,1,24,369,0
E,4,4.174095e-01,1,4.174095e-01,1,19,462,0
E,4,1.759133e-01,1,4.174095e-01,1,4,501,0
E,4,4.174095e-01,1,4.174095e-01,1,19,502,0
E,4,4.174095e-01,1,4.174095e-01,1,19,596,0
E,4,3.294980e-02,1,4.174095e-01,1,4,602,0
E,4,3.714130e-01,1,4.174095e-01,1,24,664,0
E,4,4.174095e-01,1,4.174095e-01,1,19,701,0
E,4,3.714130e-01,1,4.174095e-01,1,24,702,0
E,4,4.174095e-01,1,4.174095e-01,1,19,709,0
E,4,4.174095e-01,1,4.174095e-01,1,19,713,0
E,4,4.174095e-01,1,4.174095e-01,1,19,738,0
E,4,3.714130e-01,1,4.174095e-01,1,24,805,0
E,4,4.174095e-01,1,4.174095e-01,1,19,871,0
E,4,1.759133e-01,1,4.174095e-01,1,4,889,0
E,4,3.714130e-01,1,4.174095e-01,1,24,890,0
E,4,3.714130e-01,1,4.174095e-01,1,24,923,0
E,4,3.294980e-02,1,4.174095e-01,1,4,1034,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1183,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1240,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1288,0
E,4,1.759133e-01,1,4.174095e-01,1,4,1316,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1325,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1357,0
E,4,3.294980e-02,1,4.174095e-01,1,4,1373,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1413,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1417,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1443,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1464,0
E,4,1.759133e-01,1,4.174095e-01,1,4,1478,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1489,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1566,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1622,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1689,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1692,0
E,4,3.294980e-02,1,4.174095e-01,1,4,1755,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1814,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1860,0
E,4,4.174095e-01,1,4.174095e-01,1,19,1963,0
E,4,3.714130e-01,1,4.174095e-01,1,24,1964,0
E,4,4.174095e-01,1,4.174095e-01,1,19,2027,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2060,0
E,4,4.174095e-01,1,4.174095e-01,1,19,2155,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2180,0
E,4,4.174095e-01,1,4.174095e-01,1,19,2260,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2297,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2346,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2419,0
E,4,4.174095e-01,1,4.174095e-01,1,19,2446,0
E,4,4.174095e-01,1,4.174095e-01,1,19,2477,0
E,4,3.714130e-01,1,4.174095e-01,1,24,2517,0
E,5,4.073208e-01,1,4.073208e-01,1,31,54,1
E,5,4.073208e-01,1,4.073208e-01,1,31,63,1
E,5,2.899488e-01,1,4.073208e-01,1,22,87,1
E,5,4.073208e-01,1,4.073208e-01,1,31,97,1
E,5,2.899488e-01,1,4.073208e-01,1,22,101,1
E,5,2.899488e-01,1,4.073208e-01,1,22,111,1
E,5,4.073208e-01,1,4.073208e-01,1,31,127,1
E,5,4.073208e-01,1,4.073208e-01,1,31,171,1
E,5,4.073208e-01,1,4.073208e-01,1,31,190,1
E,5,2.288821e-01,1,4.073208e-01,1,19,192,1
E,5,2.288821e-01,1,4.073208e-01,1,19,240,1
