species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00054,0.000750,0.076277,62
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0020,0.000750,0.076277,62
saccharomyces_arboricola_h_6,SU7_0012,0.004246,0.256760,69
saccharomyces_eubayanus,DI49_0020,0.010864,0.531663,60
torulaspora_delbrueckii,TDEL_0H04190,0.003604,0.240600,57
tetrapisispora_phaffii_cbs_4417,TPHA_0H02920,0.160020,0.999796,57
zygosaccharomyces_rouxii,ZYRO0D04950g,0.159370,0.999941,53
tetrapisispora_blattae_cbs_6284,TBLA_0A04470,0.150054,0.999941,54
vanderwaltozyma_polyspora_dsm_70294,Kpol_367p2,0.199087,0.999838,59
zygosaccharomyces_bailii_isa1307,ZBAI_06792,0.011667,0.467608,47
kazachstania_naganishii_cbs_8797,KNAG_0D05020,0.180975,0.999989,38
naumovozyma_castellii_cbs_4309,NCAS_0A07560,0.056931,0.954536,52
zygosaccharomyces_bailii_isa1307,ZBAI_04947,0.023082,0.684733,48
naumovozyma_dairenensis_cbs_421,NDAI_0H01120,0.019367,0.751601,68
_candida_glabrata,CAGL0M11968g,-0.000000,0.045380,53
kazachstania_africana_cbs_2517,KAFR_0K00480,0.091663,0.999770,66
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR388C,0.030253,0.804593,51
lachancea_thermotolerans_cbs_6340,KLTH0D01166g,0.016479,0.639612,56
ashbya_gossypii,AGOS_ADR388C,0.047779,0.926968,52
lachancea_lanzarotensis,LALA0_S14e01068g,0.032345,0.870636,58
kluyveromyces_lactis,KLLA0_C12969g,0.057083,0.932801,46
kluyveromyces_marxianus_dmku3_1042,KLMA_80244,0.026953,0.747289,47
eremothecium_cymbalariae_dbvpg_7215,Ecym_5031,0.136354,0.999910,56
eremothecium_sinecaudum,AW171_hschr42442,0.008073,0.372434,53
hanseniaspora_uvarum_dsm_2768,D499_0O00120,0.131830,0.999709,81
hanseniaspora_osmophila,AWRI3579_g217,0.332859,0.975656,9
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_53979,NaN,NaN,NaN
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_53995,0.042935,0.944778,65
hanseniaspora_opuntiae,AWRI3578_g1098,0.080031,0.999950,75
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_84905,0.127758,0.999941,54
cyberlindnera_jadinii,BN1211_3776,0.006455,0.361112,57
wickerhamomyces_ciferrii,BN7_1767,0.321608,0.999718,69
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_160720,0.335090,0.999794,26
scheffersomyces_stipitis_cbs_6054,PICST_91075,0.112540,0.999917,60
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0N16799g,0.089419,0.999720,61
debaryomyces_fabryi,AC631_02470,0.080256,0.994777,58
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_138194,0.101185,0.997500,52
brettanomyces_bruxellensis_awri1499,AWRI1499_3911,0.018595,0.378519,12
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_115945,0.171740,0.999984,41
candida_parapsilosis_cdc317,CPAR2_303780,0.049747,0.915148,47
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0M16402g,0.075827,0.995348,63
meyerozyma_guilliermondii_atcc_6260,PGUG_03379,0.016301,0.431851,26
kuraishia_capsulata_cbs_1993,KUCA_T00002832001,0.031468,0.722319,35
_candida_tenuis_atcc_10573,CANTEDRAFT_98656,0.152611,0.999779,52
_candida_auris,QG37_08068,0.006433,0.289049,43
ogataea_polymorpha,OGAPODRAFT_16793,0.458752,0.999730,30
lodderomyces_elongisporus_nrrl_yb_4239,LELG_03712,0.017012,0.612455,48
clavispora_lusitaniae_atcc_42720,CLUG_00866,0.080058,0.988414,52
debaryomyces_hansenii_cbs767,DEHA2E11836g,0.091780,0.997963,56
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_178028,0.030761,0.901690,73
candida_dubliniensis_cd36,CD36_51820,0.121137,0.999585,55
candida_maltosa_xu316,G210_3378,0.145303,0.999585,55
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_19239,0.231279,0.999585,55
komagataella_phaffii_cbs_7435,PP7435_CHR1-1334,0.005749,0.293714,45
ogataea_parapolymorpha_dl_1,HPODL_00372,0.503186,0.999701,31
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_32583,0.076294,0.994452,60
candida_albicans_wo_1,CAWG_04582,0.105177,0.999910,56
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_21994,0.067457,0.977966,53
candida_orthopsilosis_co_90_125,CORT_0E05940,0.015670,0.544514,44
pichia_kudriavzevii,JL09_g3998,0.038765,0.977962,92
candida_tropicalis_mya_3404,CTRG_05313,0.092783,0.996523,54
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_115098,0.308572,0.999872,64
komagataella_pastoris,PAS_chr1-4_0533,0.005749,0.293714,45
sugiyamaella_lignohabitans,AWJ20_3245,0.144675,0.999404,41
yarrowia_lipolytica,YALI0_C14828g,0.200463,0.999984,41
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_84393,0.120136,0.999934,73
geotrichum_candidum,BN980_GECA13s01352g,0.342392,0.999720,61
geotrichum_candidum,BN980_GECA24s00758g,0.101265,0.992017,45
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_108927,0.116381,0.997535,44
tortispora_caseinolytica_nrrl_y_17796,CANCADRAFT_14730,0.042909,0.839546,41
tuber_melanosporum,GSTUM_00007328001,0.020270,0.619141,46
drechslerella_stenobrocha_248,DRE_06013,0.064744,0.950859,45
dactylellina_haptotyla_cbs_200_50,H072_4086,0.030793,0.803619,49
arthrobotrys_oligospora_atcc_24927,AOL_s00078g46,0.044655,0.916415,53
pyronema_omphalodes_cbs_100304,PCON_08710,0.107588,0.998466,50
schizosaccharomyces_octosporus,SOCG_00434,0.050810,0.936358,51
pneumocystis_carinii_b80,T552_03331,0.184779,0.999950,75
saitoella_complicata_nrrl_y_17804,G7K_5131-t1,0.281579,0.999960,68
