aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,8,151,0
E,1,5.000000e-01,2,5.000000e-01,2,8,343,1
E,1,5.000000e-01,2,5.000000e-01,2,8,473,0
E,1,5.000000e-01,2,5.000000e-01,2,8,811,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1251,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1499,1
E,1,5.000000e-01,2,5.000000e-01,2,8,1557,0
E,1,5.000000e-01,2,5.000000e-01,2,8,1813,0
E,2,2.500000e-01,2,5.000000e-01,1,7,120,2
E,2,5.000000e-01,1,5.000000e-01,1,7,699,1
E,2,5.000000e-01,1,5.000000e-01,1,7,759,1
E,2,2.500000e-01,2,5.000000e-01,1,7,797,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1213,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1509,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1517,0
E,2,5.000000e-01,1,5.000000e-01,1,7,1588,1
E,2,5.000000e-01,1,5.000000e-01,1,7,1618,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1677,2
E,2,5.000000e-01,1,5.000000e-01,1,7,1678,1
E,2,2.500000e-01,2,5.000000e-01,1,7,1786,0
E,2,2.500000e-01,2,5.000000e-01,1,7,1795,2
E,2,2.500000e-01,2,5.000000e-01,1,7,1796,0
E,3,3.750000e-01,2,3.750000e-01,2,16,126,2
E,3,1.250000e-01,2,3.750000e-01,2,5,198,0
E,3,3.750000e-01,2,3.750000e-01,2,16,347,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1036,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1078,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1153,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1165,2
E,3,1.250000e-01,2,3.750000e-01,2,5,1222,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1260,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1273,2
E,3,3.750000e-01,2,3.750000e-01,2,16,1282,1
E,3,1.250000e-01,2,3.750000e-01,2,5,1300,0
E,3,1.250000e-01,2,3.750000e-01,2,5,1311,0
E,3,3.750000e-01,2,3.750000e-01,2,16,1355,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1505,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1525,1
E,3,1.250000e-01,2,3.750000e-01,2,5,1604,3
E,3,3.750000e-01,2,3.750000e-01,2,16,1647,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1761,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1767,1
E,3,3.750000e-01,2,3.750000e-01,2,16,1785,2
E,4,3.750000e-01,1,3.750000e-01,1,14,10,2
E,4,2.500000e-01,2,3.750000e-01,1,18,69,3
E,4,6.250000e-02,2,3.750000e-01,1,9,113,0
E,4,2.500000e-01,2,3.750000e-01,1,18,145,3
E,4,2.500000e-01,2,3.750000e-01,1,18,181,3
E,4,2.500000e-01,2,3.750000e-01,1,18,229,1
E,4,2.500000e-01,2,3.750000e-01,1,18,231,3
E,4,6.250000e-02,2,3.750000e-01,1,9,299,0
E,4,2.500000e-01,2,3.750000e-01,1,18,310,1
E,4,3.750000e-01,1,3.750000e-01,1,14,500,2
E,4,3.750000e-01,1,3.750000e-01,1,14,501,2
E,4,2.500000e-01,2,3.750000e-01,1,18,519,1
E,4,3.750000e-01,1,3.750000e-01,1,14,558,2
E,4,2.500000e-01,2,3.750000e-01,1,18,804,3
E,4,6.250000e-02,2,3.750000e-01,1,9,881,4
E,4,6.250000e-02,2,3.750000e-01,1,9,891,4
E,4,3.750000e-01,1,3.750000e-01,1,14,950,2
E,4,3.750000e-01,1,3.750000e-01,1,14,991,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1079,1
E,4,3.750000e-01,1,3.750000e-01,1,14,1081,2
E,4,3.750000e-01,1,3.750000e-01,1,14,1108,2
E,4,3.750000e-01,1,3.750000e-01,1,14,1120,2
E,4,3.750000e-01,1,3.750000e-01,1,14,1182,2
E,4,6.250000e-02,2,3.750000e-01,1,9,1240,0
E,4,2.500000e-01,2,3.750000e-01,1,18,1253,1
E,4,2.500000e-01,2,3.750000e-01,1,18,1267,1
E,4,2.500000e-01,2,3.750000e-01,1,18,1274,1
E,4,2.500000e-01,2,3.750000e-01,1,18,1335,1
E,4,3.750000e-01,1,3.750000e-01,1,14,1339,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1342,1
E,4,6.250000e-02,2,3.750000e-01,1,9,1348,4
E,4,6.250000e-02,2,3.750000e-01,1,9,1410,0
E,4,6.250000e-02,2,3.750000e-01,1,9,1490,0
E,4,3.750000e-01,1,3.750000e-01,1,14,1493,2
E,4,3.750000e-01,1,3.750000e-01,1,14,1562,2
E,4,6.250000e-02,2,3.750000e-01,1,9,1586,0
E,4,2.500000e-01,2,3.750000e-01,1,18,1587,1
E,4,3.750000e-01,1,3.750000e-01,1,14,1782,2
E,4,2.500000e-01,2,3.750000e-01,1,18,1798,1
E,4,2.500000e-01,2,3.750000e-01,1,18,1799,1
E,4,2.500000e-01,2,3.750000e-01,1,18,1833,1
E,5,1.562500e-01,2,3.125000e-01,2,4,6,4
E,5,1.562500e-01,2,3.125000e-01,2,4,246,1
E,5,3.125000e-01,2,3.125000e-01,2,14,300,2
E,5,3.125000e-01,2,3.125000e-01,2,14,301,3
E,5,3.125000e-02,2,3.125000e-01,2,4,364,5
E,5,3.125000e-01,2,3.125000e-01,2,14,436,2
E,5,3.125000e-02,2,3.125000e-01,2,4,731,5
E,5,3.125000e-01,2,3.125000e-01,2,14,762,2
E,5,3.125000e-01,2,3.125000e-01,2,14,829,2
E,5,3.125000e-01,2,3.125000e-01,2,14,900,2
E,5,3.125000e-01,2,3.125000e-01,2,14,923,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1049,2
E,5,1.562500e-01,2,3.125000e-01,2,4,1237,1
E,5,3.125000e-01,2,3.125000e-01,2,14,1341,2
E,5,3.125000e-02,2,3.125000e-01,2,4,1444,5
E,5,3.125000e-02,2,3.125000e-01,2,4,1445,0
E,5,3.125000e-01,2,3.125000e-01,2,14,1480,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1496,2
E,5,3.125000e-01,2,3.125000e-01,2,14,1584,3
E,5,3.125000e-01,2,3.125000e-01,2,14,1652,2
E,5,1.562500e-01,2,3.125000e-01,2,4,1681,4
E,5,3.125000e-01,2,3.125000e-01,2,14,1756,2
E,6,3.125000e-01,1,3.125000e-01,1,7,56,3
E,6,3.125000e-01,1,3.125000e-01,1,7,68,3
E,6,2.343750e-01,2,3.125000e-01,1,13,133,2
