species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5117,0.440407,0.999891,18
saccharomyces_sp_boulardii_,KO01_05225,0.440407,0.999891,18
saccharomyces_arboricola_h_6,SU7_3682,0.218060,0.970895,19
saccharomyces_eubayanus,DI49_5552,0.447847,0.999889,20
naumovozyma_castellii_cbs_4309,NCAS_0A11490,0.273762,0.988301,17
kazachstania_naganishii_cbs_8797,KNAG_0A07580,0.169140,0.934592,18
kazachstania_africana_cbs_2517,KAFR_0D04270,0.381936,0.996670,14
naumovozyma_dairenensis_cbs_421,NDAI_0A04790,0.368435,0.999135,17
ashbya_gossypii,AGOS_ADR027W,0.304819,0.989804,16
lachancea_lanzarotensis,LALA0_S01e10330g,0.149512,0.870210,16
tetrapisispora_blattae_cbs_6284,TBLA_0C02350,0.900896,0.999984,14
lachancea_thermotolerans_cbs_6340,KLTH0F12232g,0.036977,0.349700,17
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADR027W,0.114536,0.754660,16
eremothecium_sinecaudum,AW171_hschr42680,0.153546,0.885323,16
zygosaccharomyces_bailii_isa1307,ZBAI_05610,0.202940,0.944500,17
vanderwaltozyma_polyspora_dsm_70294,Kpol_284p2,0.498009,0.999979,16
kluyveromyces_lactis,KLLA0_D14663g,0.161342,0.937688,20
zygosaccharomyces_rouxii,ZYRO0C17798g,0.479439,0.999993,17
tetrapisispora_phaffii_cbs_4417,TPHA_0J01170,0.680160,0.999993,17
zygosaccharomyces_bailii_isa1307,ZBAI_00456,0.202940,0.944500,17
torulaspora_delbrueckii,TDEL_0C05590,0.135801,0.889895,20
kluyveromyces_marxianus_dmku3_1042,KLMA_50418,0.092124,0.725734,18
_candida_glabrata,CAGL0G01672g,0.533453,0.999924,19
hanseniaspora_opuntiae,AWRI3578_g1483,0.557248,0.999916,13
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_52101,0.401988,0.994897,12
hanseniaspora_osmophila,AWRI3579_g4534,0.022526,0.320666,18
candida_albicans_wo_1,CAWG_02169,0.069315,0.568893,10
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_31349,0.127591,0.849907,17
candida_orthopsilosis_co_90_125,CORT_0D01280,0.349975,0.987104,12
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0M11518g,0.299573,0.963282,10
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0N11827g,0.286353,0.959092,11
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_156711,0.821453,0.999999,11
candida_tropicalis_mya_3404,CTRG_05959,0.378015,0.992770,12
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_52959,0.571273,0.999916,13
candida_maltosa_xu316,G210_4431,0.464635,0.999276,13
debaryomyces_hansenii_cbs767,DEHA2B06446g,0.224992,0.931309,14
meyerozyma_guilliermondii_atcc_6260,PGUG_00775,0.010129,0.104856,18
debaryomyces_fabryi,AC631_05078,0.310264,0.989488,15
