aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.914440e-01,1,6.914440e-01,1,110,22,0
E,1,6.914440e-01,1,6.914440e-01,1,110,26,0
E,1,6.914440e-01,1,6.914440e-01,1,110,41,0
E,1,6.914440e-01,1,6.914440e-01,1,110,42,0
E,1,6.914440e-01,1,6.914440e-01,1,110,129,0
E,1,3.085560e-01,1,6.914440e-01,1,50,179,0
E,1,3.085560e-01,1,6.914440e-01,1,50,223,0
E,1,6.914440e-01,1,6.914440e-01,1,110,233,0
E,1,6.914440e-01,1,6.914440e-01,1,110,247,0
E,1,3.085560e-01,1,6.914440e-01,1,50,254,0
E,1,6.914440e-01,1,6.914440e-01,1,110,269,0
E,1,6.914440e-01,1,6.914440e-01,1,110,300,0
E,1,6.914440e-01,1,6.914440e-01,1,110,304,0
E,1,3.085560e-01,1,6.914440e-01,1,50,305,0
E,1,6.914440e-01,1,6.914440e-01,1,110,352,0
E,1,6.914440e-01,1,6.914440e-01,1,110,368,0
E,1,6.914440e-01,1,6.914440e-01,1,110,380,0
E,1,6.914440e-01,1,6.914440e-01,1,110,434,0
E,1,6.914440e-01,1,6.914440e-01,1,110,435,0
E,1,6.914440e-01,1,6.914440e-01,1,110,437,0
E,1,6.914440e-01,1,6.914440e-01,1,110,460,0
E,1,6.914440e-01,1,6.914440e-01,1,110,480,0
E,1,3.085560e-01,1,6.914440e-01,1,50,495,0
E,1,6.914440e-01,1,6.914440e-01,1,110,498,0
E,1,6.914440e-01,1,6.914440e-01,1,110,512,0
E,1,6.914440e-01,1,6.914440e-01,1,110,514,0
E,1,6.914440e-01,1,6.914440e-01,1,110,519,0
E,1,6.914440e-01,1,6.914440e-01,1,110,556,0
E,1,6.914440e-01,1,6.914440e-01,1,110,574,0
E,1,3.085560e-01,1,6.914440e-01,1,50,582,0
E,1,6.914440e-01,1,6.914440e-01,1,110,601,0
E,1,6.914440e-01,1,6.914440e-01,1,110,627,0
E,1,6.914440e-01,1,6.914440e-01,1,110,638,0
E,1,6.914440e-01,1,6.914440e-01,1,110,639,0
E,1,3.085560e-01,1,6.914440e-01,1,50,646,0
E,1,6.914440e-01,1,6.914440e-01,1,110,669,0
E,1,6.914440e-01,1,6.914440e-01,1,110,674,0
E,1,6.914440e-01,1,6.914440e-01,1,110,691,0
E,1,6.914440e-01,1,6.914440e-01,1,110,699,0
E,1,6.914440e-01,1,6.914440e-01,1,110,714,0
E,1,3.085560e-01,1,6.914440e-01,1,50,742,0
E,1,6.914440e-01,1,6.914440e-01,1,110,744,0
