aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,128,38,0
E,1,5.000000e-01,2,5.000000e-01,2,128,44,0
E,1,5.000000e-01,2,5.000000e-01,2,128,46,0
E,1,5.000000e-01,2,5.000000e-01,2,128,54,0
E,1,5.000000e-01,2,5.000000e-01,2,128,85,0
E,1,5.000000e-01,2,5.000000e-01,2,128,103,0
E,1,5.000000e-01,2,5.000000e-01,2,128,113,0
E,1,5.000000e-01,2,5.000000e-01,2,128,143,0
E,1,5.000000e-01,2,5.000000e-01,2,128,171,0
E,1,5.000000e-01,2,5.000000e-01,2,128,194,0
E,1,5.000000e-01,2,5.000000e-01,2,128,220,0
E,1,5.000000e-01,2,5.000000e-01,2,128,225,0
E,1,5.000000e-01,2,5.000000e-01,2,128,266,0
E,1,5.000000e-01,2,5.000000e-01,2,128,279,0
E,1,5.000000e-01,2,5.000000e-01,2,128,314,0
E,1,5.000000e-01,2,5.000000e-01,2,128,345,0
E,1,5.000000e-01,2,5.000000e-01,2,128,359,0
E,1,5.000000e-01,2,5.000000e-01,2,128,437,0
E,1,5.000000e-01,2,5.000000e-01,2,128,445,0
E,1,5.000000e-01,2,5.000000e-01,2,128,450,0
E,1,5.000000e-01,2,5.000000e-01,2,128,477,0
E,1,5.000000e-01,2,5.000000e-01,2,128,494,0
E,1,5.000000e-01,2,5.000000e-01,2,128,496,0
E,1,5.000000e-01,2,5.000000e-01,2,128,502,0
E,1,5.000000e-01,2,5.000000e-01,2,128,571,0
E,1,5.000000e-01,2,5.000000e-01,2,128,578,0
E,1,5.000000e-01,2,5.000000e-01,2,128,584,0
E,1,5.000000e-01,2,5.000000e-01,2,128,585,0
E,1,5.000000e-01,2,5.000000e-01,2,128,586,0
E,1,5.000000e-01,2,5.000000e-01,2,128,590,0
E,1,5.000000e-01,2,5.000000e-01,2,128,613,0
E,1,5.000000e-01,2,5.000000e-01,2,128,642,0
E,1,5.000000e-01,2,5.000000e-01,2,128,648,0
E,1,5.000000e-01,2,5.000000e-01,2,128,656,0
E,1,5.000000e-01,2,5.000000e-01,2,128,708,0
E,1,5.000000e-01,2,5.000000e-01,2,128,721,0
E,1,5.000000e-01,2,5.000000e-01,2,128,722,0
E,1,5.000000e-01,2,5.000000e-01,2,128,758,0
E,1,5.000000e-01,2,5.000000e-01,2,128,771,0
E,1,5.000000e-01,2,5.000000e-01,2,128,809,0
E,1,5.000000e-01,2,5.000000e-01,2,128,810,0
E,1,5.000000e-01,2,5.000000e-01,2,128,812,0
E,1,5.000000e-01,2,5.000000e-01,2,128,826,0
