aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.431551e-01,1,8.431551e-01,1,161,11,0
E,1,8.431551e-01,1,8.431551e-01,1,161,13,0
E,1,1.568449e-01,1,8.431551e-01,1,40,22,1
E,1,8.431551e-01,1,8.431551e-01,1,161,39,0
E,1,1.568449e-01,1,8.431551e-01,1,40,81,1
E,1,1.568449e-01,1,8.431551e-01,1,40,84,1
E,1,8.431551e-01,1,8.431551e-01,1,161,108,0
E,1,8.431551e-01,1,8.431551e-01,1,161,134,0
E,1,8.431551e-01,1,8.431551e-01,1,161,136,0
E,1,8.431551e-01,1,8.431551e-01,1,161,144,0
E,1,8.431551e-01,1,8.431551e-01,1,161,153,0
E,1,8.431551e-01,1,8.431551e-01,1,161,202,0
E,1,8.431551e-01,1,8.431551e-01,1,161,209,0
E,1,8.431551e-01,1,8.431551e-01,1,161,219,0
E,1,8.431551e-01,1,8.431551e-01,1,161,222,0
E,1,8.431551e-01,1,8.431551e-01,1,161,243,0
E,1,8.431551e-01,1,8.431551e-01,1,161,261,0
E,1,8.431551e-01,1,8.431551e-01,1,161,262,0
E,1,8.431551e-01,1,8.431551e-01,1,161,304,0
E,1,8.431551e-01,1,8.431551e-01,1,161,336,0
E,1,8.431551e-01,1,8.431551e-01,1,161,372,0
E,1,8.431551e-01,1,8.431551e-01,1,161,379,0
E,1,8.431551e-01,1,8.431551e-01,1,161,389,0
E,1,8.431551e-01,1,8.431551e-01,1,161,450,0
E,1,1.568449e-01,1,8.431551e-01,1,40,451,1
E,1,8.431551e-01,1,8.431551e-01,1,161,483,0
E,1,8.431551e-01,1,8.431551e-01,1,161,485,0
E,1,8.431551e-01,1,8.431551e-01,1,161,530,0
E,1,8.431551e-01,1,8.431551e-01,1,161,547,0
E,1,8.431551e-01,1,8.431551e-01,1,161,580,0
E,1,8.431551e-01,1,8.431551e-01,1,161,643,0
E,1,8.431551e-01,1,8.431551e-01,1,161,647,0
E,1,8.431551e-01,1,8.431551e-01,1,161,671,0
E,1,8.431551e-01,1,8.431551e-01,1,161,679,0
E,1,8.431551e-01,1,8.431551e-01,1,161,763,0
E,1,8.431551e-01,1,8.431551e-01,1,161,774,0
E,1,8.431551e-01,1,8.431551e-01,1,161,795,0
E,1,8.431551e-01,1,8.431551e-01,1,161,830,0
E,1,1.568449e-01,1,8.431551e-01,1,40,872,1
E,1,8.431551e-01,1,8.431551e-01,1,161,893,0
E,1,8.431551e-01,1,8.431551e-01,1,161,916,0
E,1,8.431551e-01,1,8.431551e-01,1,161,933,0
E,1,8.431551e-01,1,8.431551e-01,1,161,982,0
E,1,8.431551e-01,1,8.431551e-01,1,161,1032,0
E,1,8.431551e-01,1,8.431551e-01,1,161,1049,0
E,1,8.431551e-01,1,8.431551e-01,1,161,1080,0
E,1,1.568449e-01,1,8.431551e-01,1,40,1090,1
E,1,8.431551e-01,1,8.431551e-01,1,161,1178,0
E,1,1.568449e-01,1,8.431551e-01,1,40,1244,1
E,1,8.431551e-01,1,8.431551e-01,1,161,1295,0
E,1,8.431551e-01,1,8.431551e-01,1,161,1308,0
E,1,1.568449e-01,1,8.431551e-01,1,40,1331,1
E,1,8.431551e-01,1,8.431551e-01,1,161,1334,0
E,1,8.431551e-01,1,8.431551e-01,1,161,1409,0
