chromosome,HindIII fragment,chromosome,HindIII fragment,sequence frequency,P value,Q value
1,3437,2,9409,7,"1,12E-06","4,06E-04"
1,3437,2,189076,6,"1,56E-05","2,87E-03"
1,5091,2,14347,11,"1,56E-09","4,62E-07"
1,5091,2,21002,6,"2,03E-04","8,01E-03"
1,5091,2,177394,7,"2,32E-05","1,44E-03"
1,5091,2,193504,9,"2,10E-07","3,01E-05"
1,5091,2,222491,6,"2,03E-04","8,01E-03"
1,5091,2,273716,6,"2,03E-04","8,01E-03"
1,5091,2,400155,6,"1,56E-05","2,87E-03"
1,5091,2,414943,6,"2,03E-04","8,01E-03"
1,5091,2,437804,8,"2,34E-06","2,23E-04"
1,5091,2,458794,10,"1,73E-08","3,62E-06"
1,5091,2,486817,6,"2,03E-04","8,01E-03"
1,13056,2,97402,7,"2,32E-05","1,44E-03"
1,13056,2,182268,6,"2,03E-04","8,01E-03"
1,13056,2,227042,8,"2,34E-06","2,23E-04"
1,13056,2,290117,9,"2,10E-07","3,01E-05"
1,13056,2,393927,6,"2,03E-04","8,01E-03"
1,13056,2,553516,8,"2,34E-06","2,23E-04"
1,20164,2,9409,6,"2,03E-04","8,01E-03"
1,20164,2,14347,8,"2,34E-06","2,23E-04"
1,20164,2,18821,8,"2,34E-06","2,23E-04"
1,20164,2,190351,8,"2,34E-06","2,23E-04"
1,20164,2,340549,6,"2,03E-04","8,01E-03"
1,20164,2,414943,9,"2,10E-07","3,01E-05"
1,26147,2,14347,6,"2,03E-04","8,01E-03"
1,26147,2,21002,6,"2,03E-04","8,01E-03"
1,26147,2,44988,7,"2,32E-05","1,44E-03"
1,26147,2,65265,8,"2,34E-06","2,23E-04"
1,26147,2,91365,8,"2,34E-06","2,23E-04"
1,26147,2,133258,7,"1,12E-06","4,06E-04"
1,26147,2,139637,8,"2,34E-06","2,23E-04"
1,26147,2,149998,7,"2,32E-05","1,44E-03"
1,26147,2,189076,7,"2,32E-05","1,44E-03"
1,26147,2,190351,6,"2,03E-04","8,01E-03"
1,26147,2,222491,10,"1,73E-08","3,62E-06"
1,26147,2,245669,9,"2,10E-07","3,01E-05"
1,26147,2,251864,7,"2,32E-05","1,44E-03"
1,26147,2,268119,7,"2,32E-05","1,44E-03"
1,26147,2,290117,18,"3,17E-10","1,64E-07"
1,26147,2,344212,6,"1,56E-05","2,87E-03"
1,26147,2,372293,6,"2,03E-04","8,01E-03"
1,26147,2,380477,7,"2,32E-05","1,44E-03"
1,26147,2,413372,6,"2,03E-04","8,01E-03"
1,26147,2,458794,6,"2,03E-04","8,01E-03"
1,26147,2,597681,6,"2,03E-04","8,01E-03"
1,26147,2,621992,6,"2,03E-04","8,01E-03"
1,26147,2,647884,6,"2,03E-04","8,01E-03"
1,26147,2,723665,6,"2,03E-04","8,01E-03"
1,26147,2,784208,7,"2,32E-05","1,44E-03"
1,31834,2,10926,6,"2,03E-04","8,01E-03"
