aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.970488e-01,1,5.029512e-01,1,37,27,1
E,1,5.029512e-01,1,5.029512e-01,1,41,63,1
E,1,4.970488e-01,1,5.029512e-01,1,37,106,1
E,1,5.029512e-01,1,5.029512e-01,1,41,169,1
E,1,4.970488e-01,1,5.029512e-01,1,37,178,1
E,1,5.029512e-01,1,5.029512e-01,1,41,274,1
E,1,5.029512e-01,1,5.029512e-01,1,41,278,1
E,1,5.029512e-01,1,5.029512e-01,1,41,337,1
E,1,5.029512e-01,1,5.029512e-01,1,41,388,1
E,1,4.970488e-01,1,5.029512e-01,1,37,444,1
E,1,4.970488e-01,1,5.029512e-01,1,37,460,1
E,1,5.029512e-01,1,5.029512e-01,1,41,553,1
E,1,5.029512e-01,1,5.029512e-01,1,41,556,1
E,1,4.970488e-01,1,5.029512e-01,1,37,607,1
E,1,5.029512e-01,1,5.029512e-01,1,41,636,1
E,1,4.970488e-01,1,5.029512e-01,1,37,765,1
E,1,4.970488e-01,1,5.029512e-01,1,37,768,1
E,1,5.029512e-01,1,5.029512e-01,1,41,770,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1019,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1112,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1284,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1395,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1406,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1484,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1504,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1559,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1584,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1632,1
E,1,5.029512e-01,1,5.029512e-01,1,41,1646,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1660,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1675,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1816,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1873,1
E,1,4.970488e-01,1,5.029512e-01,1,37,1879,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2005,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2019,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2047,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2110,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2175,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2268,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2286,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2305,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2391,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2516,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2552,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2563,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2715,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2720,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2748,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2756,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2813,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2953,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2967,1
E,1,4.970488e-01,1,5.029512e-01,1,37,2981,1
E,1,5.029512e-01,1,5.029512e-01,1,41,2987,1
E,1,4.970488e-01,1,5.029512e-01,1,37,3035,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3105,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3348,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3365,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3398,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3450,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3491,1
E,1,4.970488e-01,1,5.029512e-01,1,37,3552,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3565,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3585,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3722,1
E,1,5.029512e-01,1,5.029512e-01,1,41,3772,1
E,1,4.970488e-01,1,5.029512e-01,1,37,3775,1
E,1,4.970488e-01,1,5.029512e-01,1,37,3876,1
