aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.914440e-01,1,6.914440e-01,1,120,22,0
E,1,6.914440e-01,1,6.914440e-01,1,120,26,0
E,1,6.914440e-01,1,6.914440e-01,1,120,41,0
E,1,3.085560e-01,1,6.914440e-01,1,40,42,1
E,1,3.085560e-01,1,6.914440e-01,1,40,129,1
E,1,6.914440e-01,1,6.914440e-01,1,120,179,0
E,1,3.085560e-01,1,6.914440e-01,1,40,223,1
E,1,6.914440e-01,1,6.914440e-01,1,120,233,0
E,1,3.085560e-01,1,6.914440e-01,1,40,247,1
E,1,6.914440e-01,1,6.914440e-01,1,120,254,0
E,1,6.914440e-01,1,6.914440e-01,1,120,269,0
E,1,6.914440e-01,1,6.914440e-01,1,120,300,0
E,1,6.914440e-01,1,6.914440e-01,1,120,304,0
E,1,6.914440e-01,1,6.914440e-01,1,120,305,0
E,1,6.914440e-01,1,6.914440e-01,1,120,352,0
E,1,6.914440e-01,1,6.914440e-01,1,120,368,0
E,1,6.914440e-01,1,6.914440e-01,1,120,380,0
E,1,6.914440e-01,1,6.914440e-01,1,120,434,0
E,1,6.914440e-01,1,6.914440e-01,1,120,435,0
E,1,6.914440e-01,1,6.914440e-01,1,120,437,0
E,1,6.914440e-01,1,6.914440e-01,1,120,460,0
E,1,6.914440e-01,1,6.914440e-01,1,120,480,0
E,1,3.085560e-01,1,6.914440e-01,1,40,495,1
E,1,3.085560e-01,1,6.914440e-01,1,40,498,1
E,1,3.085560e-01,1,6.914440e-01,1,40,512,1
E,1,6.914440e-01,1,6.914440e-01,1,120,514,0
E,1,3.085560e-01,1,6.914440e-01,1,40,519,1
E,1,6.914440e-01,1,6.914440e-01,1,120,556,0
E,1,6.914440e-01,1,6.914440e-01,1,120,574,0
E,1,3.085560e-01,1,6.914440e-01,1,40,582,1
E,1,6.914440e-01,1,6.914440e-01,1,120,601,0
E,1,6.914440e-01,1,6.914440e-01,1,120,627,0
E,1,6.914440e-01,1,6.914440e-01,1,120,638,0
E,1,3.085560e-01,1,6.914440e-01,1,40,639,1
E,1,6.914440e-01,1,6.914440e-01,1,120,646,0
E,1,6.914440e-01,1,6.914440e-01,1,120,669,0
E,1,6.914440e-01,1,6.914440e-01,1,120,674,0
E,1,6.914440e-01,1,6.914440e-01,1,120,691,0
E,1,6.914440e-01,1,6.914440e-01,1,120,699,0
E,1,6.914440e-01,1,6.914440e-01,1,120,714,0
E,1,3.085560e-01,1,6.914440e-01,1,40,742,1
E,1,6.914440e-01,1,6.914440e-01,1,120,744,0
E,1,6.914440e-01,1,6.914440e-01,1,120,770,0
E,1,3.085560e-01,1,6.914440e-01,1,40,771,1
E,1,6.914440e-01,1,6.914440e-01,1,120,772,0
E,1,6.914440e-01,1,6.914440e-01,1,120,774,0
E,1,6.914440e-01,1,6.914440e-01,1,120,788,0
E,1,6.914440e-01,1,6.914440e-01,1,120,834,0
E,1,6.914440e-01,1,6.914440e-01,1,120,839,0
E,1,3.085560e-01,1,6.914440e-01,1,40,846,1
E,1,6.914440e-01,1,6.914440e-01,1,120,850,0
E,1,6.914440e-01,1,6.914440e-01,1,120,868,0
E,1,6.914440e-01,1,6.914440e-01,1,120,871,0
E,1,3.085560e-01,1,6.914440e-01,1,40,873,1
E,1,6.914440e-01,1,6.914440e-01,1,120,883,0
E,1,6.914440e-01,1,6.914440e-01,1,120,957,0
E,1,3.085560e-01,1,6.914440e-01,1,40,972,1
E,1,3.085560e-01,1,6.914440e-01,1,40,1013,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1037,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1044,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1084,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1106,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1138,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1171,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1172,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1253,1
E,1,3.085560e-01,1,6.914440e-01,1,40,1336,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1339,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1354,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1358,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1365,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1384,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1398,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1412,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1455,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1466,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1468,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1475,0
E,1,3.085560e-01,1,6.914440e-01,1,40,1487,1
E,1,6.914440e-01,1,6.914440e-01,1,120,1497,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1533,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1548,0
E,1,6.914440e-01,1,6.914440e-01,1,120,1715,0
