species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05268,0.029654,0.790440,16
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5130,0.029654,0.790440,16
saccharomyces_eubayanus,DI49_5212,0.007361,0.545845,16
saccharomyces_kudriavzevii_ifo_1802,SKUD_030204,0.039713,0.856712,17
naumovozyma_castellii_cbs_4309,NCAS_0C03670,0.096444,0.969915,18
naumovozyma_dairenensis_cbs_421,NDAI_0G03010,0.019150,0.737483,20
kazachstania_africana_cbs_2517,KAFR_0C00950,0.053489,0.904494,18
kazachstania_naganishii_cbs_8797,KNAG_0K01220,0.007361,0.545845,16
zygosaccharomyces_rouxii,ZYRO0A05280g,-0.000000,0.370941,17
zygosaccharomyces_bailii_isa1307,ZBAI_02148,0.067537,0.923820,16
zygosaccharomyces_bailii_isa1307,ZBAI_08005,0.039713,0.856712,17
torulaspora_delbrueckii,TDEL_0D04490,0.080487,0.951273,17
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p51,0.029654,0.790440,16
tetrapisispora_phaffii_cbs_4417,TPHA_0P00590,0.016754,0.698491,15
tetrapisispora_blattae_cbs_6284,TBLA_0B04170,0.043425,0.885414,20
tetrapisispora_blattae_cbs_6284,TBLA_0B04160,0.153646,0.993281,18
tetrapisispora_blattae_cbs_6284,TBLA_0G00850,0.008682,0.617173,21
_candida_glabrata,CAGL0C05071g,0.022129,0.733274,13
lachancea_thermotolerans_cbs_6340,KLTH0F06732g,0.166899,0.996176,19
lachancea_lanzarotensis,LALA0_S12e01112g,0.009538,0.576245,14
kluyveromyces_marxianus_dmku3_1042,KLMA_30047,0.119590,0.961793,12
kluyveromyces_lactis,KLLA0_B13926g,0.012846,0.612518,12
eremothecium_cymbalariae_dbvpg_7215,Ecym_5248,0.101366,0.875133,4
eremothecium_sinecaudum,AW171_hschr2904,0.010562,0.641054,19
ashbya_gossypii,AGOS_AER226W,0.101366,0.875133,4
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAER226W,0.101366,0.875133,4
ogataea_parapolymorpha_dl_1,HPODL_01038,0.013126,0.667826,17
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_28572,0.009538,0.576245,14
ogataea_polymorpha,OGAPODRAFT_100800,-0.000000,0.336376,21
brettanomyces_bruxellensis_awri1499,AWRI1499_0566,0.043425,0.885414,20
brettanomyces_bruxellensis_awri1499,AWRI1499_4080,0.006166,0.576083,25
kuraishia_capsulata_cbs_1993,KUCA_T00005520001,0.067537,0.923820,16
wickerhamomyces_ciferrii,BN7_4985,0.029654,0.790440,16
komagataella_phaffii_cbs_7435,PP7435_CHR3-0342,0.007263,0.595524,23
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_94868,0.078082,0.959465,20
komagataella_pastoris,PAS_chr3_0842,0.007263,0.595524,23
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_163367,0.005853,0.519638,18
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0F13293g,0.008682,0.617173,21
lodderomyces_elongisporus_nrrl_yb_4239,LELG_01321,0.463281,0.999521,21
_candida_auris,QG37_04683,-0.000000,0.352394,19
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_60829,-0.000000,0.451172,11
debaryomyces_fabryi,AC631_03594,-0.000000,0.352394,19
candida_tropicalis_mya_3404,CTRG_01185,0.064537,0.948598,22
candida_parapsilosis_cdc317,CPAR2_211900,0.112817,0.990258,23
scheffersomyces_stipitis_cbs_6054,PICST_70077,0.007263,0.595524,23
meyerozyma_guilliermondii_atcc_6260,PGUG_05036,0.050809,0.881805,15
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_102756,0.149452,0.996758,22
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_151865,0.044102,0.907678,23
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_71457,-0.000000,0.370941,17
clavispora_lusitaniae_atcc_42720,CLUG_02764,-0.000000,0.370941,17
_candida_tenuis_atcc_10573,CANTEDRAFT_111183,0.023545,0.762634,18
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_9422,0.398983,0.998455,26
candida_maltosa_xu316,G210_4635,-0.000000,0.322361,23
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0E11906g,0.052841,0.922603,21
candida_dubliniensis_cd36,CD36_18120,0.123897,0.989094,20
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_43483,0.025844,0.832117,26
pichia_kudriavzevii,JL09_g1413,0.027893,0.711263,8
candida_orthopsilosis_co_90_125,CORT_0A11240,0.109078,0.981362,19
debaryomyces_hansenii_cbs767,DEHA2E20878g,0.008682,0.617173,21
candida_albicans_wo_1,CAWG_04104,0.254400,0.998345,20
schizosaccharomyces_japonicus,SJAG_02421,0.019150,0.737483,20
schizosaccharomyces_octosporus,SOCG_03909,0.052013,0.854254,12
schizosaccharomyces_octosporus,SOCG_01310,0.135840,0.993812,21
schizosaccharomyces_pombe,SPBP8B7.17c,0.031902,0.833276,19
schizosaccharomyces_cryophilus,SPOG_03051,0.054251,0.937205,24
schizosaccharomyces_japonicus,SJAG_02420,0.019150,0.737483,20
schizosaccharomyces_cryophilus,SPOG_03326,0.119590,0.961793,12
schizosaccharomyces_japonicus,SJAG_04282,-0.000000,0.451172,11
schizosaccharomyces_pombe,SPBP8B7.18c,0.089133,0.974389,21
schizosaccharomyces_pombe,SPCC18B5.05c,0.045052,0.820465,9
schizosaccharomyces_octosporus,SOCG_01309,0.204270,0.999876,27
schizosaccharomyces_cryophilus,SPOG_03050,0.239862,0.999877,19
pseudogymnoascus_sp_vkm_f_3557,V490_06026,0.366204,0.750000,3
pseudogymnoascus_sp_vkm_f_4516_fw_969_,V497_08813,0.366204,0.750000,3
pseudogymnoascus_sp_vkm_f_3808,O988_08426,0.366204,0.750000,3
pseudogymnoascus_sp_vkm_f_4514_fw_929_,V495_07708,0.366204,0.750000,3
tilletiaria_anomala_ubc_951,K437DRAFT_192618,0.078082,0.959465,20
