species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05242,0.122254,0.979409,16
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5154,0.122254,0.979409,16
saccharomyces_eubayanus,DI49_5596,0.050809,0.881805,15
saccharomyces_arboricola_h_6,SU7_3707,0.029654,0.790440,16
tetrapisispora_phaffii_cbs_4417,TPHA_0A05720,0.322684,0.998482,10
naumovozyma_dairenensis_cbs_421,NDAI_0B05920,-0.000000,0.418945,13
zygosaccharomyces_bailii_isa1307,ZBAI_07849,0.229920,0.984563,7
zygosaccharomyces_bailii_isa1307,ZBAI_01991,0.229920,0.984563,7
zygosaccharomyces_rouxii,ZYRO0G20372g,-0.000000,0.312500,6
kazachstania_naganishii_cbs_8797,KNAG_0A07990,0.022129,0.733274,13
_candida_glabrata,CAGL0F04829g,0.067344,0.907934,13
kazachstania_africana_cbs_2517,KAFR_0G03740,0.067344,0.907934,13
lachancea_thermotolerans_cbs_6340,KLTH0G02332g,-0.000000,0.492187,9
kluyveromyces_marxianus_dmku3_1042,KLMA_20542,0.271132,0.992592,8
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAFR320W,0.139196,0.961212,9
kluyveromyces_lactis,KLLA0_E03873g,0.072975,0.875173,7
eremothecium_cymbalariae_dbvpg_7215,Ecym_1228,0.172277,0.978935,10
eremothecium_sinecaudum,AW171_hschr31685,0.322684,0.998482,10
ashbya_gossypii,AGOS_AFR320W,0.074194,0.890977,10
lachancea_lanzarotensis,LALA0_S06e06678g,0.012846,0.612518,12
hanseniaspora_uvarum_dsm_2768,D499_0N00170,0.038500,0.820629,14
hanseniaspora_osmophila,AWRI3579_g4568,0.093602,0.934887,11
hanseniaspora_opuntiae,AWRI3578_g1517,0.195920,0.996505,16
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_15394,-0.000000,0.451172,11
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_14595,0.101366,0.875133,4
candida_maltosa_xu316,G210_0158,0.067344,0.907934,13
_candida_tenuis_atcc_10573,CANTEDRAFT_115888,0.361984,0.999893,12
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_27469,0.027893,0.711263,8
meyerozyma_guilliermondii_atcc_6260,PGUG_02375,0.022129,0.733274,13
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_41597,0.072975,0.875173,7
candida_orthopsilosis_co_90_125,CORT_0C05040,-0.000000,0.418945,13
candida_albicans_wo_1,CAWG_02800,-0.000000,0.492187,9
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_36423,-0.000000,0.418945,13
candida_dubliniensis_cd36,CD36_84850,0.045052,0.820465,9
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_61991,0.119590,0.961793,12
debaryomyces_fabryi,AC631_02800,0.088010,0.942839,14
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0C01520g,0.074194,0.890977,10
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_153293,0.172277,0.978935,10
candida_parapsilosis_cdc317,CPAR2_405640,0.009538,0.576245,14
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0D01609g,0.018232,0.656382,10
scheffersomyces_stipitis_cbs_6054,PICST_30867,0.019150,0.737483,20
debaryomyces_hansenii_cbs767,DEHA2B14476g,0.361984,0.999893,12
_candida_auris,QG37_04403,0.038500,0.820629,14
candida_tropicalis_mya_3404,CTRG_02347,0.052013,0.854254,12
clavispora_lusitaniae_atcc_42720,CLUG_01966,0.012846,0.612518,12
lodderomyces_elongisporus_nrrl_yb_4239,LELG_02837,-0.000000,0.370941,17
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_39163,0.031902,0.833276,19
kuraishia_capsulata_cbs_1993,KUCA_T00005440001,0.030588,0.773751,11
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_18820,0.460517,0.937546,5
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_37070,0.172277,0.978935,10
ogataea_parapolymorpha_dl_1,HPODL_03892,0.018232,0.656382,10
kuraishia_capsulata_cbs_1993,KUCA_T00005442001,0.067344,0.907934,13
komagataella_pastoris,PAS_chr4_0500,0.293229,0.996377,9
wickerhamomyces_ciferrii,BN7_6565,0.594038,0.998037,17
ogataea_polymorpha,OGAPODRAFT_82313,0.018232,0.656382,10
cyberlindnera_jadinii,BN1211_5760,0.018232,0.656382,10
komagataella_phaffii_cbs_7435,PP7435_CHR4-0476,0.293229,0.996377,9
brettanomyces_bruxellensis_awri1499,AWRI1499_4641,0.114536,0.930077,8
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_6045,0.193476,0.988643,11
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_76552,0.045052,0.820465,9
geotrichum_candidum,BN980_GECA04s05191g,0.027935,0.912812,42
sugiyamaella_lignohabitans,AWJ20_2526,0.030588,0.773751,11
geotrichum_candidum,BN980_GECA05s06599g,0.074239,0.966181,23
yarrowia_lipolytica,YALI0_C04114g,0.339788,0.999395,11
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_45575,0.099802,0.992621,29
emmonsia_parva_uamh_139,EMPG_11039,0.018232,0.656382,10
colletotrichum_tofieldiae,CT0861_12126,0.438968,0.999515,18
neofusicoccum_parvum_ucrnp2,UCRNP2_9848,0.320075,0.999515,18
xylona_heveae_tc161,L228DRAFT_251472,-0.000000,0.209473,14
trichophyton_equinum_cbs_127_97,TEQG_04451,0.195920,0.996505,16
blastomyces_gilchristii_slh14081,BDBG_01965,-0.000000,0.492187,9
trichophyton_tonsurans_cbs_112818,TESG_07353,0.195920,0.996505,16
exophiala_mesophila,PV10_00382,0.050809,0.881805,15
talaromyces_marneffei_atcc_18224,PMAA_012970,0.009538,0.576245,14
metarhizium_brunneum_arsef_3297,MBR_08240,0.026193,0.811614,21
bipolaris_maydis_c5,COCHEDRAFT_1020499,0.446800,0.999877,19
myceliophthora_thermophila_atcc_42464,MYCTH_2313954,0.361984,0.999893,12
aspergillus_nidulans,CADANIAG00010085,0.038500,0.820629,14
drechslerella_stenobrocha_248,DRE_00085,0.052013,0.854254,12
sphaerulina_musiva_so2202,SEPMUDRAFT_148360,0.039713,0.856712,17
aspergillus_clavatus,CADACLAG00003192,0.088010,0.942839,14
sporothrix_schenckii_atcc_58251,HMPREF1624_05025,0.292198,0.996505,16
ustilaginoidea_virens,UV8b_1618,0.254400,0.998345,20
penicillium_digitatum_phi26,PDIG_04120,0.022129,0.733274,13
aschersonia_aleyrodis_rcef_2490,AAL_05689,0.112817,0.990258,23
colletotrichum_gloeosporioides,CGGC5_1360,0.230802,0.999643,24
microsporum_gypseum_cbs_118893,MGYG_05931,0.093602,0.934887,11
colletotrichum_nymphaeae_sa_01,CNYM01_14326,0.531062,0.992592,8
penicillium_italicum,PITC_001930,0.012846,0.612518,12
rhinocladiella_mackenziei_cbs_650_93,Z518_09705,-0.000000,0.225586,12
colletotrichum_sublineola,CSUB01_07480,0.149452,0.996758,22
fonsecaea_erecta,AYL99_01563,-0.000000,0.418945,13
podospora_anserina_s_mat_,PODANS_1_17290,-0.000000,0.209473,14
metarhizium_anisopliae,MANI_017985,0.043425,0.885414,20
marssonina_brunnea_f_sp_multigermtubi_mb_m1,MBM_07263,0.165576,0.998896,37
eutypa_lata_ucrel1,UCREL1_4977,0.080487,0.951273,17
coniosporium_apollinis_cbs_100218,W97_06922,-0.000000,0.392761,15
exophiala_dermatitidis_nih_ut8656,HMPREF1120_06789,-0.000000,0.418945,13
stachybotrys_chartarum_ibt_40293,S40293_01446,0.320075,0.999515,18
fonsecaea_monophora,AYO21_01339,0.052013,0.854254,12
aspergillus_cristatus,SI65_09874,0.160267,0.987314,14
trichoderma_gamsii,TGAM01_10058,0.292198,0.996505,16
arthroderma_otae_cbs_113480,MCYG_06033,0.122254,0.979409,16
aspergillus_udagawae,AUD_4393,0.009538,0.576245,14
aspergillus_luchuensis,RIB2604_01710650,0.122254,0.979409,16
beauveria_bassiana_arsef_2860,BBA_02425,-0.000000,0.352394,19
acremonium_chrysogenum_atcc_11550,ACRE_072310,0.096444,0.969915,18
capronia_semi_immersa,PV04_04845,0.007361,0.545845,16
paracoccidioides_brasiliensis_pb18,PADG_04218,-0.000000,0.492187,9
fusarium_pseudograminearum,FPSE_11062,0.096444,0.969915,18
trichophyton_violaceum,A7D00_4621,0.195920,0.996505,16
cladophialophora_yegresii_cbs_114405,A1O7_04436,0.050809,0.881805,15
pyronema_omphalodes_cbs_100304,PCON_11282,0.018232,0.656382,10
metarhizium_guizhouense_arsef_977,MGU_03411,0.019150,0.737483,20
stemphylium_lycopersici,TW65_03426,0.239862,0.999877,19
fusarium_graminearum,FGRAMPH1_01T10991,0.122254,0.979409,16
rasamsonia_emersonii_cbs_393_64,T310_9455,0.022129,0.733274,13
gaeumannomyces_graminis,GGTG_11975,0.418129,0.996505,16
diaporthe_helianthi,DHEL01_07649,0.418129,0.996505,16
erysiphe_necator,EV44_g5743,-0.000000,0.161180,24
trichophyton_rubrum_cbs_118892,TERG_06072,0.195920,0.996505,16
paracoccidioides_sp_lutzii_pb01,PAAG_08825,0.030588,0.773751,11
penicillium_rubens_wisconsin_54_1255,PCH_Pc20g03570,0.050809,0.881805,15
coccidioides_posadasii_str_silveira,CPSG_09426,0.237772,0.996844,13
cordyceps_militaris_cm01,CCM_00772,0.166899,0.996176,19
capronia_epimyces_cbs_606_96,A1O3_01862,0.022129,0.733274,13
cladophialophora_psammophila_cbs_110553,A1O5_03613,-0.000000,0.418945,13
diplodia_seriata,UCDDS831_g07276,0.259288,0.998436,14
aspergillus_calidoustus,ASPCAL10544,0.103373,0.965210,15
phaeoacremonium_minimum_ucrpa7,UCRPA7_4821,0.136693,0.987646,17
penicillium_camemberti_fm_013,PCAMFM013_S004g000496,-0.000000,0.392761,15
baudoinia_panamericana_uamh_10762,BAUCODRAFT_570031,0.067537,0.923820,16
cordyceps_brongniartii_rcef_3172,BBO_06147,0.010562,0.641054,19
escovopsis_weberi,ESCO_001647,0.557779,0.999395,11
aspergillus_rambellii,ARAM_003201,0.009538,0.576245,14
oidiodendron_maius_zn,OIDMADRAFT_180362,0.005605,0.680411,65
trichophyton_verrucosum_hki_0517,TRV_07302,0.292198,0.996505,16
aureobasidium_melanogenum_cbs_110374,M437DRAFT_42399,0.227076,0.999515,18
penicillium_brasilianum,PMG11_05967,-0.000000,0.176197,20
metarhizium_majus_arsef_297,MAJ_08784,0.043425,0.885414,20
grosmannia_clavigera_kw1407,CMQ_8294,0.292198,0.996505,16
sporothrix_brasiliensis_5110,SPBR_05046,0.292198,0.996505,16
arthrobotrys_oligospora_atcc_24927,AOL_s00173g183,0.039713,0.856712,17
acidomyces_richmondensis_bfw,M433DRAFT_67281,-0.000000,0.246094,10
drechmeria_coniospora,DCS_00981,0.404097,0.999402,15
trichophyton_soudanense_cbs_452_61,H105_02327,0.195920,0.996505,16
zymoseptoria_tritici,Mycgr3G65348,0.102113,0.984187,22
pseudocercospora_musae,AC579_5875,0.044102,0.907678,23
pyrenophora_teres,PTT_10513,0.023545,0.762634,18
histoplasma_capsulatum_nam1,HCAG_04338,-0.000000,0.492187,9
hirsutella_minnesotensis_3608,HIM_04871,0.122254,0.979409,16
pochonia_chlamydosporia_170,VFPPC_15864,-0.000000,0.161180,24
ceratocystis_platani,CFO_g3362,0.103373,0.965210,15
microdochium_bolleyi,Micbo1qcDRAFT_193399,0.039713,0.856712,17
cladophialophora_carrionii_cbs_160_54,G647_04256,0.016754,0.698491,15
setosphaeria_turcica_et28a,SETTUDRAFT_30206,0.259288,0.998436,14
botrytis_cinerea,Bcin09g03820,0.012191,0.745202,38
sordaria_macrospora,SMAC_01374,-0.000000,0.209473,14
scedosporium_apiospermum,SAPIO_CDS9974,0.153646,0.993281,18
sporothrix_insectorum_rcef_264,SPI_09359,0.318416,0.998938,34
fusarium_verticillioides,FVEG_02440,0.446800,0.999877,19
aspergillus_fumigatus,CADAFUAG00005528,-0.000000,0.209473,14
rosellinia_necatrix,SAMD00023353_7700040,0.089133,0.974389,21
penicillium_freii,ACN42_g4906,0.016754,0.698491,15
phaeomoniella_chlamydospora,UCRPC4_g03521,0.067344,0.907934,13
chaetomium_globosum_cbs_148_51,CHGG_06370,0.229920,0.984563,7
isaria_fumosorosea_arsef_2679,ISF_06022,0.153646,0.993281,18
bipolaris_oryzae_atcc_44560,COCMIDRAFT_99985,0.227076,0.999515,18
colletotrichum_graminicola,GLRG_02396,0.123897,0.989094,20
metarhizium_anisopliae_arsef_23,MAA_03765,0.043425,0.885414,20
metarhizium_album_arsef_1941,MAM_03143,-0.000000,0.370941,17
stagonospora_sp_src1lsm3a,IQ06DRAFT_52958,0.320075,0.999515,18
neonectria_ditissima,AK830_g11171,0.292198,0.996505,16
cordyceps_confragosa_rcef_1005,LEL_07154,0.194742,0.998455,26
diaporthe_ampelina,UCDDA912_g06810,0.418129,0.996505,16
trichophyton_interdigitale_mr816,H109_06754,0.122254,0.979409,16
penicillium_chrysogenum,EN45_058160,0.050809,0.881805,15
dactylellina_haptotyla_cbs_200_50,H072_10290,0.182054,0.998345,20
bipolaris_victoriae_fi3,COCVIDRAFT_33951,0.239862,0.999877,19
pyrenochaeta_sp_ds3say3a,IQ07DRAFT_584446,0.153646,0.993281,18
aspergillus_oryzae,AO090005001408,-0.000000,0.225586,12
trichoderma_reesei,TRIREDRAFT_47049,0.103373,0.965210,15
fonsecaea_pedrosoi_cbs_271_37,Z517_11138,0.052013,0.854254,12
ophiocordyceps_unilateralis,XA68_1788,0.137828,0.977784,13
pyrenophora_triticirepentis,PTRG_02371,0.053489,0.904494,18
colletotrichum_fioriniae_pj7,CFIO01_12786,0.591416,0.996505,16
neurospora_tetrasperma_fgsc_2509,NEUTE2DRAFT_142565,0.023545,0.762634,18
aspergillus_terreus,CADATEAG00002459,0.103373,0.965210,15
neurospora_crassa,NCU00696,0.053489,0.904494,18
fusarium_poae,FPOA_04522,0.153646,0.993281,18
aspergillus_lentulus,ALT_1894,-0.000000,0.418945,13
coccidioides_immitis_rs,CIMG_07675,0.160267,0.987314,14
cercospora_fijiensis_cirad86,MYCFIDRAFT_72023,0.149452,0.996758,22
aureobasidium_namibiae_cbs_147_97,M436DRAFT_78906,0.418129,0.996505,16
claviceps_purpurea_20_1,CPUR_06602,0.010562,0.641054,19
ascosphaera_apis_arsef_7405,AAP_03096,0.039713,0.856712,17
aspergillus_parasiticus_su_1,P875_00034457,-0.000000,0.209473,14
penicillium_griseofulvum,PGRI_049000,-0.000000,0.418945,13
aspergillus_flavus,AFLA_086440,-0.000000,0.392761,15
fusarium_fujikuroi,FFUJ_05734,0.123897,0.989094,20
ascochyta_rabiei,ST47_g329,0.227076,0.999515,18
byssochlamys_spectabilis_no_5,PVAR5_5860,0.019150,0.737483,20
cyphellophora_europaea_cbs_101466,HMPREF1541_03293,0.012846,0.612518,12
penicillium_oxalicum_114_2,PDE_01905,0.009538,0.576245,14
phialocephala_scopiformis,LY89DRAFT_728071,-0.000000,0.139950,32
ophiostoma_piceae_uamh_11346,F503_03590,0.320075,0.999515,18
capronia_coronata_cbs_617_96,A1O1_03236,0.038500,0.820629,14
exophiala_sideris,PV11_05054,-0.000000,0.225586,12
aspergillus_ochraceoroseus,AOCH_000029,0.038500,0.820629,14
fonsecaea_multimorphosa_cbs_102226,Z520_08816,0.009538,0.576245,14
alternaria_alternata,CC77DRAFT_939183,0.265737,0.999521,21
colletotrichum_salicis,CSAL01_13741,0.507907,0.984563,7
