aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.602297e-01,1,5.397703e-01,1,8,527,1
E,1,4.602297e-01,1,5.397703e-01,1,8,582,1
E,1,4.602297e-01,1,5.397703e-01,1,8,656,1
E,1,4.602297e-01,1,5.397703e-01,1,8,801,1
E,1,5.397703e-01,1,5.397703e-01,1,8,842,0
E,1,5.397703e-01,1,5.397703e-01,1,8,908,0
E,1,4.602297e-01,1,5.397703e-01,1,8,1124,1
E,1,5.397703e-01,1,5.397703e-01,1,8,1311,0
E,1,4.602297e-01,1,5.397703e-01,1,8,1314,1
E,1,5.397703e-01,1,5.397703e-01,1,8,1470,0
E,1,5.397703e-01,1,5.397703e-01,1,8,1561,0
E,1,4.602297e-01,1,5.397703e-01,1,8,1627,1
E,1,4.602297e-01,1,5.397703e-01,1,8,1810,1
E,1,5.397703e-01,1,5.397703e-01,1,8,2049,0
E,1,5.397703e-01,1,5.397703e-01,1,8,2057,0
E,1,5.397703e-01,1,5.397703e-01,1,8,2068,0
E,2,2.118114e-01,1,4.968366e-01,1,6,53,2
E,2,2.913520e-01,1,4.968366e-01,1,15,183,0
E,2,4.968366e-01,1,4.968366e-01,1,14,196,1
E,2,2.913520e-01,1,4.968366e-01,1,15,197,0
E,2,4.968366e-01,1,4.968366e-01,1,14,257,1
E,2,2.118114e-01,1,4.968366e-01,1,6,409,2
E,2,2.913520e-01,1,4.968366e-01,1,15,495,0
E,2,2.913520e-01,1,4.968366e-01,1,15,742,0
E,2,4.968366e-01,1,4.968366e-01,1,14,747,1
E,2,4.968366e-01,1,4.968366e-01,1,14,785,1
E,2,2.913520e-01,1,4.968366e-01,1,15,787,0
E,2,4.968366e-01,1,4.968366e-01,1,14,803,1
E,2,4.968366e-01,1,4.968366e-01,1,14,833,1
E,2,4.968366e-01,1,4.968366e-01,1,14,925,1
E,2,2.913520e-01,1,4.968366e-01,1,15,946,0
E,2,4.968366e-01,1,4.968366e-01,1,14,1098,1
E,2,4.968366e-01,1,4.968366e-01,1,14,1121,1
E,2,2.118114e-01,1,4.968366e-01,1,6,1141,2
E,2,4.968366e-01,1,4.968366e-01,1,14,1246,1
E,2,2.118114e-01,1,4.968366e-01,1,6,1291,2
E,2,2.913520e-01,1,4.968366e-01,1,15,1315,0
E,2,2.913520e-01,1,4.968366e-01,1,15,1376,0
E,2,2.913520e-01,1,4.968366e-01,1,15,1399,0
E,2,2.913520e-01,1,4.968366e-01,1,15,1401,0
E,2,4.968366e-01,1,4.968366e-01,1,14,1484,1
E,2,2.913520e-01,1,4.968366e-01,1,15,1562,0
E,2,2.913520e-01,1,4.968366e-01,1,15,1616,0
E,2,2.118114e-01,1,4.968366e-01,1,6,1623,2
E,2,2.913520e-01,1,4.968366e-01,1,15,1640,0
E,2,2.913520e-01,1,4.968366e-01,1,15,1674,0
E,2,2.913520e-01,1,4.968366e-01,1,15,2056,0
E,2,4.968366e-01,1,4.968366e-01,1,14,2078,1
E,2,2.118114e-01,1,4.968366e-01,1,6,2165,2
E,2,4.968366e-01,1,4.968366e-01,1,14,2166,1
E,2,4.968366e-01,1,4.968366e-01,1,14,2196,1
E,3,4.022665e-01,1,4.022665e-01,1,16,55,1
E,3,3.429885e-01,1,4.022665e-01,1,14,109,2
E,3,1.572631e-01,1,4.022665e-01,1,8,114,0
E,3,9.748188e-02,1,4.022665e-01,1,7,138,3
E,3,9.748188e-02,1,4.022665e-01,1,7,178,3
E,3,3.429885e-01,1,4.022665e-01,1,14,180,2
E,3,4.022665e-01,1,4.022665e-01,1,16,191,1
E,3,4.022665e-01,1,4.022665e-01,1,16,232,1
E,3,3.429885e-01,1,4.022665e-01,1,14,422,2
E,3,3.429885e-01,1,4.022665e-01,1,14,504,2
E,3,3.429885e-01,1,4.022665e-01,1,14,508,2
E,3,3.429885e-01,1,4.022665e-01,1,14,567,2
E,3,4.022665e-01,1,4.022665e-01,1,16,584,1
E,3,4.022665e-01,1,4.022665e-01,1,16,628,1
E,3,4.022665e-01,1,4.022665e-01,1,16,721,1
E,3,4.022665e-01,1,4.022665e-01,1,16,734,1
E,3,1.572631e-01,1,4.022665e-01,1,8,766,0
E,3,9.748188e-02,1,4.022665e-01,1,7,783,3
E,3,4.022665e-01,1,4.022665e-01,1,16,836,1
E,3,3.429885e-01,1,4.022665e-01,1,14,837,2
E,3,3.429885e-01,1,4.022665e-01,1,14,912,2
E,3,1.572631e-01,1,4.022665e-01,1,8,1088,0
E,3,4.022665e-01,1,4.022665e-01,1,16,1128,1
E,3,1.572631e-01,1,4.022665e-01,1,8,1183,0
E,3,4.022665e-01,1,4.022665e-01,1,16,1198,1
E,3,3.429885e-01,1,4.022665e-01,1,14,1214,2
E,3,4.022665e-01,1,4.022665e-01,1,16,1285,1
E,3,4.022665e-01,1,4.022665e-01,1,16,1319,1
E,3,3.429885e-01,1,4.022665e-01,1,14,1358,2
E,3,1.572631e-01,1,4.022665e-01,1,8,1379,0
E,3,9.748188e-02,1,4.022665e-01,1,7,1386,3
E,3,1.572631e-01,1,4.022665e-01,1,8,1398,0
E,3,1.572631e-01,1,4.022665e-01,1,8,1465,0
E,3,3.429885e-01,1,4.022665e-01,1,14,1626,2
E,3,3.429885e-01,1,4.022665e-01,1,14,1637,2
E,3,4.022665e-01,1,4.022665e-01,1,16,1676,1
E,3,9.748188e-02,1,4.022665e-01,1,7,1697,3
E,3,1.572631e-01,1,4.022665e-01,1,8,1763,0
E,3,9.748188e-02,1,4.022665e-01,1,7,1774,3
E,3,3.429885e-01,1,4.022665e-01,1,14,1785,2
E,3,4.022665e-01,1,4.022665e-01,1,16,1859,1
E,3,4.022665e-01,1,4.022665e-01,1,16,2019,1
E,3,9.748188e-02,1,4.022665e-01,1,7,2073,3
E,3,3.429885e-01,1,4.022665e-01,1,14,2079,2
E,3,4.022665e-01,1,4.022665e-01,1,16,2173,1
E,4,8.488598e-02,1,3.702700e-01,1,6,4,0
E,4,2.895087e-01,1,3.702700e-01,1,21,113,1
E,4,2.104713e-01,1,3.702700e-01,1,12,137,3
E,4,3.702700e-01,1,3.702700e-01,1,13,187,2
E,4,4.486406e-02,1,3.702700e-01,1,3,200,4
E,4,2.104713e-01,1,3.702700e-01,1,12,207,3
E,4,2.104713e-01,1,3.702700e-01,1,12,311,3
E,4,3.702700e-01,1,3.702700e-01,1,13,460,2
E,4,8.488598e-02,1,3.702700e-01,1,6,474,0
E,4,4.486406e-02,1,3.702700e-01,1,3,478,4
E,4,2.895087e-01,1,3.702700e-01,1,21,555,1
E,4,2.104713e-01,1,3.702700e-01,1,12,648,3
E,4,2.895087e-01,1,3.702700e-01,1,21,670,1
E,4,2.895087e-01,1,3.702700e-01,1,21,729,1
E,4,2.895087e-01,1,3.702700e-01,1,21,814,1
E,4,2.104713e-01,1,3.702700e-01,1,12,829,3
E,4,3.702700e-01,1,3.702700e-01,1,13,832,2
E,4,2.895087e-01,1,3.702700e-01,1,21,841,1
E,4,3.702700e-01,1,3.702700e-01,1,13,845,2
E,4,3.702700e-01,1,3.702700e-01,1,13,868,2
E,4,2.104713e-01,1,3.702700e-01,1,12,895,3
E,4,2.895087e-01,1,3.702700e-01,1,21,918,1
E,4,8.488598e-02,1,3.702700e-01,1,6,919,0
E,4,2.895087e-01,1,3.702700e-01,1,21,1083,1
E,4,8.488598e-02,1,3.702700e-01,1,6,1127,0
E,4,2.104713e-01,1,3.702700e-01,1,12,1154,3
E,4,3.702700e-01,1,3.702700e-01,1,13,1167,2
E,4,3.702700e-01,1,3.702700e-01,1,13,1261,2
E,4,2.895087e-01,1,3.702700e-01,1,21,1321,1
E,4,2.895087e-01,1,3.702700e-01,1,21,1326,1
E,4,2.104713e-01,1,3.702700e-01,1,12,1344,3
E,4,2.895087e-01,1,3.702700e-01,1,21,1368,1
E,4,3.702700e-01,1,3.702700e-01,1,13,1369,2
E,4,2.895087e-01,1,3.702700e-01,1,21,1445,1
E,4,2.104713e-01,1,3.702700e-01,1,12,1529,3
E,4,2.895087e-01,1,3.702700e-01,1,21,1532,1
E,4,2.104713e-01,1,3.702700e-01,1,12,1540,3
E,4,4.486406e-02,1,3.702700e-01,1,3,1590,4
E,4,2.895087e-01,1,3.702700e-01,1,21,1604,1
E,4,3.702700e-01,1,3.702700e-01,1,13,1682,2
E,4,3.702700e-01,1,3.702700e-01,1,13,1722,2
E,4,8.488598e-02,1,3.702700e-01,1,6,1727,0
E,4,2.895087e-01,1,3.702700e-01,1,21,1762,1
E,4,2.104713e-01,1,3.702700e-01,1,12,1773,3
E,4,2.895087e-01,1,3.702700e-01,1,21,1792,1
E,4,2.895087e-01,1,3.702700e-01,1,21,1821,1
E,4,2.895087e-01,1,3.702700e-01,1,21,1865,1
E,4,3.702700e-01,1,3.702700e-01,1,13,1927,2
E,4,2.895087e-01,1,3.702700e-01,1,21,1944,1
E,4,3.702700e-01,1,3.702700e-01,1,13,2013,2
E,4,2.104713e-01,1,3.702700e-01,1,12,2025,3
E,4,2.895087e-01,1,3.702700e-01,1,21,2042,1
E,4,3.702700e-01,1,3.702700e-01,1,13,2098,2
E,4,8.488598e-02,1,3.702700e-01,1,6,2112,0
E,4,2.895087e-01,1,3.702700e-01,1,21,2200,1
E,5,3.331012e-01,1,3.331012e-01,1,19,54,2
E,5,3.331012e-01,1,3.331012e-01,1,19,141,2
E,5,2.840154e-01,1,3.331012e-01,1,14,165,3
E,5,1.210814e-01,1,3.331012e-01,1,3,166,4
E,5,3.331012e-01,1,3.331012e-01,1,19,168,2
E,5,1.953352e-01,1,3.331012e-01,1,8,210,1
E,5,2.840154e-01,1,3.331012e-01,1,14,300,3
E,5,1.953352e-01,1,3.331012e-01,1,8,317,1
E,5,3.331012e-01,1,3.331012e-01,1,19,364,2
E,5,2.840154e-01,1,3.331012e-01,1,14,383,3
E,5,2.064777e-02,1,3.331012e-01,1,1,387,5
E,5,1.953352e-01,1,3.331012e-01,1,8,471,1
E,5,3.331012e-01,1,3.331012e-01,1,19,541,2
E,5,4.581893e-02,1,3.331012e-01,1,3,557,0
E,5,3.331012e-01,1,3.331012e-01,1,19,561,2
E,5,1.953352e-01,1,3.331012e-01,1,8,564,1
E,5,1.210814e-01,1,3.331012e-01,1,3,575,4
E,5,3.331012e-01,1,3.331012e-01,1,19,596,2
E,5,3.331012e-01,1,3.331012e-01,1,19,657,2
E,5,2.840154e-01,1,3.331012e-01,1,14,695,3
E,5,3.331012e-01,1,3.331012e-01,1,19,763,2
E,5,3.331012e-01,1,3.331012e-01,1,19,765,2
E,5,2.840154e-01,1,3.331012e-01,1,14,846,3
E,5,2.840154e-01,1,3.331012e-01,1,14,853,3
E,5,2.840154e-01,1,3.331012e-01,1,14,873,3
E,5,1.953352e-01,1,3.331012e-01,1,8,884,1
E,5,4.581893e-02,1,3.331012e-01,1,3,945,0
E,5,2.840154e-01,1,3.331012e-01,1,14,982,3
E,5,2.840154e-01,1,3.331012e-01,1,14,1001,3
E,5,4.581893e-02,1,3.331012e-01,1,3,1042,0
E,5,2.840154e-01,1,3.331012e-01,1,14,1139,3
E,5,1.953352e-01,1,3.331012e-01,1,8,1170,1
E,5,1.953352e-01,1,3.331012e-01,1,8,1184,1
E,5,3.331012e-01,1,3.331012e-01,1,19,1284,2
E,5,3.331012e-01,1,3.331012e-01,1,19,1436,2
E,5,3.331012e-01,1,3.331012e-01,1,19,1451,2
E,5,3.331012e-01,1,3.331012e-01,1,19,1549,2
E,5,1.953352e-01,1,3.331012e-01,1,8,1643,1
E,5,3.331012e-01,1,3.331012e-01,1,19,1687,2
E,5,2.840154e-01,1,3.331012e-01,1,14,1742,3
E,5,3.331012e-01,1,3.331012e-01,1,19,2000,2
E,5,3.331012e-01,1,3.331012e-01,1,19,2006,2
E,5,2.840154e-01,1,3.331012e-01,1,14,2022,3
E,5,3.331012e-01,1,3.331012e-01,1,19,2029,2
E,5,3.331012e-01,1,3.331012e-01,1,19,2067,2
E,5,1.210814e-01,1,3.331012e-01,1,3,2149,4
E,5,2.840154e-01,1,3.331012e-01,1,14,2160,3
E,5,2.840154e-01,1,3.331012e-01,1,14,2198,3
E,6,1.265234e-01,1,3.066062e-01,1,12,21,1
E,6,3.066062e-01,1,3.066062e-01,1,17,25,3
E,6,3.066062e-01,1,3.066062e-01,1,17,32,3
E,6,3.066062e-01,1,3.066062e-01,1,17,45,3
E,6,2.696972e-01,1,3.066062e-01,1,9,92,2
E,6,2.696972e-01,1,3.066062e-01,1,9,119,2
E,6,2.696972e-01,1,3.066062e-01,1,9,147,2
E,6,1.265234e-01,1,3.066062e-01,1,12,162,1
E,6,1.265234e-01,1,3.066062e-01,1,12,202,1
E,6,1.960685e-01,1,3.066062e-01,1,9,243,4
E,6,2.696972e-01,1,3.066062e-01,1,9,287,2
E,6,3.066062e-01,1,3.066062e-01,1,17,292,3
E,6,1.265234e-01,1,3.066062e-01,1,12,335,1
E,6,1.265234e-01,1,3.066062e-01,1,12,480,1
E,6,3.066062e-01,1,3.066062e-01,1,17,498,3
E,6,3.066062e-01,1,3.066062e-01,1,17,698,3
E,6,1.265234e-01,1,3.066062e-01,1,12,723,1
E,6,1.265234e-01,1,3.066062e-01,1,12,730,1
E,6,6.687032e-02,1,3.066062e-01,1,2,756,5
E,6,3.066062e-01,1,3.066062e-01,1,17,761,3
E,6,3.066062e-01,1,3.066062e-01,1,17,784,3
E,6,3.066062e-01,1,3.066062e-01,1,17,799,3
E,6,1.960685e-01,1,3.066062e-01,1,9,800,4
E,6,1.960685e-01,1,3.066062e-01,1,9,867,4
E,6,1.265234e-01,1,3.066062e-01,1,12,902,1
E,6,3.066062e-01,1,3.066062e-01,1,17,916,3
E,6,2.696972e-01,1,3.066062e-01,1,9,940,2
E,6,2.696972e-01,1,3.066062e-01,1,9,965,2
E,6,9.502718e-03,1,3.066062e-01,1,2,984,6
E,6,3.066062e-01,1,3.066062e-01,1,17,990,3
E,6,1.960685e-01,1,3.066062e-01,1,9,991,4
E,6,1.265234e-01,1,3.066062e-01,1,12,1093,1
E,6,1.265234e-01,1,3.066062e-01,1,12,1105,1
E,6,3.066062e-01,1,3.066062e-01,1,17,1135,3
E,6,3.066062e-01,1,3.066062e-01,1,17,1151,3
E,6,1.960685e-01,1,3.066062e-01,1,9,1203,4
E,6,1.960685e-01,1,3.066062e-01,1,9,1209,4
E,6,9.502718e-03,1,3.066062e-01,1,2,1265,6
E,6,3.066062e-01,1,3.066062e-01,1,17,1298,3
E,6,2.473170e-02,1,3.066062e-01,1,1,1320,0
