species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_00357,0.055103,0.984989,45
saccharomyces_kudriavzevii_ifo_1802,SKUD_189302,0.017819,0.836980,42
saccharomyces_eubayanus,DI49_0176,0.030791,0.920705,40
naumovozyma_dairenensis_cbs_421,NDAI_0A03410,0.120153,0.998057,39
naumovozyma_castellii_cbs_4309,NCAS_0A03570,0.076793,0.987732,33
zygosaccharomyces_bailii_isa1307,ZBAI_01110,-0.000000,0.234008,45
zygosaccharomyces_bailii_isa1307,ZBAI_07205,0.004045,0.549120,44
tetrapisispora_blattae_cbs_6284,TBLA_0C04050,0.348982,0.999573,48
tetrapisispora_phaffii_cbs_4417,TPHA_0F00830,0.072448,0.998147,58
zygosaccharomyces_rouxii,ZYRO0G10252g,0.066070,0.991559,44
vanderwaltozyma_polyspora_dsm_70294,Kpol_1061p42,0.171141,0.998736,47
tetrapisispora_blattae_cbs_6284,TBLA_0A09040,0.307952,0.999573,48
torulaspora_delbrueckii,TDEL_0F02330,0.036801,0.952292,44
lachancea_thermotolerans_cbs_6340,KLTH0E07854g,0.009880,0.656079,28
kluyveromyces_marxianus_dmku3_1042,KLMA_10460,0.015462,0.801415,39
eremothecium_cymbalariae_dbvpg_7215,Ecym_7235,0.015197,0.772023,34
lachancea_lanzarotensis,LALA0_S01e11848g,0.002464,0.428912,28
kluyveromyces_lactis,KLLA0_A09119g,0.054441,0.966115,33
hanseniaspora_osmophila,AWRI3579_g1681,0.001299,0.411029,55
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_3728,0.401268,0.999754,38
hanseniaspora_uvarum_dsm_2768,D499_0C00290,0.061730,0.977522,34
hanseniaspora_opuntiae,AWRI3578_g3516,0.008559,0.676806,37
