aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,16,323,0
E,1,5.000000e-01,2,5.000000e-01,2,16,342,0
E,1,5.000000e-01,2,5.000000e-01,2,16,589,0
E,1,5.000000e-01,2,5.000000e-01,2,16,779,0
E,1,5.000000e-01,2,5.000000e-01,2,16,831,0
E,1,5.000000e-01,2,5.000000e-01,2,16,950,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1027,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1642,1
E,1,5.000000e-01,2,5.000000e-01,2,16,1688,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1803,0
E,1,5.000000e-01,2,5.000000e-01,2,16,1858,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2085,1
E,1,5.000000e-01,2,5.000000e-01,2,16,2086,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2373,1
E,1,5.000000e-01,2,5.000000e-01,2,16,2511,0
E,1,5.000000e-01,2,5.000000e-01,2,16,2622,0
E,2,2.500000e-01,2,5.000000e-01,1,17,176,0
E,2,2.500000e-01,2,5.000000e-01,1,17,284,0
E,2,2.500000e-01,2,5.000000e-01,1,17,337,0
E,2,2.500000e-01,2,5.000000e-01,1,17,530,0
E,2,5.000000e-01,1,5.000000e-01,1,10,900,1
E,2,5.000000e-01,1,5.000000e-01,1,10,945,1
E,2,5.000000e-01,1,5.000000e-01,1,10,973,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1061,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1165,1
E,2,2.500000e-01,2,5.000000e-01,1,17,1234,0
E,2,2.500000e-01,2,5.000000e-01,1,17,1263,0
E,2,2.500000e-01,2,5.000000e-01,1,17,1290,0
E,2,2.500000e-01,2,5.000000e-01,1,17,1400,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1429,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1519,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1522,1
E,2,2.500000e-01,2,5.000000e-01,1,17,1638,0
E,2,5.000000e-01,1,5.000000e-01,1,10,2149,1
E,2,2.500000e-01,2,5.000000e-01,1,17,2256,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2260,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2272,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2421,2
E,2,5.000000e-01,1,5.000000e-01,1,10,2453,1
E,2,2.500000e-01,2,5.000000e-01,1,17,2532,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2577,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2734,0
E,2,2.500000e-01,2,5.000000e-01,1,17,2844,0
E,3,1.250000e-01,2,3.750000e-01,2,19,83,0
E,3,1.250000e-01,2,3.750000e-01,2,19,273,0
E,3,1.250000e-01,2,3.750000e-01,2,19,300,0
E,3,1.250000e-01,2,3.750000e-01,2,19,325,0
E,3,1.250000e-01,2,3.750000e-01,2,19,384,0
E,3,3.750000e-01,2,3.750000e-01,2,18,412,1
E,3,1.250000e-01,2,3.750000e-01,2,19,476,0
E,3,3.750000e-01,2,3.750000e-01,2,18,479,1
E,3,1.250000e-01,2,3.750000e-01,2,19,686,0
E,3,1.250000e-01,2,3.750000e-01,2,19,778,0
E,3,3.750000e-01,2,3.750000e-01,2,18,895,2
E,3,3.750000e-01,2,3.750000e-01,2,18,978,1
E,3,3.750000e-01,2,3.750000e-01,2,18,981,2
E,3,3.750000e-01,2,3.750000e-01,2,18,1032,2
E,3,1.250000e-01,2,3.750000e-01,2,19,1124,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1396,1
E,3,1.250000e-01,2,3.750000e-01,2,19,1426,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1487,0
E,3,1.250000e-01,2,3.750000e-01,2,19,1517,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1533,2
E,3,1.250000e-01,2,3.750000e-01,2,19,1654,0
E,3,3.750000e-01,2,3.750000e-01,2,18,1726,1
E,3,3.750000e-01,2,3.750000e-01,2,18,1947,2
E,3,3.750000e-01,2,3.750000e-01,2,18,2007,1
E,3,3.750000e-01,2,3.750000e-01,2,18,2040,2
E,3,3.750000e-01,2,3.750000e-01,2,18,2170,1
E,3,3.750000e-01,2,3.750000e-01,2,18,2279,1
E,3,3.750000e-01,2,3.750000e-01,2,18,2281,1
E,3,1.250000e-01,2,3.750000e-01,2,19,2339,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2639,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2675,0
E,3,3.750000e-01,2,3.750000e-01,2,18,2679,1
E,3,1.250000e-01,2,3.750000e-01,2,19,2721,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2803,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2877,0
E,3,3.750000e-01,2,3.750000e-01,2,18,2915,2
E,3,3.750000e-01,2,3.750000e-01,2,18,2948,1
E,4,6.250000e-02,2,3.750000e-01,1,18,76,0
E,4,3.750000e-01,1,3.750000e-01,1,16,114,2
E,4,2.500000e-01,2,3.750000e-01,1,24,166,3
E,4,6.250000e-02,2,3.750000e-01,1,18,179,0
E,4,6.250000e-02,2,3.750000e-01,1,18,192,0
E,4,3.750000e-01,1,3.750000e-01,1,16,297,2
E,4,2.500000e-01,2,3.750000e-01,1,24,346,1
E,4,2.500000e-01,2,3.750000e-01,1,24,366,1
E,4,6.250000e-02,2,3.750000e-01,1,18,375,0
E,4,2.500000e-01,2,3.750000e-01,1,24,405,1
E,4,6.250000e-02,2,3.750000e-01,1,18,433,0
E,4,6.250000e-02,2,3.750000e-01,1,18,439,0
E,4,2.500000e-01,2,3.750000e-01,1,24,464,1
E,4,2.500000e-01,2,3.750000e-01,1,24,489,1
E,4,2.500000e-01,2,3.750000e-01,1,24,514,1
E,4,3.750000e-01,1,3.750000e-01,1,16,557,2
E,4,2.500000e-01,2,3.750000e-01,1,24,580,1
E,4,2.500000e-01,2,3.750000e-01,1,24,715,1
E,4,6.250000e-02,2,3.750000e-01,1,18,792,0
E,4,6.250000e-02,2,3.750000e-01,1,18,948,0
E,4,2.500000e-01,2,3.750000e-01,1,24,965,1
E,4,3.750000e-01,1,3.750000e-01,1,16,1037,2
E,4,6.250000e-02,2,3.750000e-01,1,18,1038,0
E,4,6.250000e-02,2,3.750000e-01,1,18,1096,0
E,4,6.250000e-02,2,3.750000e-01,1,18,1133,0
E,4,2.500000e-01,2,3.750000e-01,1,24,1249,1
E,4,2.500000e-01,2,3.750000e-01,1,24,1266,1
E,4,3.750000e-01,1,3.750000e-01,1,16,1294,2
E,4,6.250000e-02,2,3.750000e-01,1,18,1372,0
E,4,3.750000e-01,1,3.750000e-01,1,16,1390,2
E,4,6.250000e-02,2,3.750000e-01,1,18,1488,0
E,4,6.250000e-02,2,3.750000e-01,1,18,1539,0
E,4,3.750000e-01,1,3.750000e-01,1,16,1640,2
E,4,3.750000e-01,1,3.750000e-01,1,16,1644,2
E,4,6.250000e-02,2,3.750000e-01,1,18,1707,0
E,4,3.750000e-01,1,3.750000e-01,1,16,1718,2
E,4,2.500000e-01,2,3.750000e-01,1,24,1863,1
E,4,2.500000e-01,2,3.750000e-01,1,24,1925,1
E,4,3.750000e-01,1,3.750000e-01,1,16,1939,2
E,4,2.500000e-01,2,3.750000e-01,1,24,1944,1
E,4,3.750000e-01,1,3.750000e-01,1,16,2022,2
E,4,3.750000e-01,1,3.750000e-01,1,16,2038,2
E,4,2.500000e-01,2,3.750000e-01,1,24,2136,1
E,4,3.750000e-01,1,3.750000e-01,1,16,2217,2
E,4,2.500000e-01,2,3.750000e-01,1,24,2342,1
E,4,2.500000e-01,2,3.750000e-01,1,24,2374,1
E,4,3.750000e-01,1,3.750000e-01,1,16,2375,2
E,4,3.750000e-01,1,3.750000e-01,1,16,2433,2
E,4,6.250000e-02,2,3.750000e-01,1,18,2470,0
E,4,2.500000e-01,2,3.750000e-01,1,24,2569,1
E,4,2.500000e-01,2,3.750000e-01,1,24,2612,1
E,4,2.500000e-01,2,3.750000e-01,1,24,2616,3
E,4,3.750000e-01,1,3.750000e-01,1,16,2709,2
E,4,6.250000e-02,2,3.750000e-01,1,18,2713,0
E,4,6.250000e-02,2,3.750000e-01,1,18,2740,0
E,4,2.500000e-01,2,3.750000e-01,1,24,2751,1
E,4,2.500000e-01,2,3.750000e-01,1,24,2790,1
E,4,2.500000e-01,2,3.750000e-01,1,24,2903,1
E,5,3.125000e-02,2,3.125000e-01,2,19,46,0
E,5,3.125000e-02,2,3.125000e-01,2,19,123,0
E,5,1.562500e-01,2,3.125000e-01,2,25,153,1
E,5,1.562500e-01,2,3.125000e-01,2,25,445,1
