aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,4.278394e-01,1,5.721606e-01,1,16,104,0
E,1,4.278394e-01,1,5.721606e-01,1,16,352,0
E,1,4.278394e-01,1,5.721606e-01,1,16,382,0
E,1,5.721606e-01,1,5.721606e-01,1,11,454,1
E,1,4.278394e-01,1,5.721606e-01,1,16,610,0
E,1,4.278394e-01,1,5.721606e-01,1,16,767,0
E,1,5.721606e-01,1,5.721606e-01,1,11,929,1
E,1,4.278394e-01,1,5.721606e-01,1,16,980,0
E,1,5.721606e-01,1,5.721606e-01,1,11,1028,1
E,1,4.278394e-01,1,5.721606e-01,1,16,1235,0
E,1,4.278394e-01,1,5.721606e-01,1,16,1390,0
E,1,4.278394e-01,1,5.721606e-01,1,16,1590,0
E,1,4.278394e-01,1,5.721606e-01,1,16,1642,0
E,1,5.721606e-01,1,5.721606e-01,1,11,1992,1
E,1,5.721606e-01,1,5.721606e-01,1,11,2047,1
E,1,5.721606e-01,1,5.721606e-01,1,11,2078,1
E,1,5.721606e-01,1,5.721606e-01,1,11,2085,1
E,1,4.278394e-01,1,5.721606e-01,1,16,2122,0
E,1,4.278394e-01,1,5.721606e-01,1,16,2165,0
E,1,4.278394e-01,1,5.721606e-01,1,16,2285,0
E,1,4.278394e-01,1,5.721606e-01,1,16,2331,0
E,1,5.721606e-01,1,5.721606e-01,1,11,2408,1
E,1,5.721606e-01,1,5.721606e-01,1,11,2531,1
E,1,4.278394e-01,1,5.721606e-01,1,16,2566,0
E,1,5.721606e-01,1,5.721606e-01,1,11,2816,1
E,1,5.721606e-01,1,5.721606e-01,1,11,2843,1
E,1,4.278394e-01,1,5.721606e-01,1,16,2881,0
E,2,3.273677e-01,1,4.895857e-01,1,8,146,2
E,2,4.895857e-01,1,4.895857e-01,1,13,207,1
E,2,4.895857e-01,1,4.895857e-01,1,13,252,1
E,2,4.895857e-01,1,4.895857e-01,1,13,269,1
E,2,1.830466e-01,1,4.895857e-01,1,9,299,0
E,2,1.830466e-01,1,4.895857e-01,1,9,362,0
E,2,4.895857e-01,1,4.895857e-01,1,13,408,1
E,2,1.830466e-01,1,4.895857e-01,1,9,642,0
E,2,4.895857e-01,1,4.895857e-01,1,13,665,1
E,2,3.273677e-01,1,4.895857e-01,1,8,774,2
E,2,1.830466e-01,1,4.895857e-01,1,9,817,0
E,2,3.273677e-01,1,4.895857e-01,1,8,871,2
E,2,3.273677e-01,1,4.895857e-01,1,8,968,2
E,2,4.895857e-01,1,4.895857e-01,1,13,1101,1
E,2,3.273677e-01,1,4.895857e-01,1,8,1179,2
E,2,3.273677e-01,1,4.895857e-01,1,8,1327,2
E,2,4.895857e-01,1,4.895857e-01,1,13,1492,1
E,2,4.895857e-01,1,4.895857e-01,1,13,1574,1
E,2,3.273677e-01,1,4.895857e-01,1,8,1639,2
E,2,1.830466e-01,1,4.895857e-01,1,9,1653,0
E,2,4.895857e-01,1,4.895857e-01,1,13,2019,1
E,2,1.830466e-01,1,4.895857e-01,1,9,2077,0
E,2,1.830466e-01,1,4.895857e-01,1,9,2143,0
E,2,3.273677e-01,1,4.895857e-01,1,8,2337,2
E,2,4.895857e-01,1,4.895857e-01,1,13,2410,1
E,2,4.895857e-01,1,4.895857e-01,1,13,2425,1
E,2,1.830466e-01,1,4.895857e-01,1,9,2756,0
E,2,4.895857e-01,1,4.895857e-01,1,13,2769,1
E,2,4.895857e-01,1,4.895857e-01,1,13,2827,1
E,2,1.830466e-01,1,4.895857e-01,1,9,2834,0
E,3,4.201824e-01,1,4.201824e-01,1,21,11,2
E,3,7.831455e-02,1,4.201824e-01,1,2,91,0
E,3,3.141961e-01,1,4.201824e-01,1,17,141,1
E,3,1.873069e-01,1,4.201824e-01,1,6,192,3
E,3,4.201824e-01,1,4.201824e-01,1,21,245,2
E,3,4.201824e-01,1,4.201824e-01,1,21,341,2
E,3,7.831455e-02,1,4.201824e-01,1,2,459,0
E,3,4.201824e-01,1,4.201824e-01,1,21,480,2
E,3,4.201824e-01,1,4.201824e-01,1,21,481,2
E,3,4.201824e-01,1,4.201824e-01,1,21,485,2
E,3,3.141961e-01,1,4.201824e-01,1,17,496,1
E,3,4.201824e-01,1,4.201824e-01,1,21,540,2
E,3,4.201824e-01,1,4.201824e-01,1,21,555,2
E,3,3.141961e-01,1,4.201824e-01,1,17,700,1
E,3,1.873069e-01,1,4.201824e-01,1,6,726,3
E,3,4.201824e-01,1,4.201824e-01,1,21,808,2
E,3,4.201824e-01,1,4.201824e-01,1,21,982,2
E,3,3.141961e-01,1,4.201824e-01,1,17,1009,1
E,3,4.201824e-01,1,4.201824e-01,1,21,1023,2
E,3,4.201824e-01,1,4.201824e-01,1,21,1031,2
E,3,4.201824e-01,1,4.201824e-01,1,21,1196,2
E,3,3.141961e-01,1,4.201824e-01,1,17,1381,1
E,3,3.141961e-01,1,4.201824e-01,1,17,1399,1
E,3,4.201824e-01,1,4.201824e-01,1,21,1672,2
E,3,3.141961e-01,1,4.201824e-01,1,17,1691,1
E,3,3.141961e-01,1,4.201824e-01,1,17,1768,1
E,3,3.141961e-01,1,4.201824e-01,1,17,1846,1
E,3,4.201824e-01,1,4.201824e-01,1,21,1943,2
E,3,4.201824e-01,1,4.201824e-01,1,21,1991,2
E,3,3.141961e-01,1,4.201824e-01,1,17,2042,1
E,3,4.201824e-01,1,4.201824e-01,1,21,2096,2
E,3,4.201824e-01,1,4.201824e-01,1,21,2175,2
E,3,4.201824e-01,1,4.201824e-01,1,21,2199,2
E,3,1.873069e-01,1,4.201824e-01,1,6,2224,3
E,3,1.873069e-01,1,4.201824e-01,1,6,2254,3
E,3,3.141961e-01,1,4.201824e-01,1,17,2270,1
E,3,4.201824e-01,1,4.201824e-01,1,21,2282,2
E,3,4.201824e-01,1,4.201824e-01,1,21,2400,2
E,3,3.141961e-01,1,4.201824e-01,1,17,2558,1
E,3,3.141961e-01,1,4.201824e-01,1,17,2608,1
E,3,3.141961e-01,1,4.201824e-01,1,17,2758,1
E,3,3.141961e-01,1,4.201824e-01,1,17,2770,1
E,3,3.141961e-01,1,4.201824e-01,1,17,2782,1
E,3,1.873069e-01,1,4.201824e-01,1,6,2802,3
E,3,1.873069e-01,1,4.201824e-01,1,6,2821,3
E,3,3.141961e-01,1,4.201824e-01,1,17,2824,1
E,4,3.595412e-01,1,3.595412e-01,1,18,125,2
E,4,3.205491e-01,1,3.595412e-01,1,12,153,3
E,4,1.792340e-01,1,3.595412e-01,1,12,230,1
E,4,1.071696e-01,1,3.595412e-01,1,5,307,4
E,4,3.205491e-01,1,3.595412e-01,1,12,325,3
E,4,3.205491e-01,1,3.595412e-01,1,12,390,3
E,4,3.205491e-01,1,3.595412e-01,1,12,516,3
