aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,22,119,1
E,1,5.000000e-01,2,5.000000e-01,2,22,192,0
E,1,5.000000e-01,2,5.000000e-01,2,22,416,0
E,1,5.000000e-01,2,5.000000e-01,2,22,434,0
E,1,5.000000e-01,2,5.000000e-01,2,22,461,1
E,1,5.000000e-01,2,5.000000e-01,2,22,528,1
E,1,5.000000e-01,2,5.000000e-01,2,22,532,0
E,1,5.000000e-01,2,5.000000e-01,2,22,613,1
E,1,5.000000e-01,2,5.000000e-01,2,22,751,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1035,1
E,1,5.000000e-01,2,5.000000e-01,2,22,1102,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1278,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1398,1
E,1,5.000000e-01,2,5.000000e-01,2,22,1417,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1579,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1605,0
E,1,5.000000e-01,2,5.000000e-01,2,22,1683,1
E,1,5.000000e-01,2,5.000000e-01,2,22,1811,1
E,1,5.000000e-01,2,5.000000e-01,2,22,2214,0
E,1,5.000000e-01,2,5.000000e-01,2,22,2244,0
E,1,5.000000e-01,2,5.000000e-01,2,22,2301,1
E,1,5.000000e-01,2,5.000000e-01,2,22,2405,0
E,2,2.500000e-01,2,5.000000e-01,1,10,65,2
E,2,2.500000e-01,2,5.000000e-01,1,10,167,0
E,2,5.000000e-01,1,5.000000e-01,1,10,418,1
E,2,2.500000e-01,2,5.000000e-01,1,10,439,0
E,2,2.500000e-01,2,5.000000e-01,1,10,443,0
E,2,2.500000e-01,2,5.000000e-01,1,10,551,2
E,2,5.000000e-01,1,5.000000e-01,1,10,611,1
E,2,5.000000e-01,1,5.000000e-01,1,10,638,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1002,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1124,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1185,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1369,2
E,2,2.500000e-01,2,5.000000e-01,1,10,1640,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1667,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1675,2
E,2,5.000000e-01,1,5.000000e-01,1,10,1745,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1767,1
E,2,2.500000e-01,2,5.000000e-01,1,10,1803,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1963,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1995,1
E,3,3.750000e-01,2,3.750000e-01,2,25,24,2
E,3,3.750000e-01,2,3.750000e-01,2,25,133,1
E,3,3.750000e-01,2,3.750000e-01,2,25,235,2
E,3,1.250000e-01,2,3.750000e-01,2,13,359,0
E,3,1.250000e-01,2,3.750000e-01,2,13,361,0
E,3,1.250000e-01,2,3.750000e-01,2,13,394,0
E,3,1.250000e-01,2,3.750000e-01,2,13,408,0
E,3,1.250000e-01,2,3.750000e-01,2,13,502,0
E,3,3.750000e-01,2,3.750000e-01,2,25,503,1
E,3,3.750000e-01,2,3.750000e-01,2,25,505,1
E,3,3.750000e-01,2,3.750000e-01,2,25,526,1
E,3,1.250000e-01,2,3.750000e-01,2,13,546,0
E,3,3.750000e-01,2,3.750000e-01,2,25,570,2
E,3,3.750000e-01,2,3.750000e-01,2,25,589,1
E,3,1.250000e-01,2,3.750000e-01,2,13,692,0
E,3,3.750000e-01,2,3.750000e-01,2,25,881,2
