aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,21,97,0
E,1,5.000000e-01,2,5.000000e-01,2,21,121,0
E,1,5.000000e-01,2,5.000000e-01,2,21,122,0
E,1,5.000000e-01,2,5.000000e-01,2,21,162,0
E,1,5.000000e-01,2,5.000000e-01,2,21,340,0
E,1,5.000000e-01,2,5.000000e-01,2,21,429,0
E,1,5.000000e-01,2,5.000000e-01,2,21,626,0
E,1,5.000000e-01,2,5.000000e-01,2,21,680,0
E,1,5.000000e-01,2,5.000000e-01,2,21,714,0
E,1,5.000000e-01,2,5.000000e-01,2,21,953,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1094,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1306,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1436,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1591,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1639,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1819,0
E,1,5.000000e-01,2,5.000000e-01,2,21,1827,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2457,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2772,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2786,0
E,1,5.000000e-01,2,5.000000e-01,2,21,2831,0
E,2,2.500000e-01,2,5.000000e-01,1,14,64,0
E,2,5.000000e-01,1,5.000000e-01,1,10,149,0
E,2,5.000000e-01,1,5.000000e-01,1,10,305,0
E,2,5.000000e-01,1,5.000000e-01,1,10,306,0
E,2,5.000000e-01,1,5.000000e-01,1,10,346,0
E,2,2.500000e-01,2,5.000000e-01,1,14,397,0
E,2,2.500000e-01,2,5.000000e-01,1,14,486,0
E,2,2.500000e-01,2,5.000000e-01,1,14,529,0
E,2,5.000000e-01,1,5.000000e-01,1,10,611,0
E,2,2.500000e-01,2,5.000000e-01,1,14,625,0
E,2,2.500000e-01,2,5.000000e-01,1,14,954,0
E,2,2.500000e-01,2,5.000000e-01,1,14,955,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1036,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1536,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1545,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1653,0
E,2,5.000000e-01,1,5.000000e-01,1,10,1911,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1979,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2166,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2199,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2231,0
E,2,5.000000e-01,1,5.000000e-01,1,10,2254,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2481,0
E,2,5.000000e-01,1,5.000000e-01,1,10,2641,0
E,3,1.250000e-01,2,3.750000e-01,2,5,19,3
E,3,1.250000e-01,2,3.750000e-01,2,5,21,3
E,3,3.750000e-01,2,3.750000e-01,2,25,82,3
E,3,3.750000e-01,2,3.750000e-01,2,25,168,3
E,3,3.750000e-01,2,3.750000e-01,2,25,171,3
E,3,3.750000e-01,2,3.750000e-01,2,25,200,3
E,3,3.750000e-01,2,3.750000e-01,2,25,229,3
E,3,3.750000e-01,2,3.750000e-01,2,25,266,3
E,3,3.750000e-01,2,3.750000e-01,2,25,273,3
E,3,3.750000e-01,2,3.750000e-01,2,25,302,3
E,3,1.250000e-01,2,3.750000e-01,2,5,331,3
E,3,3.750000e-01,2,3.750000e-01,2,25,396,3
E,3,1.250000e-01,2,3.750000e-01,2,5,753,3
E,3,3.750000e-01,2,3.750000e-01,2,25,893,3
E,3,3.750000e-01,2,3.750000e-01,2,25,960,3
E,3,3.750000e-01,2,3.750000e-01,2,25,1199,3
E,3,3.750000e-01,2,3.750000e-01,2,25,1226,3
E,3,1.250000e-01,2,3.750000e-01,2,5,1345,3
E,3,3.750000e-01,2,3.750000e-01,2,25,1512,3
E,3,3.750000e-01,2,3.750000e-01,2,25,1544,3
E,3,3.750000e-01,2,3.750000e-01,2,25,1642,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2088,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2163,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2188,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2348,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2544,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2599,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2691,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2822,3
E,3,3.750000e-01,2,3.750000e-01,2,25,2851,3
E,4,2.500000e-01,2,3.750000e-01,1,27,209,3
E,4,3.750000e-01,1,3.750000e-01,1,19,263,3
E,4,2.500000e-01,2,3.750000e-01,1,27,308,3
E,4,6.250000e-02,2,3.750000e-01,1,3,329,3
E,4,2.500000e-01,2,3.750000e-01,1,27,453,3
E,4,2.500000e-01,2,3.750000e-01,1,27,513,3
E,4,6.250000e-02,2,3.750000e-01,1,3,527,3
E,4,3.750000e-01,1,3.750000e-01,1,19,592,3
E,4,3.750000e-01,1,3.750000e-01,1,19,639,3
E,4,2.500000e-01,2,3.750000e-01,1,27,742,3
E,4,2.500000e-01,2,3.750000e-01,1,27,782,3
E,4,2.500000e-01,2,3.750000e-01,1,27,797,3
E,4,2.500000e-01,2,3.750000e-01,1,27,822,3
E,4,2.500000e-01,2,3.750000e-01,1,27,825,3
E,4,3.750000e-01,1,3.750000e-01,1,19,844,3
E,4,3.750000e-01,1,3.750000e-01,1,19,852,3
E,4,2.500000e-01,2,3.750000e-01,1,27,942,3
E,4,3.750000e-01,1,3.750000e-01,1,19,1066,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1082,3
E,4,3.750000e-01,1,3.750000e-01,1,19,1084,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1211,3
E,4,3.750000e-01,1,3.750000e-01,1,19,1227,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1250,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1403,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1439,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1475,3
E,4,3.750000e-01,1,3.750000e-01,1,19,1481,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1516,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1540,3
E,4,2.500000e-01,2,3.750000e-01,1,27,1790,3
E,4,3.750000e-01,1,3.750000e-01,1,19,1843,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2018,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2027,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2089,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2108,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2141,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2152,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2190,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2253,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2258,3
E,4,6.250000e-02,2,3.750000e-01,1,3,2317,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2342,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2636,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2712,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2764,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2840,3
E,4,3.750000e-01,1,3.750000e-01,1,19,2847,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2856,3
E,4,2.500000e-01,2,3.750000e-01,1,27,2861,3
E,5,3.125000e-01,2,3.125000e-01,2,23,20,2
E,5,1.562500e-01,2,3.125000e-01,2,13,28,2
E,5,3.125000e-01,2,3.125000e-01,2,23,155,2
E,5,3.125000e-01,2,3.125000e-01,2,23,206,2
E,5,3.125000e-01,2,3.125000e-01,2,23,545,2
E,5,3.125000e-01,2,3.125000e-01,2,23,551,2
E,5,3.125000e-01,2,3.125000e-01,2,23,630,2
E,5,3.125000e-01,2,3.125000e-01,2,23,755,2
E,5,3.125000e-01,2,3.125000e-01,2,23,834,2
E,5,3.125000e-01,2,3.125000e-01,2,23,855,2
E,5,1.562500e-01,2,3.125000e-01,2,13,863,2
E,5,1.562500e-01,2,3.125000e-01,2,13,909,2
E,5,3.125000e-01,2,3.125000e-01,2,23,947,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1114,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1239,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1263,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1472,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1500,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1552,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1693,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1764,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1912,2
E,5,3.125000e-01,2,3.125000e-01,2,23,1923,2
E,5,1.562500e-01,2,3.125000e-01,2,13,1988,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2059,2
E,5,1.562500e-01,2,3.125000e-01,2,13,2131,2
E,5,1.562500e-01,2,3.125000e-01,2,13,2148,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2235,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2338,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2394,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2536,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2612,2
E,5,3.125000e-02,2,3.125000e-01,2,2,2643,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2654,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2819,2
E,5,3.125000e-01,2,3.125000e-01,2,23,2825,2
E,5,3.125000e-02,2,3.125000e-01,2,2,2853,2
E,5,1.562500e-01,2,3.125000e-01,2,13,2860,2
E,6,2.343750e-01,2,3.125000e-01,1,33,26,4
E,6,3.125000e-01,1,3.125000e-01,1,16,52,4
E,6,2.343750e-01,2,3.125000e-01,1,33,55,4
E,6,9.375000e-02,2,3.125000e-01,1,6,113,4
E,6,3.125000e-01,1,3.125000e-01,1,16,127,4
E,6,3.125000e-01,1,3.125000e-01,1,16,173,4
E,6,9.375000e-02,2,3.125000e-01,1,6,184,4
E,6,2.343750e-01,2,3.125000e-01,1,33,205,4
E,6,2.343750e-01,2,3.125000e-01,1,33,403,4
E,6,3.125000e-01,1,3.125000e-01,1,16,421,4
E,6,2.343750e-01,2,3.125000e-01,1,33,443,4
E,6,2.343750e-01,2,3.125000e-01,1,33,512,4
E,6,3.125000e-01,1,3.125000e-01,1,16,531,4
E,6,3.125000e-01,1,3.125000e-01,1,16,535,4
E,6,3.125000e-01,1,3.125000e-01,1,16,575,4
E,6,2.343750e-01,2,3.125000e-01,1,33,596,4
E,6,3.125000e-01,1,3.125000e-01,1,16,698,4
E,6,2.343750e-01,2,3.125000e-01,1,33,747,4
E,6,2.343750e-01,2,3.125000e-01,1,33,752,4
E,6,3.125000e-01,1,3.125000e-01,1,16,765,4
E,6,2.343750e-01,2,3.125000e-01,1,33,781,4
E,6,3.125000e-01,1,3.125000e-01,1,16,832,4
E,6,3.125000e-01,1,3.125000e-01,1,16,840,4
E,6,2.343750e-01,2,3.125000e-01,1,33,841,4
E,6,2.343750e-01,2,3.125000e-01,1,33,843,4
E,6,1.562500e-02,2,3.125000e-01,1,2,848,4
E,6,2.343750e-01,2,3.125000e-01,1,33,946,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1038,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1100,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1194,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1322,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1339,4
E,6,3.125000e-01,1,3.125000e-01,1,16,1394,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1408,4
E,6,3.125000e-01,1,3.125000e-01,1,16,1413,4
E,6,3.125000e-01,1,3.125000e-01,1,16,1511,4
E,6,9.375000e-02,2,3.125000e-01,1,6,1522,4
E,6,3.125000e-01,1,3.125000e-01,1,16,1535,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1557,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1561,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1585,4
E,6,2.343750e-01,2,3.125000e-01,1,33,1889,4
E,6,3.125000e-01,1,3.125000e-01,1,16,1940,4
E,6,9.375000e-02,2,3.125000e-01,1,6,2081,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2114,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2122,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2232,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2249,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2255,4
E,6,1.562500e-02,2,3.125000e-01,1,2,2532,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2543,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2614,4
E,6,9.375000e-02,2,3.125000e-01,1,6,2658,4
E,6,9.375000e-02,2,3.125000e-01,1,6,2684,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2705,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2766,4
E,6,2.343750e-01,2,3.125000e-01,1,33,2770,4
E,7,2.734375e-01,2,2.734375e-01,2,39,5,4
E,7,1.640625e-01,2,2.734375e-01,2,16,6,4
E,7,1.640625e-01,2,2.734375e-01,2,16,77,4
E,7,2.734375e-01,2,2.734375e-01,2,39,88,4
E,7,2.734375e-01,2,2.734375e-01,2,39,230,4
E,7,1.640625e-01,2,2.734375e-01,2,16,232,4
E,7,2.734375e-01,2,2.734375e-01,2,39,261,4
E,7,2.734375e-01,2,2.734375e-01,2,39,267,4
E,7,2.734375e-01,2,2.734375e-01,2,39,344,4
E,7,2.734375e-01,2,2.734375e-01,2,39,345,4
E,7,2.734375e-01,2,2.734375e-01,2,39,363,4
E,7,1.640625e-01,2,2.734375e-01,2,16,373,4
E,7,5.468750e-02,2,2.734375e-01,2,7,437,4
E,7,1.640625e-01,2,2.734375e-01,2,16,541,4
E,7,2.734375e-01,2,2.734375e-01,2,39,570,4
E,7,2.734375e-01,2,2.734375e-01,2,39,582,4
E,7,2.734375e-01,2,2.734375e-01,2,39,721,4
E,7,2.734375e-01,2,2.734375e-01,2,39,829,4
E,7,5.468750e-02,2,2.734375e-01,2,7,866,4
E,7,5.468750e-02,2,2.734375e-01,2,7,912,4
E,7,2.734375e-01,2,2.734375e-01,2,39,924,4
E,7,2.734375e-01,2,2.734375e-01,2,39,999,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1205,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1207,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1281,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1346,4
E,7,5.468750e-02,2,2.734375e-01,2,7,1357,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1441,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1445,4
E,7,5.468750e-02,2,2.734375e-01,2,7,1446,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1482,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1497,4
E,7,7.812500e-03,2,2.734375e-01,2,1,1606,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1747,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1761,4
E,7,5.468750e-02,2,2.734375e-01,2,7,1762,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1786,4
E,7,1.640625e-01,2,2.734375e-01,2,16,1821,4
E,7,2.734375e-01,2,2.734375e-01,2,39,1861,4
