aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,20,559,0
E,1,5.000000e-01,2,5.000000e-01,2,20,560,0
E,1,5.000000e-01,2,5.000000e-01,2,20,601,1
E,1,5.000000e-01,2,5.000000e-01,2,20,625,1
E,1,5.000000e-01,2,5.000000e-01,2,20,748,1
E,1,5.000000e-01,2,5.000000e-01,2,20,811,0
E,1,5.000000e-01,2,5.000000e-01,2,20,950,0
E,1,5.000000e-01,2,5.000000e-01,2,20,957,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1040,0
E,1,5.000000e-01,2,5.000000e-01,2,20,1060,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1093,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1113,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1395,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1600,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1630,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1860,1
E,1,5.000000e-01,2,5.000000e-01,2,20,1952,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2027,1
E,1,5.000000e-01,2,5.000000e-01,2,20,2143,0
E,1,5.000000e-01,2,5.000000e-01,2,20,2175,1
E,2,5.000000e-01,1,5.000000e-01,1,11,63,1
E,2,2.500000e-01,2,5.000000e-01,1,16,163,2
E,2,2.500000e-01,2,5.000000e-01,1,16,213,2
E,2,5.000000e-01,1,5.000000e-01,1,11,400,1
E,2,5.000000e-01,1,5.000000e-01,1,11,422,1
E,2,2.500000e-01,2,5.000000e-01,1,16,426,2
E,2,2.500000e-01,2,5.000000e-01,1,16,449,2
E,2,5.000000e-01,1,5.000000e-01,1,11,573,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1000,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1051,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1087,2
E,2,5.000000e-01,1,5.000000e-01,1,11,1092,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1181,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1183,2
E,2,2.500000e-01,2,5.000000e-01,1,16,1259,2
E,2,5.000000e-01,1,5.000000e-01,1,11,1337,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1571,0
E,2,2.500000e-01,2,5.000000e-01,1,16,1609,2
E,2,5.000000e-01,1,5.000000e-01,1,11,1659,1
E,2,2.500000e-01,2,5.000000e-01,1,16,1677,0
E,2,5.000000e-01,1,5.000000e-01,1,11,1941,1
E,2,5.000000e-01,1,5.000000e-01,1,11,1973,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2134,0
E,2,2.500000e-01,2,5.000000e-01,1,16,2165,0
E,2,5.000000e-01,1,5.000000e-01,1,11,2370,1
E,2,5.000000e-01,1,5.000000e-01,1,11,2379,1
E,2,2.500000e-01,2,5.000000e-01,1,16,2425,2
E,3,3.750000e-01,2,3.750000e-01,2,22,29,2
E,3,3.750000e-01,2,3.750000e-01,2,22,108,2
E,3,1.250000e-01,2,3.750000e-01,2,22,122,3
E,3,3.750000e-01,2,3.750000e-01,2,22,170,2
E,3,1.250000e-01,2,3.750000e-01,2,22,219,3
E,3,3.750000e-01,2,3.750000e-01,2,22,278,2
E,3,3.750000e-01,2,3.750000e-01,2,22,330,2
E,3,3.750000e-01,2,3.750000e-01,2,22,364,1
E,3,1.250000e-01,2,3.750000e-01,2,22,366,3
E,3,1.250000e-01,2,3.750000e-01,2,22,425,3
E,3,1.250000e-01,2,3.750000e-01,2,22,450,3
E,3,3.750000e-01,2,3.750000e-01,2,22,618,2
E,3,1.250000e-01,2,3.750000e-01,2,22,665,3
E,3,1.250000e-01,2,3.750000e-01,2,22,739,3
E,3,1.250000e-01,2,3.750000e-01,2,22,746,0
E,3,1.250000e-01,2,3.750000e-01,2,22,801,0
E,3,1.250000e-01,2,3.750000e-01,2,22,806,0
E,3,3.750000e-01,2,3.750000e-01,2,22,893,2
E,3,3.750000e-01,2,3.750000e-01,2,22,1015,2
E,3,1.250000e-01,2,3.750000e-01,2,22,1144,3
E,3,3.750000e-01,2,3.750000e-01,2,22,1186,1
E,3,3.750000e-01,2,3.750000e-01,2,22,1261,1
E,3,3.750000e-01,2,3.750000e-01,2,22,1268,1
E,3,3.750000e-01,2,3.750000e-01,2,22,1331,2
E,3,1.250000e-01,2,3.750000e-01,2,22,1339,3
E,3,1.250000e-01,2,3.750000e-01,2,22,1424,3
E,3,3.750000e-01,2,3.750000e-01,2,22,1479,2
E,3,3.750000e-01,2,3.750000e-01,2,22,1530,2
E,3,1.250000e-01,2,3.750000e-01,2,22,1531,0
E,3,3.750000e-01,2,3.750000e-01,2,22,1575,1
