aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.315967e-01,1,5.315967e-01,1,70,40,0
E,1,5.315967e-01,1,5.315967e-01,1,70,94,0
E,1,5.315967e-01,1,5.315967e-01,1,70,101,0
E,1,5.315967e-01,1,5.315967e-01,1,70,113,0
E,1,5.315967e-01,1,5.315967e-01,1,70,117,0
E,1,4.684033e-01,1,5.315967e-01,1,43,201,1
E,1,5.315967e-01,1,5.315967e-01,1,70,203,0
E,1,4.684033e-01,1,5.315967e-01,1,43,219,1
E,1,5.315967e-01,1,5.315967e-01,1,70,256,0
E,1,5.315967e-01,1,5.315967e-01,1,70,281,0
E,1,4.684033e-01,1,5.315967e-01,1,43,285,1
E,1,4.684033e-01,1,5.315967e-01,1,43,296,1
E,1,4.684033e-01,1,5.315967e-01,1,43,390,1
E,1,5.315967e-01,1,5.315967e-01,1,70,401,0
E,1,4.684033e-01,1,5.315967e-01,1,43,416,1
E,1,4.684033e-01,1,5.315967e-01,1,43,460,1
E,1,5.315967e-01,1,5.315967e-01,1,70,464,0
E,1,4.684033e-01,1,5.315967e-01,1,43,688,1
E,1,5.315967e-01,1,5.315967e-01,1,70,730,0
E,1,5.315967e-01,1,5.315967e-01,1,70,739,0
E,1,5.315967e-01,1,5.315967e-01,1,70,751,0
E,1,5.315967e-01,1,5.315967e-01,1,70,776,0
E,1,5.315967e-01,1,5.315967e-01,1,70,833,0
E,1,5.315967e-01,1,5.315967e-01,1,70,871,0
E,1,4.684033e-01,1,5.315967e-01,1,43,882,1
E,1,5.315967e-01,1,5.315967e-01,1,70,891,0
E,1,5.315967e-01,1,5.315967e-01,1,70,934,0
E,1,5.315967e-01,1,5.315967e-01,1,70,982,0
E,1,5.315967e-01,1,5.315967e-01,1,70,993,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1040,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1044,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1054,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1061,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1132,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1141,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1144,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1147,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1175,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1219,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1229,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1234,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1236,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1239,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1253,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1300,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1303,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1359,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1371,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1413,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1434,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1437,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1446,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1459,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1483,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1499,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1536,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1539,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1547,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1557,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1576,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1592,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1610,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1633,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1636,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1664,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1672,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1674,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1691,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1726,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1740,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1763,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1766,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1774,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1785,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1799,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1825,1
E,1,4.684033e-01,1,5.315967e-01,1,43,1834,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1872,0
E,1,4.684033e-01,1,5.315967e-01,1,43,1892,1
E,1,5.315967e-01,1,5.315967e-01,1,70,1916,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1934,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1944,0
E,1,5.315967e-01,1,5.315967e-01,1,70,1991,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2008,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2009,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2011,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2015,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2019,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2020,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2038,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2066,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2148,1
E,1,4.684033e-01,1,5.315967e-01,1,43,2164,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2233,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2259,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2264,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2309,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2343,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2385,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2440,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2509,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2515,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2541,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2554,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2557,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2571,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2574,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2600,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2613,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2628,0
E,1,4.684033e-01,1,5.315967e-01,1,43,2705,1
E,1,5.315967e-01,1,5.315967e-01,1,70,2710,0
E,1,5.315967e-01,1,5.315967e-01,1,70,2736,0
E,2,2.825951e-01,1,4.980033e-01,1,59,44,0
E,2,4.980033e-01,1,4.980033e-01,1,55,50,1
E,2,4.980033e-01,1,4.980033e-01,1,55,92,1
E,2,2.194016e-01,1,4.980033e-01,1,18,100,2
E,2,4.980033e-01,1,4.980033e-01,1,55,108,1
E,2,2.825951e-01,1,4.980033e-01,1,59,120,0
E,2,4.980033e-01,1,4.980033e-01,1,55,128,1
E,2,4.980033e-01,1,4.980033e-01,1,55,135,1
E,2,2.825951e-01,1,4.980033e-01,1,59,174,0
E,2,2.825951e-01,1,4.980033e-01,1,59,183,0
E,2,2.825951e-01,1,4.980033e-01,1,59,195,0
E,2,2.825951e-01,1,4.980033e-01,1,59,215,0
E,2,4.980033e-01,1,4.980033e-01,1,55,236,1
E,2,2.825951e-01,1,4.980033e-01,1,59,255,0
E,2,4.980033e-01,1,4.980033e-01,1,55,260,1
E,2,2.825951e-01,1,4.980033e-01,1,59,261,0
E,2,2.825951e-01,1,4.980033e-01,1,59,314,0
E,2,2.825951e-01,1,4.980033e-01,1,59,349,0
E,2,4.980033e-01,1,4.980033e-01,1,55,363,1
E,2,4.980033e-01,1,4.980033e-01,1,55,376,1
E,2,2.825951e-01,1,4.980033e-01,1,59,420,0
E,2,2.825951e-01,1,4.980033e-01,1,59,424,0
E,2,4.980033e-01,1,4.980033e-01,1,55,436,1
E,2,2.825951e-01,1,4.980033e-01,1,59,454,0
E,2,4.980033e-01,1,4.980033e-01,1,55,462,1
E,2,2.825951e-01,1,4.980033e-01,1,59,551,0
E,2,2.194016e-01,1,4.980033e-01,1,18,552,2
E,2,4.980033e-01,1,4.980033e-01,1,55,594,1
E,2,2.825951e-01,1,4.980033e-01,1,59,602,0
E,2,4.980033e-01,1,4.980033e-01,1,55,603,1
E,2,4.980033e-01,1,4.980033e-01,1,55,644,1
E,2,4.980033e-01,1,4.980033e-01,1,55,710,1
E,2,2.194016e-01,1,4.980033e-01,1,18,721,2
E,2,4.980033e-01,1,4.980033e-01,1,55,732,1
