species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0099,0.177819,0.890261,22
saccharomyces_sp_boulardii_,KO01_00431,0.198394,0.853356,18
saccharomyces_arboricola_h_6,SU7_0064,0.252010,0.949481,18
saccharomyces_eubayanus,DI49_0099,0.199715,0.862594,15
_candida_glabrata,CAGL0G03619g,0.602463,0.999966,13
naumovozyma_castellii_cbs_4309,NCAS_0E02440,0.508947,0.996207,11
naumovozyma_dairenensis_cbs_421,NDAI_0E04010,0.622835,0.999724,11
kazachstania_africana_cbs_2517,KAFR_0L01910,0.712001,0.999724,11
torulaspora_delbrueckii,TDEL_0C02820,0.325774,0.933239,11
tetrapisispora_blattae_cbs_6284,TBLA_0F01400,0.571961,0.999397,11
tetrapisispora_phaffii_cbs_4417,TPHA_0K00670,0.716191,0.999856,9
vanderwaltozyma_polyspora_dsm_70294,Kpol_1045p20,0.735763,0.999694,8
tetrapisispora_blattae_cbs_6284,TBLA_0F01390,0.584906,0.993518,7
zygosaccharomyces_bailii_isa1307,ZBAI_06056,0.332415,0.944732,12
zygosaccharomyces_bailii_isa1307,ZBAI_00759,0.299622,0.909149,11
zygosaccharomyces_rouxii,ZYRO0B04026g,0.213981,0.851729,14
eremothecium_cymbalariae_dbvpg_7215,Ecym_7133,0.247041,0.942304,17
kluyveromyces_marxianus_dmku3_1042,KLMA_70152,0.150408,0.580354,10
lachancea_lanzarotensis,LALA0_S01e06040g,0.091551,0.278745,12
eremothecium_sinecaudum,AW171_hschr42358,0.324530,0.985414,17
lachancea_thermotolerans_cbs_6340,KLTH0C06006g,0.199715,0.862594,15
ashbya_gossypii,AGOS_AGL285C,1.012008,0.999996,19
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAGL285C,1.012008,0.999996,19
kluyveromyces_lactis,KLLA0_E06931g,0.259460,0.865049,12
hanseniaspora_osmophila,AWRI3579_g3032,0.644572,0.999372,10
komagataella_pastoris,PAS_chr2-2_0160,0.156945,0.636176,14
komagataella_phaffii_cbs_7435,PP7435_CHR2-0166,0.183102,0.685848,12
candida_tropicalis_mya_3404,CTRG_02744,0.793207,0.999856,9
meyerozyma_guilliermondii_atcc_6260,PGUG_05792,0.270805,0.848970,10
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_237330,0.511793,0.996068,8
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_45965,0.377911,0.963951,9
lodderomyces_elongisporus_nrrl_yb_4239,LELG_03008,0.489501,0.999996,16
candida_dubliniensis_cd36,CD36_64604,0.427667,0.980721,10
candida_albicans_wo_1,CAWG_04969,0.447940,0.984056,8
_candida_auris,QG37_07717,0.259460,0.865049,12
scheffersomyces_stipitis_cbs_6054,PICST_45709,0.511793,0.996068,8
candida_dubliniensis_cd36,CD36_64820,0.427667,0.980721,10
_candida_tenuis_atcc_10573,CANTEDRAFT_113626,0.109861,0.430308,10
clavispora_lusitaniae_atcc_42720,CLUG_02041,0.470999,0.999996,19
candida_parapsilosis_cdc317,CPAR2_808640,0.374467,0.993988,16
candida_orthopsilosis_co_90_125,CORT_0F02040,0.199748,0.764502,11
debaryomyces_hansenii_cbs767,DEHA2C03850g,0.793207,0.999856,9
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_63306,0.778008,0.999754,12
candida_parapsilosis_cdc317,CPAR2_601000,0.101366,0.299136,12
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L19789g,0.325774,0.933239,11
candida_orthopsilosis_co_90_125,CORT_0C00510,0.380252,0.993691,15
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_139215,0.716049,0.999873,15
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K19788g,0.325774,0.933239,11
