aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,11,117,1
E,1,5.000000e-01,2,5.000000e-01,2,11,382,0
E,1,5.000000e-01,2,5.000000e-01,2,11,563,1
E,1,5.000000e-01,2,5.000000e-01,2,11,1055,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1056,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1105,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1387,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1597,0
E,1,5.000000e-01,2,5.000000e-01,2,11,1612,0
E,1,5.000000e-01,2,5.000000e-01,2,11,2005,0
E,1,5.000000e-01,2,5.000000e-01,2,11,2171,0
E,2,2.500000e-01,2,5.000000e-01,1,14,93,0
E,2,2.500000e-01,2,5.000000e-01,1,14,219,0
E,2,5.000000e-01,1,5.000000e-01,1,3,316,1
E,2,2.500000e-01,2,5.000000e-01,1,14,469,0
E,2,2.500000e-01,2,5.000000e-01,1,14,717,2
E,2,5.000000e-01,1,5.000000e-01,1,3,1111,1
E,2,5.000000e-01,1,5.000000e-01,1,3,1232,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1551,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1580,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1781,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1825,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1887,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1888,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1974,0
E,2,2.500000e-01,2,5.000000e-01,1,14,1975,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2094,0
E,2,2.500000e-01,2,5.000000e-01,1,14,2226,0
E,3,3.750000e-01,2,3.750000e-01,2,7,126,1
E,3,3.750000e-01,2,3.750000e-01,2,7,207,1
E,3,1.250000e-01,2,3.750000e-01,2,9,544,0
E,3,1.250000e-01,2,3.750000e-01,2,9,736,0
E,3,1.250000e-01,2,3.750000e-01,2,9,775,0
E,3,1.250000e-01,2,3.750000e-01,2,9,888,0
E,3,3.750000e-01,2,3.750000e-01,2,7,1052,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1091,0
E,3,1.250000e-01,2,3.750000e-01,2,9,1212,0
E,3,3.750000e-01,2,3.750000e-01,2,7,1438,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1469,0
E,3,3.750000e-01,2,3.750000e-01,2,7,1623,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1631,0
E,3,1.250000e-01,2,3.750000e-01,2,9,1675,0
E,3,3.750000e-01,2,3.750000e-01,2,7,2230,2
E,3,3.750000e-01,2,3.750000e-01,2,7,2273,1
E,4,6.250000e-02,2,3.750000e-01,1,11,89,0
E,4,6.250000e-02,2,3.750000e-01,1,11,149,0
E,4,2.500000e-01,2,3.750000e-01,1,10,203,3
E,4,6.250000e-02,2,3.750000e-01,1,11,265,0
E,4,6.250000e-02,2,3.750000e-01,1,11,424,0
E,4,3.750000e-01,1,3.750000e-01,1,1,462,2
E,4,6.250000e-02,2,3.750000e-01,1,11,464,0
E,4,2.500000e-01,2,3.750000e-01,1,10,473,3
E,4,2.500000e-01,2,3.750000e-01,1,10,506,1
E,4,6.250000e-02,2,3.750000e-01,1,11,552,0
E,4,6.250000e-02,2,3.750000e-01,1,11,560,0
E,4,2.500000e-01,2,3.750000e-01,1,10,597,1
E,4,2.500000e-01,2,3.750000e-01,1,10,747,1
E,4,6.250000e-02,2,3.750000e-01,1,11,855,0
E,4,6.250000e-02,2,3.750000e-01,1,11,916,0
E,4,2.500000e-01,2,3.750000e-01,1,10,1018,1
E,4,2.500000e-01,2,3.750000e-01,1,10,1051,1
E,4,2.500000e-01,2,3.750000e-01,1,10,1252,1
E,4,6.250000e-02,2,3.750000e-01,1,11,1885,0
E,4,6.250000e-02,2,3.750000e-01,1,11,1997,0
E,4,2.500000e-01,2,3.750000e-01,1,10,2149,1
E,4,2.500000e-01,2,3.750000e-01,1,10,2156,1
E,5,1.562500e-01,2,3.125000e-01,2,10,45,1
E,5,3.125000e-01,2,3.125000e-01,2,1,72,3
E,5,3.125000e-02,2,3.125000e-01,2,20,102,0
E,5,3.125000e-02,2,3.125000e-01,2,20,140,0
E,5,3.125000e-02,2,3.125000e-01,2,20,142,0
E,5,3.125000e-02,2,3.125000e-01,2,20,143,0
E,5,1.562500e-01,2,3.125000e-01,2,10,148,1
E,5,3.125000e-02,2,3.125000e-01,2,20,160,0
E,5,1.562500e-01,2,3.125000e-01,2,10,168,1
E,5,1.562500e-01,2,3.125000e-01,2,10,253,1
E,5,1.562500e-01,2,3.125000e-01,2,10,297,1
E,5,3.125000e-02,2,3.125000e-01,2,20,347,0
E,5,3.125000e-02,2,3.125000e-01,2,20,458,0
E,5,3.125000e-02,2,3.125000e-01,2,20,505,0
E,5,1.562500e-01,2,3.125000e-01,2,10,654,1
E,5,3.125000e-02,2,3.125000e-01,2,20,712,0
E,5,1.562500e-01,2,3.125000e-01,2,10,778,1
E,5,1.562500e-01,2,3.125000e-01,2,10,933,1
E,5,3.125000e-02,2,3.125000e-01,2,20,1016,0
E,5,3.125000e-02,2,3.125000e-01,2,20,1184,0
E,5,3.125000e-02,2,3.125000e-01,2,20,1222,0
E,5,1.562500e-01,2,3.125000e-01,2,10,1872,1
E,5,3.125000e-02,2,3.125000e-01,2,20,1886,0
E,5,3.125000e-02,2,3.125000e-01,2,20,1890,0
