aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,39,113,0
E,1,5.000000e-01,2,5.000000e-01,2,39,282,0
E,1,5.000000e-01,2,5.000000e-01,2,39,305,0
E,1,5.000000e-01,2,5.000000e-01,2,39,329,0
E,1,5.000000e-01,2,5.000000e-01,2,39,562,0
E,1,5.000000e-01,2,5.000000e-01,2,39,690,0
E,1,5.000000e-01,2,5.000000e-01,2,39,785,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1044,1
E,1,5.000000e-01,2,5.000000e-01,2,39,1127,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1134,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1261,1
E,1,5.000000e-01,2,5.000000e-01,2,39,1440,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1729,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1800,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1801,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1802,1
E,1,5.000000e-01,2,5.000000e-01,2,39,1805,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1807,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1810,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1817,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1821,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1824,0
E,1,5.000000e-01,2,5.000000e-01,2,39,1942,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2277,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2674,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2728,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2758,1
E,1,5.000000e-01,2,5.000000e-01,2,39,2849,0
E,1,5.000000e-01,2,5.000000e-01,2,39,2896,1
E,1,5.000000e-01,2,5.000000e-01,2,39,3072,1
E,1,5.000000e-01,2,5.000000e-01,2,39,3860,1
E,1,5.000000e-01,2,5.000000e-01,2,39,3868,0
E,1,5.000000e-01,2,5.000000e-01,2,39,4495,0
E,1,5.000000e-01,2,5.000000e-01,2,39,4636,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5035,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5038,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5123,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5191,0
E,1,5.000000e-01,2,5.000000e-01,2,39,5338,1
E,2,2.500000e-01,2,5.000000e-01,1,33,51,0
E,2,2.500000e-01,2,5.000000e-01,1,33,81,0
E,2,2.500000e-01,2,5.000000e-01,1,33,260,0
E,2,5.000000e-01,1,5.000000e-01,1,6,274,1
E,2,2.500000e-01,2,5.000000e-01,1,33,311,0
E,2,2.500000e-01,2,5.000000e-01,1,33,404,0
E,2,2.500000e-01,2,5.000000e-01,1,33,612,0
E,2,2.500000e-01,2,5.000000e-01,1,33,739,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1166,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1176,0
E,2,5.000000e-01,1,5.000000e-01,1,6,1270,1
E,2,5.000000e-01,1,5.000000e-01,1,6,1470,1
E,2,2.500000e-01,2,5.000000e-01,1,33,1525,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1531,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1798,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1799,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1803,0
E,2,2.500000e-01,2,5.000000e-01,1,33,1903,2
E,2,5.000000e-01,1,5.000000e-01,1,6,1921,1
E,2,2.500000e-01,2,5.000000e-01,1,33,2250,0
E,2,2.500000e-01,2,5.000000e-01,1,33,2285,0
E,2,2.500000e-01,2,5.000000e-01,1,33,2314,0
E,2,5.000000e-01,1,5.000000e-01,1,6,2399,1
E,2,5.000000e-01,1,5.000000e-01,1,6,2400,1
E,2,2.500000e-01,2,5.000000e-01,1,33,2807,0
E,2,2.500000e-01,2,5.000000e-01,1,33,2911,0
E,2,2.500000e-01,2,5.000000e-01,1,33,2936,0
E,2,2.500000e-01,2,5.000000e-01,1,33,2960,0
E,2,2.500000e-01,2,5.000000e-01,1,33,3479,0
E,2,2.500000e-01,2,5.000000e-01,1,33,3785,0
E,2,2.500000e-01,2,5.000000e-01,1,33,3830,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4007,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4205,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4457,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4501,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4523,0
E,2,2.500000e-01,2,5.000000e-01,1,33,4891,0
E,2,2.500000e-01,2,5.000000e-01,1,33,5124,0
E,2,2.500000e-01,2,5.000000e-01,1,33,5222,0
E,3,3.750000e-01,2,3.750000e-01,2,33,25,1
E,3,1.250000e-01,2,3.750000e-01,2,38,47,0
E,3,3.750000e-01,2,3.750000e-01,2,33,53,1
E,3,1.250000e-01,2,3.750000e-01,2,38,72,0
E,3,3.750000e-01,2,3.750000e-01,2,33,80,1
E,3,3.750000e-01,2,3.750000e-01,2,33,91,1
E,3,1.250000e-01,2,3.750000e-01,2,38,138,0
E,3,1.250000e-01,2,3.750000e-01,2,38,289,0
E,3,1.250000e-01,2,3.750000e-01,2,38,309,0
E,3,1.250000e-01,2,3.750000e-01,2,38,857,0
E,3,1.250000e-01,2,3.750000e-01,2,38,859,0
E,3,3.750000e-01,2,3.750000e-01,2,33,937,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1100,1
E,3,1.250000e-01,2,3.750000e-01,2,38,1174,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1304,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1355,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1356,0
E,3,3.750000e-01,2,3.750000e-01,2,33,1494,1
E,3,3.750000e-01,2,3.750000e-01,2,33,1562,1
E,3,1.250000e-01,2,3.750000e-01,2,38,1592,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1668,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1742,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1756,0
E,3,3.750000e-01,2,3.750000e-01,2,33,1786,1
E,3,1.250000e-01,2,3.750000e-01,2,38,1804,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1808,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1809,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1813,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1814,0
E,3,1.250000e-01,2,3.750000e-01,2,38,1993,0
E,3,1.250000e-01,2,3.750000e-01,2,38,2033,0
E,3,3.750000e-01,2,3.750000e-01,2,33,2044,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2045,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2055,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2356,1
E,3,3.750000e-01,2,3.750000e-01,2,33,2357,1
E,3,1.250000e-01,2,3.750000e-01,2,38,2415,0
E,3,3.750000e-01,2,3.750000e-01,2,33,2813,1
