aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.402029e-01,1,6.402029e-01,1,9,7,0
E,1,6.402029e-01,1,6.402029e-01,1,9,56,0
E,1,6.402029e-01,1,6.402029e-01,1,9,105,0
E,1,3.597971e-01,1,6.402029e-01,1,9,172,0
E,1,6.402029e-01,1,6.402029e-01,1,9,200,0
E,1,6.402029e-01,1,6.402029e-01,1,9,254,0
E,1,6.402029e-01,1,6.402029e-01,1,9,294,0
E,1,6.402029e-01,1,6.402029e-01,1,9,307,0
E,1,3.597971e-01,1,6.402029e-01,1,9,433,0
E,1,3.597971e-01,1,6.402029e-01,1,9,466,0
E,1,3.597971e-01,1,6.402029e-01,1,9,674,0
E,1,6.402029e-01,1,6.402029e-01,1,9,716,0
E,1,6.402029e-01,1,6.402029e-01,1,9,828,0
E,1,3.597971e-01,1,6.402029e-01,1,9,829,0
E,1,3.597971e-01,1,6.402029e-01,1,9,852,0
E,1,3.597971e-01,1,6.402029e-01,1,9,864,0
E,1,3.597971e-01,1,6.402029e-01,1,9,877,0
E,1,3.597971e-01,1,6.402029e-01,1,9,920,0
E,2,4.098597e-01,1,4.606863e-01,1,6,1,0
E,2,4.098597e-01,1,4.606863e-01,1,6,65,0
E,2,4.606863e-01,1,4.606863e-01,1,13,70,0
E,2,1.294540e-01,1,4.606863e-01,1,3,90,0
E,2,4.606863e-01,1,4.606863e-01,1,13,95,0
E,2,4.606863e-01,1,4.606863e-01,1,13,106,0
E,2,4.098597e-01,1,4.606863e-01,1,6,116,0
E,2,4.606863e-01,1,4.606863e-01,1,13,121,0
E,2,4.606863e-01,1,4.606863e-01,1,13,238,0
E,2,4.606863e-01,1,4.606863e-01,1,13,311,0
E,2,4.606863e-01,1,4.606863e-01,1,13,355,0
E,2,4.098597e-01,1,4.606863e-01,1,6,371,0
E,2,4.098597e-01,1,4.606863e-01,1,6,422,0
E,2,4.606863e-01,1,4.606863e-01,1,13,457,0
E,2,4.606863e-01,1,4.606863e-01,1,13,461,0
E,2,4.606863e-01,1,4.606863e-01,1,13,480,0
E,2,4.606863e-01,1,4.606863e-01,1,13,492,0
E,2,4.606863e-01,1,4.606863e-01,1,13,506,0
E,2,4.098597e-01,1,4.606863e-01,1,6,717,0
E,2,1.294540e-01,1,4.606863e-01,1,3,789,0
E,2,4.606863e-01,1,4.606863e-01,1,13,881,0
E,2,1.294540e-01,1,4.606863e-01,1,3,900,0
E,3,4.423990e-01,1,4.423990e-01,1,8,84,1
E,3,4.423990e-01,1,4.423990e-01,1,8,124,1
E,3,2.623934e-01,1,4.423990e-01,1,12,129,1
E,3,2.623934e-01,1,4.423990e-01,1,12,163,1
E,3,2.486304e-01,1,4.423990e-01,1,6,167,1
E,3,4.423990e-01,1,4.423990e-01,1,8,169,1
E,3,4.423990e-01,1,4.423990e-01,1,8,180,1
E,3,4.423990e-01,1,4.423990e-01,1,8,237,1
E,3,2.486304e-01,1,4.423990e-01,1,6,265,1
E,3,2.486304e-01,1,4.423990e-01,1,6,328,1
E,3,2.623934e-01,1,4.423990e-01,1,12,358,1
E,3,2.623934e-01,1,4.423990e-01,1,12,396,1
E,3,2.623934e-01,1,4.423990e-01,1,12,437,1
E,3,2.486304e-01,1,4.423990e-01,1,6,449,1
E,3,2.623934e-01,1,4.423990e-01,1,12,456,1
E,3,2.623934e-01,1,4.423990e-01,1,12,468,1
E,3,4.423990e-01,1,4.423990e-01,1,8,568,1
E,3,2.623934e-01,1,4.423990e-01,1,12,586,1
E,3,4.423990e-01,1,4.423990e-01,1,8,589,1
E,3,2.623934e-01,1,4.423990e-01,1,12,650,1
E,3,2.623934e-01,1,4.423990e-01,1,12,653,1
E,3,2.623934e-01,1,4.423990e-01,1,12,679,1
E,3,2.486304e-01,1,4.423990e-01,1,6,811,1
E,3,4.423990e-01,1,4.423990e-01,1,8,820,1
E,3,2.623934e-01,1,4.423990e-01,1,12,843,1
E,3,2.486304e-01,1,4.423990e-01,1,6,855,1
