species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0162,-0.000000,0.625000,5
saccharomyces_sp_boulardii_,KO01_00362,-0.000000,0.625000,5
saccharomyces_arboricola_h_6,SU7_0115,0.460517,0.937546,5
saccharomyces_eubayanus,DI49_0171,-0.000000,0.375000,4
naumovozyma_castellii_cbs_4309,NCAS_0A03450,0.346574,0.500000,2
naumovozyma_dairenensis_cbs_421,NDAI_0A03290,-0.000000,1.000000,1
zygosaccharomyces_bailii_isa1307,ZBAI_07190,0.447940,0.875133,4
torulaspora_delbrueckii,TDEL_0F02480,0.346574,0.500000,2
zygosaccharomyces_bailii_isa1307,ZBAI_01095,0.447940,0.875133,4
zygosaccharomyces_rouxii,ZYRO0G09900g,-0.000000,1.000000,1
_candida_glabrata,CAGL0E02827g,-0.000000,0.750000,3
vanderwaltozyma_polyspora_dsm_70294,Kpol_1025p45,-0.000000,0.500000,2
tetrapisispora_phaffii_cbs_4417,TPHA_0K01650,-0.000000,0.500000,2
tetrapisispora_blattae_cbs_6284,TBLA_0C04160,-0.000000,0.500000,2
kazachstania_africana_cbs_2517,KAFR_0I01070,0.366204,0.750000,3
kazachstania_naganishii_cbs_8797,KNAG_0C02870,0.447940,0.875133,4
kluyveromyces_marxianus_dmku3_1042,KLMA_30379,-0.000000,0.500000,2
lachancea_lanzarotensis,LALA0_S01e12156g,-0.000000,0.500000,2
lachancea_thermotolerans_cbs_6340,KLTH0E07524g,-0.000000,0.500000,2
kluyveromyces_lactis,KLLA0_C11605g,-0.000000,1.000000,1
hanseniaspora_osmophila,AWRI3579_g2601,-0.000000,0.750000,3
