aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,9.236399e-01,1,9.236399e-01,1,19,52,0
E,1,9.236399e-01,1,9.236399e-01,1,19,61,0
E,1,9.236399e-01,1,9.236399e-01,1,19,126,0
E,1,9.236399e-01,1,9.236399e-01,1,19,242,0
E,1,9.236399e-01,1,9.236399e-01,1,19,340,0
E,1,9.236399e-01,1,9.236399e-01,1,19,349,0
E,1,9.236399e-01,1,9.236399e-01,1,19,376,0
E,1,9.236399e-01,1,9.236399e-01,1,19,388,0
E,1,9.236399e-01,1,9.236399e-01,1,19,391,0
E,1,9.236399e-01,1,9.236399e-01,1,19,626,0
E,1,9.236399e-01,1,9.236399e-01,1,19,638,0
E,1,9.236399e-01,1,9.236399e-01,1,19,641,0
E,1,9.236399e-01,1,9.236399e-01,1,19,643,0
E,1,9.236399e-01,1,9.236399e-01,1,19,688,0
E,1,9.236399e-01,1,9.236399e-01,1,19,715,0
E,1,9.236399e-01,1,9.236399e-01,1,19,854,0
E,1,9.236399e-01,1,9.236399e-01,1,19,873,0
E,1,9.236399e-01,1,9.236399e-01,1,19,896,0
E,1,9.236399e-01,1,9.236399e-01,1,19,978,0
E,2,8.531106e-01,1,8.531106e-01,1,25,28,0
E,2,8.531106e-01,1,8.531106e-01,1,25,58,0
E,2,8.531106e-01,1,8.531106e-01,1,25,83,0
E,2,8.531106e-01,1,8.531106e-01,1,25,135,0
E,2,8.531106e-01,1,8.531106e-01,1,25,192,0
E,2,8.531106e-01,1,8.531106e-01,1,25,193,0
E,2,8.531106e-01,1,8.531106e-01,1,25,201,0
E,2,8.531106e-01,1,8.531106e-01,1,25,220,0
E,2,8.531106e-01,1,8.531106e-01,1,25,304,0
E,2,8.531106e-01,1,8.531106e-01,1,25,323,0
E,2,8.531106e-01,1,8.531106e-01,1,25,350,0
E,2,8.531106e-01,1,8.531106e-01,1,25,356,0
E,2,8.531106e-01,1,8.531106e-01,1,25,358,0
E,2,1.410585e-01,1,8.531106e-01,1,2,378,1
E,2,8.531106e-01,1,8.531106e-01,1,25,470,0
E,2,8.531106e-01,1,8.531106e-01,1,25,484,0
E,2,8.531106e-01,1,8.531106e-01,1,25,503,0
E,2,8.531106e-01,1,8.531106e-01,1,25,505,0
E,2,8.531106e-01,1,8.531106e-01,1,25,538,0
E,2,8.531106e-01,1,8.531106e-01,1,25,545,0
E,2,8.531106e-01,1,8.531106e-01,1,25,554,0
E,2,8.531106e-01,1,8.531106e-01,1,25,565,0
E,2,8.531106e-01,1,8.531106e-01,1,25,623,0
E,2,8.531106e-01,1,8.531106e-01,1,25,653,0
E,2,8.531106e-01,1,8.531106e-01,1,25,734,0
E,2,8.531106e-01,1,8.531106e-01,1,25,852,0
E,2,1.410585e-01,1,8.531106e-01,1,2,939,1
E,3,7.879670e-01,1,7.879670e-01,1,20,9,0
E,3,7.879670e-01,1,7.879670e-01,1,20,19,0
E,3,7.879670e-01,1,7.879670e-01,1,20,63,0
E,3,7.879670e-01,1,7.879670e-01,1,20,80,0
E,3,7.879670e-01,1,7.879670e-01,1,20,148,0
E,3,7.879670e-01,1,7.879670e-01,1,20,161,0
E,3,7.879670e-01,1,7.879670e-01,1,20,218,0
E,3,1.954309e-01,1,7.879670e-01,1,9,236,1
E,3,7.879670e-01,1,7.879670e-01,1,20,273,0
E,3,1.954309e-01,1,7.879670e-01,1,9,294,1
E,3,1.954309e-01,1,7.879670e-01,1,9,298,1
E,3,7.879670e-01,1,7.879670e-01,1,20,347,0
E,3,7.879670e-01,1,7.879670e-01,1,20,363,0
E,3,1.954309e-01,1,7.879670e-01,1,9,367,1
E,3,1.954309e-01,1,7.879670e-01,1,9,389,1
E,3,7.879670e-01,1,7.879670e-01,1,20,402,0
E,3,1.954309e-01,1,7.879670e-01,1,9,420,1
E,3,7.879670e-01,1,7.879670e-01,1,20,494,0
E,3,7.879670e-01,1,7.879670e-01,1,20,511,0
E,3,7.879670e-01,1,7.879670e-01,1,20,564,0
E,3,7.879670e-01,1,7.879670e-01,1,20,577,0
E,3,7.879670e-01,1,7.879670e-01,1,20,596,0
E,3,7.879670e-01,1,7.879670e-01,1,20,616,0
E,3,1.954309e-01,1,7.879670e-01,1,9,633,1
E,3,1.615687e-02,1,7.879670e-01,1,1,674,2
E,3,1.954309e-01,1,7.879670e-01,1,9,687,1
E,3,7.879670e-01,1,7.879670e-01,1,20,717,0
E,3,7.879670e-01,1,7.879670e-01,1,20,903,0
E,3,1.954309e-01,1,7.879670e-01,1,9,916,1
E,3,7.879670e-01,1,7.879670e-01,1,20,942,0
E,4,7.277977e-01,1,7.277977e-01,1,28,25,0
E,4,7.277977e-01,1,7.277977e-01,1,28,31,0
E,4,2.406770e-01,1,7.277977e-01,1,10,49,1
E,4,2.406770e-01,1,7.277977e-01,1,10,57,1
E,4,2.406770e-01,1,7.277977e-01,1,10,106,1
E,4,7.277977e-01,1,7.277977e-01,1,28,129,0
E,4,7.277977e-01,1,7.277977e-01,1,28,160,0
E,4,2.406770e-01,1,7.277977e-01,1,10,238,1
E,4,2.406770e-01,1,7.277977e-01,1,10,247,1
E,4,2.406770e-01,1,7.277977e-01,1,10,274,1
E,4,7.277977e-01,1,7.277977e-01,1,28,296,0
E,4,7.277977e-01,1,7.277977e-01,1,28,333,0
E,4,7.277977e-01,1,7.277977e-01,1,28,334,0
E,4,7.277977e-01,1,7.277977e-01,1,28,361,0
E,4,7.277977e-01,1,7.277977e-01,1,28,422,0
E,4,7.277977e-01,1,7.277977e-01,1,28,449,0
E,4,7.277977e-01,1,7.277977e-01,1,28,504,0
E,4,7.277977e-01,1,7.277977e-01,1,28,506,0
E,4,2.406770e-01,1,7.277977e-01,1,10,546,1
E,4,7.277977e-01,1,7.277977e-01,1,28,588,0
E,4,7.277977e-01,1,7.277977e-01,1,28,595,0
E,4,7.277977e-01,1,7.277977e-01,1,28,627,0
E,4,7.277977e-01,1,7.277977e-01,1,28,649,0
E,4,7.277977e-01,1,7.277977e-01,1,28,693,0
E,4,7.277977e-01,1,7.277977e-01,1,28,703,0
E,4,7.277977e-01,1,7.277977e-01,1,28,737,0
E,4,2.984626e-02,1,7.277977e-01,1,1,738,2
E,4,7.277977e-01,1,7.277977e-01,1,28,764,0
E,4,2.406770e-01,1,7.277977e-01,1,10,771,1
E,4,7.277977e-01,1,7.277977e-01,1,28,825,0
E,4,7.277977e-01,1,7.277977e-01,1,28,828,0
E,4,7.277977e-01,1,7.277977e-01,1,28,830,0
E,4,7.277977e-01,1,7.277977e-01,1,28,836,0
E,4,7.277977e-01,1,7.277977e-01,1,28,842,0
E,4,7.277977e-01,1,7.277977e-01,1,28,846,0
E,4,2.406770e-01,1,7.277977e-01,1,10,875,1
E,4,7.277977e-01,1,7.277977e-01,1,28,889,0
E,4,7.277977e-01,1,7.277977e-01,1,28,962,0
E,4,2.406770e-01,1,7.277977e-01,1,10,977,1
E,5,2.778736e-01,1,6.722230e-01,1,10,69,1
E,5,6.722230e-01,1,6.722230e-01,1,20,82,0
E,5,6.722230e-01,1,6.722230e-01,1,20,146,0
E,5,6.722230e-01,1,6.722230e-01,1,20,177,0
E,5,6.722230e-01,1,6.722230e-01,1,20,181,0
E,5,2.778736e-01,1,6.722230e-01,1,10,197,1
E,5,6.722230e-01,1,6.722230e-01,1,20,200,0
E,5,2.778736e-01,1,6.722230e-01,1,10,215,1
E,5,6.722230e-01,1,6.722230e-01,1,20,228,0
E,5,6.722230e-01,1,6.722230e-01,1,20,244,0
E,5,6.722230e-01,1,6.722230e-01,1,20,310,0
E,5,2.778736e-01,1,6.722230e-01,1,10,341,1
E,5,2.778736e-01,1,6.722230e-01,1,10,355,1
E,5,6.722230e-01,1,6.722230e-01,1,20,406,0
E,5,6.722230e-01,1,6.722230e-01,1,20,414,0
E,5,6.722230e-01,1,6.722230e-01,1,20,417,0
E,5,6.722230e-01,1,6.722230e-01,1,20,432,0
E,5,2.778736e-01,1,6.722230e-01,1,10,452,1
E,5,2.778736e-01,1,6.722230e-01,1,10,457,1
E,5,6.722230e-01,1,6.722230e-01,1,20,464,0
E,5,6.722230e-01,1,6.722230e-01,1,20,516,0
E,5,6.722230e-01,1,6.722230e-01,1,20,530,0
E,5,6.722230e-01,1,6.722230e-01,1,20,576,0
E,5,6.722230e-01,1,6.722230e-01,1,20,637,0
E,5,6.722230e-01,1,6.722230e-01,1,20,719,0
E,5,2.778736e-01,1,6.722230e-01,1,10,750,1
E,5,4.594532e-02,1,6.722230e-01,1,3,779,2
E,5,4.594532e-02,1,6.722230e-01,1,3,781,2
