aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,1.572152e-01,1,8.427848e-01,1,28,24,1
E,1,8.427848e-01,1,8.427848e-01,1,159,54,1
E,1,8.427848e-01,1,8.427848e-01,1,159,108,1
E,1,8.427848e-01,1,8.427848e-01,1,159,117,1
E,1,8.427848e-01,1,8.427848e-01,1,159,164,1
E,1,8.427848e-01,1,8.427848e-01,1,159,172,1
E,1,8.427848e-01,1,8.427848e-01,1,159,189,1
E,1,8.427848e-01,1,8.427848e-01,1,159,211,1
E,1,8.427848e-01,1,8.427848e-01,1,159,218,1
E,1,1.572152e-01,1,8.427848e-01,1,28,243,1
E,1,1.572152e-01,1,8.427848e-01,1,28,254,1
E,1,8.427848e-01,1,8.427848e-01,1,159,284,1
E,1,8.427848e-01,1,8.427848e-01,1,159,285,1
E,1,8.427848e-01,1,8.427848e-01,1,159,351,1
E,1,8.427848e-01,1,8.427848e-01,1,159,358,1
E,1,1.572152e-01,1,8.427848e-01,1,28,361,1
E,1,8.427848e-01,1,8.427848e-01,1,159,398,1
E,1,8.427848e-01,1,8.427848e-01,1,159,416,1
E,1,8.427848e-01,1,8.427848e-01,1,159,418,1
E,1,8.427848e-01,1,8.427848e-01,1,159,443,1
E,1,8.427848e-01,1,8.427848e-01,1,159,464,1
E,1,8.427848e-01,1,8.427848e-01,1,159,485,1
E,1,8.427848e-01,1,8.427848e-01,1,159,517,1
E,1,1.572152e-01,1,8.427848e-01,1,28,524,1
E,1,8.427848e-01,1,8.427848e-01,1,159,543,1
E,1,8.427848e-01,1,8.427848e-01,1,159,558,1
E,1,8.427848e-01,1,8.427848e-01,1,159,628,1
E,1,8.427848e-01,1,8.427848e-01,1,159,629,1
E,1,8.427848e-01,1,8.427848e-01,1,159,689,1
E,1,1.572152e-01,1,8.427848e-01,1,28,762,1
E,1,8.427848e-01,1,8.427848e-01,1,159,816,1
E,1,8.427848e-01,1,8.427848e-01,1,159,818,1
E,1,8.427848e-01,1,8.427848e-01,1,159,830,1
E,1,8.427848e-01,1,8.427848e-01,1,159,853,1
E,1,8.427848e-01,1,8.427848e-01,1,159,878,1
E,1,1.572152e-01,1,8.427848e-01,1,28,889,1
E,1,8.427848e-01,1,8.427848e-01,1,159,892,1
E,1,1.572152e-01,1,8.427848e-01,1,28,893,1
E,1,8.427848e-01,1,8.427848e-01,1,159,896,1
E,1,8.427848e-01,1,8.427848e-01,1,159,904,1
E,1,1.572152e-01,1,8.427848e-01,1,28,905,1
E,1,1.572152e-01,1,8.427848e-01,1,28,971,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1010,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1020,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1061,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1075,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1093,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1169,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1203,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1232,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1272,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1280,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1289,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1291,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1367,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1389,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1392,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1443,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1467,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1554,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1562,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1564,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1586,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1597,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1700,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1798,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1829,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1887,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1892,1
E,1,1.572152e-01,1,8.427848e-01,1,28,1903,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1908,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1909,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1916,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1974,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1980,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1985,1
E,1,8.427848e-01,1,8.427848e-01,1,159,1992,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2045,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2047,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2070,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2071,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2088,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2114,1
E,1,1.572152e-01,1,8.427848e-01,1,28,2134,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2135,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2292,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2375,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2403,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2423,1
E,1,1.572152e-01,1,8.427848e-01,1,28,2426,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2493,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2508,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2517,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2533,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2558,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2570,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2574,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2590,1
E,1,1.572152e-01,1,8.427848e-01,1,28,2616,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2647,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2649,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2667,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2683,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2753,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2762,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2809,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2810,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2818,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2833,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2848,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2865,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2873,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2911,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2933,1
E,1,8.427848e-01,1,8.427848e-01,1,159,2983,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3028,1
E,1,1.572152e-01,1,8.427848e-01,1,28,3063,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3071,1
E,1,1.572152e-01,1,8.427848e-01,1,28,3084,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3144,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3199,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3220,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3247,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3270,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3273,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3287,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3301,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3318,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3353,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3361,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3372,1
E,1,1.572152e-01,1,8.427848e-01,1,28,3404,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3411,1
E,1,1.572152e-01,1,8.427848e-01,1,28,3419,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3518,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3542,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3554,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3565,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3589,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3625,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3627,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3641,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3645,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3688,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3701,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3764,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3781,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3813,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3835,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3854,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3938,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3972,1
E,1,8.427848e-01,1,8.427848e-01,1,159,3975,1
E,1,1.572152e-01,1,8.427848e-01,1,28,3991,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4139,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4140,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4225,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4235,1
E,1,1.572152e-01,1,8.427848e-01,1,28,4250,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4256,1
E,1,1.572152e-01,1,8.427848e-01,1,28,4267,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4268,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4280,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4285,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4361,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4384,1
E,1,1.572152e-01,1,8.427848e-01,1,28,4386,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4415,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4421,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4422,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4432,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4448,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4453,1
E,1,1.572152e-01,1,8.427848e-01,1,28,4483,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4531,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4541,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4573,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4574,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4578,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4589,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4598,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4608,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4623,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4631,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4653,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4660,1
E,1,8.427848e-01,1,8.427848e-01,1,159,4667,1
E,2,7.102862e-01,1,7.102862e-01,1,165,2,0
E,2,7.102862e-01,1,7.102862e-01,1,165,5,0
E,2,7.102862e-01,1,7.102862e-01,1,165,31,0
E,2,7.102862e-01,1,7.102862e-01,1,165,57,0
E,2,7.102862e-01,1,7.102862e-01,1,165,61,0
E,2,7.102862e-01,1,7.102862e-01,1,165,68,0
E,2,7.102862e-01,1,7.102862e-01,1,165,74,0
E,2,2.649972e-01,1,7.102862e-01,1,50,110,0
E,2,7.102862e-01,1,7.102862e-01,1,165,123,0
E,2,7.102862e-01,1,7.102862e-01,1,165,146,0
E,2,2.471662e-02,1,7.102862e-01,1,4,157,0
E,2,2.649972e-01,1,7.102862e-01,1,50,165,0
E,2,2.649972e-01,1,7.102862e-01,1,50,190,0
E,2,7.102862e-01,1,7.102862e-01,1,165,199,0
E,2,7.102862e-01,1,7.102862e-01,1,165,215,0
E,2,7.102862e-01,1,7.102862e-01,1,165,258,0
E,2,7.102862e-01,1,7.102862e-01,1,165,271,0
E,2,7.102862e-01,1,7.102862e-01,1,165,277,0
E,2,7.102862e-01,1,7.102862e-01,1,165,286,0
E,2,2.649972e-01,1,7.102862e-01,1,50,290,0
E,2,7.102862e-01,1,7.102862e-01,1,165,298,0
E,2,2.649972e-01,1,7.102862e-01,1,50,312,0
E,2,7.102862e-01,1,7.102862e-01,1,165,313,0
E,2,7.102862e-01,1,7.102862e-01,1,165,355,0
E,2,2.649972e-01,1,7.102862e-01,1,50,357,0
E,2,2.649972e-01,1,7.102862e-01,1,50,391,0
E,2,7.102862e-01,1,7.102862e-01,1,165,406,0
E,2,7.102862e-01,1,7.102862e-01,1,165,432,0
E,2,7.102862e-01,1,7.102862e-01,1,165,442,0
E,2,7.102862e-01,1,7.102862e-01,1,165,444,0
E,2,2.649972e-01,1,7.102862e-01,1,50,482,0
