aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.747957e-01,1,8.747957e-01,1,13,93,1
E,1,8.747957e-01,1,8.747957e-01,1,13,314,1
E,1,8.747957e-01,1,8.747957e-01,1,13,395,1
E,1,8.747957e-01,1,8.747957e-01,1,13,464,1
E,1,8.747957e-01,1,8.747957e-01,1,13,751,1
E,1,8.747957e-01,1,8.747957e-01,1,13,760,1
E,1,8.747957e-01,1,8.747957e-01,1,13,785,1
E,1,1.252043e-01,1,8.747957e-01,1,4,877,0
E,1,8.747957e-01,1,8.747957e-01,1,13,1153,1
E,1,1.252043e-01,1,8.747957e-01,1,4,1263,0
E,1,8.747957e-01,1,8.747957e-01,1,13,1296,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1298,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1629,1
E,1,8.747957e-01,1,8.747957e-01,1,13,1640,1
E,1,1.252043e-01,1,8.747957e-01,1,4,1920,0
E,1,1.252043e-01,1,8.747957e-01,1,4,1957,0
E,1,8.747957e-01,1,8.747957e-01,1,13,2071,1
E,2,1.567611e-02,1,7.652676e-01,1,3,119,0
E,2,7.652676e-01,1,7.652676e-01,1,14,399,2
E,2,7.652676e-01,1,7.652676e-01,1,14,548,2
E,2,7.652676e-01,1,7.652676e-01,1,14,558,2
E,2,7.652676e-01,1,7.652676e-01,1,14,565,2
E,2,7.652676e-01,1,7.652676e-01,1,14,580,2
E,2,1.567611e-02,1,7.652676e-01,1,3,766,0
E,2,2.190563e-01,1,7.652676e-01,1,5,1086,1
E,2,7.652676e-01,1,7.652676e-01,1,14,1125,2
E,2,7.652676e-01,1,7.652676e-01,1,14,1215,2
E,2,7.652676e-01,1,7.652676e-01,1,14,1309,2
E,2,7.652676e-01,1,7.652676e-01,1,14,1338,2
E,2,7.652676e-01,1,7.652676e-01,1,14,1417,2
E,2,2.190563e-01,1,7.652676e-01,1,5,1506,1
E,2,2.190563e-01,1,7.652676e-01,1,5,1515,1
E,2,2.190563e-01,1,7.652676e-01,1,5,1746,1
E,2,2.190563e-01,1,7.652676e-01,1,5,1830,1
E,2,7.652676e-01,1,7.652676e-01,1,14,1965,2
