species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5150,0.160290,0.985287,30
saccharomyces_sp_boulardii_,KO01_05247,0.160290,0.985287,30
saccharomyces_eubayanus,DI49_5592,0.036473,0.455508,25
_candida_glabrata,CAGL0L08492g,0.127591,0.849907,17
torulaspora_delbrueckii,TDEL_0D05590,0.153682,0.947584,22
lachancea_thermotolerans_cbs_6340,KLTH0F14806g,0.004605,0.086178,29
eremothecium_cymbalariae_dbvpg_7215,Ecym_1238,0.189645,0.979869,23
ashbya_gossypii,AGOS_AFR309C,0.064808,0.777349,32
eremothecium_sinecaudum,AW171_hschr31695,0.092920,0.852118,26
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAFR309C,0.034858,0.518857,31
lachancea_lanzarotensis,LALA0_S01e07844g,0.148608,0.953780,25
zygosaccharomyces_bailii_isa1307,ZBAI_04358,0.142813,0.939996,24
zygosaccharomyces_bailii_isa1307,ZBAI_07648,0.055088,0.578460,22
kluyveromyces_marxianus_dmku3_1042,KLMA_20510,0.065202,0.762888,30
kluyveromyces_lactis,KLLA0_E04621g,0.185790,0.988295,27
zygosaccharomyces_rouxii,ZYRO0D10010g,0.106678,0.849094,22
naumovozyma_castellii_cbs_4309,NCAS_0F03540,0.258297,0.999960,36
naumovozyma_dairenensis_cbs_421,NDAI_0B05850,0.281071,0.999910,29
tetrapisispora_phaffii_cbs_4417,TPHA_0D03270,0.227014,0.985901,21
tetrapisispora_blattae_cbs_6284,TBLA_0D02980,0.050665,0.597618,26
kazachstania_naganishii_cbs_8797,KNAG_0A07930,0.032241,0.555763,38
kazachstania_africana_cbs_2517,KAFR_0G03680,0.140761,0.879093,18
vanderwaltozyma_polyspora_dsm_70294,Kpol_1017p7,0.179176,0.797359,10
hanseniaspora_uvarum_dsm_2768,D499_0AT00110,0.368913,0.994879,14
hanseniaspora_opuntiae,AWRI3578_g1524,0.199251,0.886969,13
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_54218,0.523722,0.999854,22
hanseniaspora_osmophila,AWRI3579_g4577,0.210426,0.997980,30
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_47457,0.316214,0.993193,16
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_180341,0.092574,0.920268,35
meyerozyma_guilliermondii_atcc_6260,PGUG_02329,0.184403,0.992093,29
candida_maltosa_xu316,G210_5417,0.230174,0.976224,18
scheffersomyces_stipitis_cbs_6054,PICST_51108,0.173752,0.975228,25
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0C00794g,0.319587,0.997065,18
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_45485,0.256109,0.997075,24
_candida_tenuis_atcc_10573,CANTEDRAFT_109736,0.370825,0.999889,20
clavispora_lusitaniae_atcc_42720,CLUG_03843,0.060390,0.537105,19
candida_albicans_wo_1,CAWG_00322,0.374042,0.999395,17
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0D00883g,0.390342,0.999924,19
candida_tropicalis_mya_3404,CTRG_04096,0.748416,0.999918,15
candida_parapsilosis_cdc317,CPAR2_209170,0.145932,0.824773,13
debaryomyces_hansenii_cbs767,DEHA2B15378g,0.196000,0.963237,20
candida_orthopsilosis_co_90_125,CORT_0A08460,0.209992,0.931372,15
lodderomyces_elongisporus_nrrl_yb_4239,LELG_00786,0.141692,0.920692,21
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_243239,0.272339,0.947755,11
_candida_auris,QG37_02445,0.196000,0.963237,20
debaryomyces_fabryi,AC631_02756,0.037097,0.370546,20
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_9613,0.566866,0.999130,6
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_58470,0.440407,0.999891,18
candida_dubliniensis_cd36,CD36_10430,0.274502,0.971330,14
pichia_kudriavzevii,JL09_g1445,0.206315,0.964790,19
komagataella_pastoris,PAS_chr4_0182,0.446290,0.999937,24
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_12386,0.144604,0.849938,15
wickerhamomyces_ciferrii,BN7_4682,0.216212,0.962515,18
brettanomyces_bruxellensis_awri1499,AWRI1499_3344,0.169682,0.952490,21
komagataella_phaffii_cbs_7435,PP7435_CHR4-0828,0.446290,0.999937,24
kuraishia_capsulata_cbs_1993,KUCA_T00001920001,0.311369,0.999997,25
cyberlindnera_jadinii,BN1211_6190,0.188755,0.989259,27
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_72164,0.135251,0.912381,22
ogataea_polymorpha,OGAPODRAFT_92416,0.027893,0.212211,16
ogataea_parapolymorpha_dl_1,HPODL_01153,0.053899,0.493709,17
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_6239,0.303464,0.986912,14
ascochyta_rabiei,ST47_g8310,0.118880,0.991143,45
erysiphe_necator,EV44_g2117,0.095411,0.953636,40
arthrobotrys_oligospora_atcc_24927,AOL_s00043g735,0.129325,0.995595,45
pestalotiopsis_fici_w106_1,PFICI_05221,0.132624,0.985840,37
emmonsia_parva_uamh_139,EMPG_10815,0.137988,0.990449,38
trichophyton_verrucosum_hki_0517,TRV_02257,0.134627,0.987227,37
aschersonia_aleyrodis_rcef_2490,AAL_06939,0.040042,0.644196,39
valsa_mali_var_pyri,VP1G_02257,0.148699,0.999933,50
zymoseptoria_brevis,TI39_contig4389g00003,0.076464,0.923399,43
myceliophthora_thermophila_atcc_42464,MYCTH_2298984,0.377391,0.999960,46
trichoderma_atroviride_imi_206040,TRIATDRAFT_296822,0.042226,0.722614,43
