aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.412072e-01,1,6.412072e-01,1,6,190,0
E,1,6.412072e-01,1,6.412072e-01,1,6,244,0
E,1,6.412072e-01,1,6.412072e-01,1,6,295,0
E,1,6.412072e-01,1,6.412072e-01,1,6,417,0
E,1,3.587928e-01,1,6.412072e-01,1,2,644,0
E,1,6.412072e-01,1,6.412072e-01,1,6,788,0
E,1,6.412072e-01,1,6.412072e-01,1,6,810,0
E,1,3.587928e-01,1,6.412072e-01,1,2,820,0
E,2,4.601210e-01,1,4.601210e-01,1,6,2,1
E,2,4.111467e-01,1,4.601210e-01,1,4,80,1
E,2,4.601210e-01,1,4.601210e-01,1,6,86,1
E,2,4.111467e-01,1,4.601210e-01,1,4,116,1
E,2,1.287323e-01,1,4.601210e-01,1,4,228,1
E,2,1.287323e-01,1,4.601210e-01,1,4,299,1
E,2,4.601210e-01,1,4.601210e-01,1,6,339,1
E,2,4.601210e-01,1,4.601210e-01,1,6,406,1
E,2,4.111467e-01,1,4.601210e-01,1,4,440,1
E,2,4.111467e-01,1,4.601210e-01,1,4,444,1
E,2,1.287323e-01,1,4.601210e-01,1,4,461,1
E,2,4.601210e-01,1,4.601210e-01,1,6,483,1
E,2,1.287323e-01,1,4.601210e-01,1,4,836,1
E,2,4.601210e-01,1,4.601210e-01,1,6,855,1
E,3,2.636302e-01,1,4.425494e-01,1,5,101,0
E,3,4.425494e-01,1,4.425494e-01,1,6,119,0
E,3,4.425494e-01,1,4.425494e-01,1,6,158,0
E,3,2.476322e-01,1,4.425494e-01,1,4,160,0
E,3,2.476322e-01,1,4.425494e-01,1,4,170,0
E,3,4.425494e-01,1,4.425494e-01,1,6,227,0
E,3,2.636302e-01,1,4.425494e-01,1,5,262,0
E,3,2.636302e-01,1,4.425494e-01,1,5,316,0
E,3,2.636302e-01,1,4.425494e-01,1,5,342,0
E,3,2.636302e-01,1,4.425494e-01,1,5,354,0
E,3,4.425494e-01,1,4.425494e-01,1,6,380,0
E,3,2.476322e-01,1,4.425494e-01,1,4,421,0
E,3,4.425494e-01,1,4.425494e-01,1,6,564,0
E,3,4.425494e-01,1,4.425494e-01,1,6,616,0
E,3,2.476322e-01,1,4.425494e-01,1,4,802,0
E,4,3.783545e-01,1,3.783545e-01,1,7,7,1
E,4,3.783545e-01,1,3.783545e-01,1,7,115,1
E,4,3.783545e-01,1,3.783545e-01,1,7,167,1
E,4,1.184649e-01,1,3.783545e-01,1,2,213,1
E,4,3.175671e-01,1,3.783545e-01,1,3,321,1
E,4,3.783545e-01,1,3.783545e-01,1,7,356,1
E,4,1.690416e-01,1,3.783545e-01,1,2,436,1
E,4,1.657200e-02,1,3.783545e-01,1,1,452,1
E,4,3.783545e-01,1,3.783545e-01,1,7,509,1
E,4,3.783545e-01,1,3.783545e-01,1,7,514,1
E,4,3.175671e-01,1,3.783545e-01,1,3,519,1
E,4,3.783545e-01,1,3.783545e-01,1,7,666,1
E,4,1.690416e-01,1,3.783545e-01,1,2,783,1
E,4,3.175671e-01,1,3.783545e-01,1,3,797,1
E,4,1.184649e-01,1,3.783545e-01,1,2,814,1
E,5,3.032545e-01,1,3.393772e-01,1,8,40,1
E,5,1.899013e-01,1,3.393772e-01,1,4,71,1
E,5,1.083907e-01,1,3.393772e-01,1,2,149,1
E,5,1.899013e-01,1,3.393772e-01,1,4,185,1
E,5,5.313042e-02,1,3.393772e-01,1,1,275,1
E,5,3.032545e-01,1,3.393772e-01,1,8,335,1
E,5,3.032545e-01,1,3.393772e-01,1,8,415,1
E,5,3.032545e-01,1,3.393772e-01,1,8,419,1
E,5,1.899013e-01,1,3.393772e-01,1,4,439,1
E,5,3.032545e-01,1,3.393772e-01,1,8,445,1
E,5,3.032545e-01,1,3.393772e-01,1,8,450,1
E,5,3.032545e-01,1,3.393772e-01,1,8,496,1
E,5,3.393772e-01,1,3.393772e-01,1,3,497,1
E,5,3.032545e-01,1,3.393772e-01,1,8,507,1
E,5,3.393772e-01,1,3.393772e-01,1,3,520,1
E,5,1.083907e-01,1,3.393772e-01,1,2,525,1
E,5,1.899013e-01,1,3.393772e-01,1,4,527,1
E,5,3.393772e-01,1,3.393772e-01,1,3,847,1
E,6,2.435322e-01,1,3.264166e-01,1,7,19,3
E,6,3.264166e-01,1,3.264166e-01,1,8,193,3
E,6,6.950089e-02,1,3.264166e-01,1,1,216,3
E,6,3.264166e-01,1,3.264166e-01,1,8,220,3
E,6,3.264166e-01,1,3.264166e-01,1,8,222,3
E,6,2.435322e-01,1,3.264166e-01,1,7,276,3
E,6,2.333388e-01,1,3.264166e-01,1,6,298,3
E,6,3.264166e-01,1,3.264166e-01,1,8,318,3
E,6,2.435322e-01,1,3.264166e-01,1,7,381,3
E,6,2.333388e-01,1,3.264166e-01,1,6,433,3
E,6,2.435322e-01,1,3.264166e-01,1,7,442,3
E,6,3.264166e-01,1,3.264166e-01,1,8,518,3
E,6,2.333388e-01,1,3.264166e-01,1,6,524,3
E,6,3.264166e-01,1,3.264166e-01,1,8,566,3
E,6,3.264166e-01,1,3.264166e-01,1,8,600,3
E,6,2.333388e-01,1,3.264166e-01,1,6,630,3
E,6,1.022028e-01,1,3.264166e-01,1,2,692,3
E,6,2.435322e-01,1,3.264166e-01,1,7,697,3
E,6,2.435322e-01,1,3.264166e-01,1,7,742,3
E,6,2.333388e-01,1,3.264166e-01,1,6,794,3
E,6,1.022028e-01,1,3.264166e-01,1,2,809,3
E,6,2.333388e-01,1,3.264166e-01,1,6,815,3
E,6,2.435322e-01,1,3.264166e-01,1,7,827,3
E,6,3.264166e-01,1,3.264166e-01,1,8,849,3
E,7,2.732705e-01,1,2.930210e-01,1,7,23,3
E,7,2.732705e-01,1,2.930210e-01,1,7,32,3
E,7,2.930210e-01,1,2.930210e-01,1,8,81,3
E,7,2.732705e-01,1,2.930210e-01,1,7,114,3
E,7,1.529108e-01,1,2.930210e-01,1,8,117,3
E,7,2.732705e-01,1,2.930210e-01,1,7,125,3
E,7,2.930210e-01,1,2.930210e-01,1,8,139,3
E,7,4.456447e-02,1,2.930210e-01,1,3,307,3
E,7,1.745549e-01,1,2.930210e-01,1,4,314,3
E,7,1.529108e-01,1,2.930210e-01,1,8,349,3
E,7,1.745549e-01,1,2.930210e-01,1,4,424,3
E,7,1.745549e-01,1,2.930210e-01,1,4,454,3
E,7,2.930210e-01,1,2.930210e-01,1,8,470,3
E,7,1.529108e-01,1,2.930210e-01,1,8,490,3
E,7,4.456447e-02,1,2.930210e-01,1,3,503,3
E,7,1.529108e-01,1,2.930210e-01,1,8,510,3
E,7,2.732705e-01,1,2.930210e-01,1,7,521,3
E,7,2.930210e-01,1,2.930210e-01,1,8,522,3
E,7,2.732705e-01,1,2.930210e-01,1,7,540,3
E,7,4.456447e-02,1,2.930210e-01,1,3,565,3
E,7,1.529108e-01,1,2.930210e-01,1,8,617,3
E,7,1.529108e-01,1,2.930210e-01,1,8,652,3
E,7,2.930210e-01,1,2.930210e-01,1,8,654,3
E,7,1.745549e-01,1,2.930210e-01,1,4,656,3
E,7,1.529108e-01,1,2.930210e-01,1,8,665,3
E,7,1.529108e-01,1,2.930210e-01,1,8,768,3
E,7,2.930210e-01,1,2.930210e-01,1,8,786,3
E,7,2.930210e-01,1,2.930210e-01,1,8,792,3
E,7,2.930210e-01,1,2.930210e-01,1,8,851,3
E,7,2.732705e-01,1,2.930210e-01,1,7,881,3
E,8,2.505162e-01,1,2.803568e-01,1,11,27,2
E,8,2.505162e-01,1,2.803568e-01,1,11,38,2
E,8,2.803568e-01,1,2.803568e-01,1,4,88,2
E,8,2.505162e-01,1,2.803568e-01,1,11,95,2
E,8,1.960950e-01,1,2.803568e-01,1,3,124,2
E,8,2.857506e-02,1,2.803568e-01,1,3,178,2
E,8,2.505162e-01,1,2.803568e-01,1,11,214,2
E,8,1.960950e-01,1,2.803568e-01,1,3,217,2
E,8,2.505162e-01,1,2.803568e-01,1,11,334,2
E,8,2.803568e-01,1,2.803568e-01,1,4,418,2
E,8,1.279153e-01,1,2.803568e-01,1,2,428,2
E,8,2.857506e-02,1,2.803568e-01,1,3,481,2
E,8,2.505162e-01,1,2.803568e-01,1,11,513,2
E,8,1.279153e-01,1,2.803568e-01,1,2,516,2
E,8,2.505162e-01,1,2.803568e-01,1,11,533,2
E,8,1.960950e-01,1,2.803568e-01,1,3,550,2
E,8,8.778125e-02,1,2.803568e-01,1,2,570,2
E,8,2.857506e-02,1,2.803568e-01,1,3,715,2
E,8,8.778125e-02,1,2.803568e-01,1,2,725,2
E,8,2.803568e-01,1,2.803568e-01,1,4,731,2
E,8,2.803568e-01,1,2.803568e-01,1,4,740,2
E,8,2.505162e-01,1,2.803568e-01,1,11,764,2
E,8,2.505162e-01,1,2.803568e-01,1,11,844,2
E,8,2.505162e-01,1,2.803568e-01,1,11,850,2
E,8,2.505162e-01,1,2.803568e-01,1,11,854,2
E,9,1.266434e-01,1,2.696502e-01,1,1,29,5
E,9,2.696502e-01,1,2.696502e-01,1,6,100,5
E,9,2.065279e-01,1,2.696502e-01,1,1,249,5
E,9,2.263275e-01,1,2.696502e-01,1,5,286,5
E,9,9.227273e-02,1,2.696502e-01,1,2,319,5
E,9,2.263275e-01,1,2.696502e-01,1,5,326,5
E,9,2.696502e-01,1,2.696502e-01,1,6,331,5
E,9,2.263275e-01,1,2.696502e-01,1,5,336,5
E,9,2.696502e-01,1,2.696502e-01,1,6,340,5
E,9,2.696502e-01,1,2.696502e-01,1,6,555,5
E,9,2.696502e-01,1,2.696502e-01,1,6,557,5
E,9,2.263275e-01,1,2.696502e-01,1,5,657,5
E,9,1.132936e-02,1,2.696502e-01,1,1,659,5
E,9,2.696502e-01,1,2.696502e-01,1,6,756,5
E,9,2.263275e-01,1,2.696502e-01,1,5,763,5
E,9,9.227273e-02,1,2.696502e-01,1,2,846,5
E,10,2.418714e-01,1,2.470024e-01,1,8,45,4
E,10,1.655340e-01,1,2.470024e-01,1,4,110,4
E,10,1.624094e-01,1,2.470024e-01,1,6,128,4
E,10,1.624094e-01,1,2.470024e-01,1,6,133,4
E,10,2.470024e-01,1,2.470024e-01,1,8,142,4
E,10,2.418714e-01,1,2.470024e-01,1,8,163,4
E,10,1.624094e-01,1,2.470024e-01,1,6,173,4
E,10,1.624094e-01,1,2.470024e-01,1,6,194,4
E,10,6.573994e-02,1,2.470024e-01,1,5,198,4
E,10,2.470024e-01,1,2.470024e-01,1,8,206,4
E,10,7.573125e-02,1,2.470024e-01,1,3,210,4
E,10,7.573125e-02,1,2.470024e-01,1,3,231,4
E,10,1.655340e-01,1,2.470024e-01,1,4,269,4
E,10,6.573994e-02,1,2.470024e-01,1,5,294,4
E,10,2.418714e-01,1,2.470024e-01,1,8,333,4
E,10,6.573994e-02,1,2.470024e-01,1,5,355,4
E,10,6.573994e-02,1,2.470024e-01,1,5,371,4
