aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,6.519801e-01,1,6.519801e-01,1,7,14,0
E,1,6.519801e-01,1,6.519801e-01,1,7,111,0
E,1,6.519801e-01,1,6.519801e-01,1,7,192,0
E,1,6.519801e-01,1,6.519801e-01,1,7,444,0
E,1,3.480199e-01,1,6.519801e-01,1,1,463,1
E,1,6.519801e-01,1,6.519801e-01,1,7,675,0
E,1,6.519801e-01,1,6.519801e-01,1,7,718,0
E,1,6.519801e-01,1,6.519801e-01,1,7,878,0
E,2,4.250780e-01,1,4.538041e-01,1,11,11,0
E,2,4.538041e-01,1,4.538041e-01,1,8,69,1
E,2,4.250780e-01,1,4.538041e-01,1,11,123,0
E,2,1.211179e-01,1,4.538041e-01,1,2,158,2
E,2,4.538041e-01,1,4.538041e-01,1,8,207,1
E,2,4.538041e-01,1,4.538041e-01,1,8,226,1
E,2,4.250780e-01,1,4.538041e-01,1,11,253,0
E,2,4.250780e-01,1,4.538041e-01,1,11,305,0
E,2,4.250780e-01,1,4.538041e-01,1,11,320,0
E,2,4.250780e-01,1,4.538041e-01,1,11,339,0
E,2,4.250780e-01,1,4.538041e-01,1,11,481,0
E,2,1.211179e-01,1,4.538041e-01,1,2,482,2
E,2,4.538041e-01,1,4.538041e-01,1,8,555,1
E,2,4.538041e-01,1,4.538041e-01,1,8,596,1
E,2,4.250780e-01,1,4.538041e-01,1,11,599,0
E,2,4.250780e-01,1,4.538041e-01,1,11,613,0
E,2,4.538041e-01,1,4.538041e-01,1,8,637,1
E,2,4.538041e-01,1,4.538041e-01,1,8,664,1
E,2,4.250780e-01,1,4.538041e-01,1,11,677,0
E,2,4.250780e-01,1,4.538041e-01,1,11,696,0
E,2,4.538041e-01,1,4.538041e-01,1,8,879,1
E,3,2.368993e-01,1,4.438069e-01,1,7,26,2
E,3,2.771424e-01,1,4.438069e-01,1,4,174,0
E,3,4.438069e-01,1,4.438069e-01,1,6,333,1
E,3,2.771424e-01,1,4.438069e-01,1,4,354,0
E,3,2.368993e-01,1,4.438069e-01,1,7,368,2
E,3,2.368993e-01,1,4.438069e-01,1,7,370,2
E,3,2.771424e-01,1,4.438069e-01,1,4,424,0
E,3,4.438069e-01,1,4.438069e-01,1,6,469,1
E,3,2.368993e-01,1,4.438069e-01,1,7,474,2
E,3,4.438069e-01,1,4.438069e-01,1,6,516,1
E,3,2.368993e-01,1,4.438069e-01,1,7,550,2
E,3,4.438069e-01,1,4.438069e-01,1,6,551,1
E,3,2.771424e-01,1,4.438069e-01,1,4,572,0
E,3,2.368993e-01,1,4.438069e-01,1,7,695,2
E,3,2.368993e-01,1,4.438069e-01,1,7,707,2
E,3,4.438069e-01,1,4.438069e-01,1,6,741,1
E,3,4.438069e-01,1,4.438069e-01,1,6,823,1
E,4,1.466954e-02,1,3.858043e-01,1,1,169,4
E,4,1.806913e-01,1,3.858043e-01,1,1,186,0
E,4,3.858043e-01,1,3.858043e-01,1,8,403,1
E,4,3.858043e-01,1,3.858043e-01,1,8,420,1
E,4,1.099276e-01,1,3.858043e-01,1,3,439,3
E,4,3.089073e-01,1,3.858043e-01,1,3,519,2
E,4,3.858043e-01,1,3.858043e-01,1,8,530,1
E,4,1.099276e-01,1,3.858043e-01,1,3,611,3
E,4,3.858043e-01,1,3.858043e-01,1,8,673,1
E,4,1.099276e-01,1,3.858043e-01,1,3,692,3
E,4,3.858043e-01,1,3.858043e-01,1,8,702,1
E,4,3.858043e-01,1,3.858043e-01,1,8,709,1
E,4,3.089073e-01,1,3.858043e-01,1,3,754,2
E,4,3.858043e-01,1,3.858043e-01,1,8,767,1
E,4,3.858043e-01,1,3.858043e-01,1,8,772,1
E,4,3.089073e-01,1,3.858043e-01,1,3,777,2
E,5,1.791765e-01,1,3.356690e-01,1,7,62,3
E,5,3.144209e-01,1,3.356690e-01,1,2,112,1
E,5,1.178071e-01,1,3.356690e-01,1,5,177,0
E,5,3.356690e-01,1,3.356690e-01,1,7,218,2
E,5,1.791765e-01,1,3.356690e-01,1,7,243,3
E,5,3.356690e-01,1,3.356690e-01,1,7,258,2
E,5,3.356690e-01,1,3.356690e-01,1,7,318,2
E,5,4.782123e-02,1,3.356690e-01,1,2,324,4
E,5,1.178071e-01,1,3.356690e-01,1,5,404,0
E,5,1.791765e-01,1,3.356690e-01,1,7,421,3
E,5,1.791765e-01,1,3.356690e-01,1,7,476,3
E,5,3.144209e-01,1,3.356690e-01,1,2,498,1
E,5,3.356690e-01,1,3.356690e-01,1,7,531,2
E,5,1.178071e-01,1,3.356690e-01,1,5,638,0
E,5,1.791765e-01,1,3.356690e-01,1,7,699,3
E,5,1.178071e-01,1,3.356690e-01,1,5,701,0
E,5,1.178071e-01,1,3.356690e-01,1,5,731,0
E,5,1.791765e-01,1,3.356690e-01,1,7,755,3
E,5,3.356690e-01,1,3.356690e-01,1,7,765,2
E,5,1.791765e-01,1,3.356690e-01,1,7,778,3
E,5,3.356690e-01,1,3.356690e-01,1,7,783,2
E,5,3.356690e-01,1,3.356690e-01,1,7,785,2
E,5,4.782123e-02,1,3.356690e-01,1,2,825,4
E,6,9.353547e-02,1,3.282742e-01,1,4,36,4
E,6,2.459954e-01,1,3.282742e-01,1,5,116,1
E,6,3.282742e-01,1,3.282742e-01,1,4,166,2
E,6,2.459954e-01,1,3.282742e-01,1,5,187,1
E,6,2.336390e-01,1,3.282742e-01,1,5,199,3
E,6,9.353547e-02,1,3.282742e-01,1,4,222,4
E,6,3.282742e-01,1,3.282742e-01,1,4,270,2
E,6,9.353547e-02,1,3.282742e-01,1,4,334,4
E,6,2.336390e-01,1,3.282742e-01,1,5,373,3
E,6,3.282742e-01,1,3.282742e-01,1,4,574,2
E,6,2.336390e-01,1,3.282742e-01,1,5,606,3
E,6,2.336390e-01,1,3.282742e-01,1,5,698,3
E,6,2.336390e-01,1,3.282742e-01,1,5,761,3
E,6,9.353547e-02,1,3.282742e-01,1,4,776,4
E,6,3.282742e-01,1,3.282742e-01,1,4,782,2
E,6,2.459954e-01,1,3.282742e-01,1,5,798,1
E,6,2.459954e-01,1,3.282742e-01,1,5,862,1
E,6,2.459954e-01,1,3.282742e-01,1,5,880,1
E,7,1.422943e-01,1,2.996395e-01,1,5,22,4
E,7,2.996395e-01,1,2.996395e-01,1,7,24,2
E,7,2.996395e-01,1,2.996395e-01,1,7,35,2
E,7,2.996395e-01,1,2.996395e-01,1,7,143,2
E,7,1.871148e-01,1,2.996395e-01,1,5,220,1
E,7,2.996395e-01,1,2.996395e-01,1,7,221,2
E,7,4.557309e-02,1,2.996395e-01,1,3,379,5
E,7,4.557309e-02,1,2.996395e-01,1,3,432,5
E,7,2.665739e-01,1,2.996395e-01,1,2,447,3
E,7,1.871148e-01,1,2.996395e-01,1,5,549,1
E,7,1.422943e-01,1,2.996395e-01,1,5,570,4
E,7,1.422943e-01,1,2.996395e-01,1,5,590,4
E,7,1.422943e-01,1,2.996395e-01,1,5,592,4
E,7,4.557309e-02,1,2.996395e-01,1,3,642,5
E,7,1.871148e-01,1,2.996395e-01,1,5,689,1
E,7,2.996395e-01,1,2.996395e-01,1,7,727,2
E,7,2.996395e-01,1,2.996395e-01,1,7,748,2
E,7,2.665739e-01,1,2.996395e-01,1,2,779,3
E,7,2.996395e-01,1,2.996395e-01,1,7,780,2
E,7,1.871148e-01,1,2.996395e-01,1,5,822,1
E,7,1.422943e-01,1,2.996395e-01,1,5,824,4
E,7,1.871148e-01,1,2.996395e-01,1,5,893,1
E,8,2.780814e-01,1,2.780814e-01,1,9,87,3
E,8,1.394230e-01,1,2.780814e-01,1,3,97,1
E,8,1.394230e-01,1,2.780814e-01,1,3,114,1
E,8,2.604787e-01,1,2.780814e-01,1,8,131,2
E,8,2.780814e-01,1,2.780814e-01,1,9,154,3
E,8,2.604787e-01,1,2.780814e-01,1,8,160,2
E,8,2.780814e-01,1,2.780814e-01,1,9,215,3
E,8,2.780814e-01,1,2.780814e-01,1,9,230,3
E,8,1.855461e-01,1,2.780814e-01,1,5,274,4
E,8,2.780814e-01,1,2.780814e-01,1,9,278,3
E,8,2.780814e-01,1,2.780814e-01,1,9,283,3
E,8,2.604787e-01,1,2.780814e-01,1,8,289,2
E,8,1.394230e-01,1,2.780814e-01,1,3,308,1
E,8,2.780814e-01,1,2.780814e-01,1,9,322,3
E,8,1.855461e-01,1,2.780814e-01,1,5,371,4
E,8,2.604787e-01,1,2.780814e-01,1,8,378,2
E,8,1.855461e-01,1,2.780814e-01,1,5,393,4
E,8,2.780814e-01,1,2.780814e-01,1,9,512,3
E,8,2.604787e-01,1,2.780814e-01,1,8,575,2
E,8,2.114712e-02,1,2.780814e-01,1,2,583,6
E,8,2.604787e-01,1,2.780814e-01,1,8,591,2
E,8,1.855461e-01,1,2.780814e-01,1,5,597,4
E,8,1.855461e-01,1,2.780814e-01,1,5,644,4
E,8,3.264936e-02,1,2.780814e-01,1,2,680,0
E,8,2.604787e-01,1,2.780814e-01,1,8,684,2
E,8,2.604787e-01,1,2.780814e-01,1,8,711,2
E,8,2.780814e-01,1,2.780814e-01,1,9,768,3
E,8,2.114712e-02,1,2.780814e-01,1,2,771,6
E,8,3.264936e-02,1,2.780814e-01,1,2,816,0
E,8,7.923399e-02,1,2.780814e-01,1,1,829,5
E,9,2.183489e-01,1,2.719553e-01,1,7,27,2
E,9,2.177502e-01,1,2.719553e-01,1,3,29,4
E,9,2.719553e-01,1,2.719553e-01,1,13,138,3
E,9,2.719553e-01,1,2.719553e-01,1,13,139,3
E,9,2.183489e-01,1,2.719553e-01,1,7,191,2
E,9,2.719553e-01,1,2.719553e-01,1,13,280,3
E,9,1.022636e-01,1,2.719553e-01,1,3,341,1
E,9,1.022636e-01,1,2.719553e-01,1,3,348,1
E,9,1.162327e-01,1,2.719553e-01,1,3,353,5
E,9,2.719553e-01,1,2.719553e-01,1,13,369,3
E,9,1.162327e-01,1,2.719553e-01,1,3,387,5
E,9,2.719553e-01,1,2.719553e-01,1,13,448,3
E,9,2.177502e-01,1,2.719553e-01,1,3,465,4
E,9,2.719553e-01,1,2.719553e-01,1,13,470,3
E,9,2.719553e-01,1,2.719553e-01,1,13,503,3
E,9,2.719553e-01,1,2.719553e-01,1,13,554,3
E,9,2.719553e-01,1,2.719553e-01,1,13,563,3
E,9,2.183489e-01,1,2.719553e-01,1,7,588,2
E,9,2.719553e-01,1,2.719553e-01,1,13,593,3
E,9,2.719553e-01,1,2.719553e-01,1,13,640,3
E,9,2.183489e-01,1,2.719553e-01,1,7,672,2
E,9,1.162327e-01,1,2.719553e-01,1,3,676,5
E,9,1.022636e-01,1,2.719553e-01,1,3,678,1
E,9,2.183489e-01,1,2.719553e-01,1,7,723,2
E,9,2.183489e-01,1,2.719553e-01,1,7,739,2
E,9,2.183489e-01,1,2.719553e-01,1,7,774,2
E,9,2.719553e-01,1,2.719553e-01,1,13,791,3
E,9,2.719553e-01,1,2.719553e-01,1,13,799,3
E,9,2.128673e-02,1,2.719553e-01,1,1,812,0
E,9,2.177502e-01,1,2.719553e-01,1,3,853,4
