aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,67,1,0
E,1,5.000000e-01,2,5.000000e-01,2,67,4,0
E,1,5.000000e-01,2,5.000000e-01,2,67,16,0
E,1,5.000000e-01,2,5.000000e-01,2,67,84,0
E,1,5.000000e-01,2,5.000000e-01,2,67,98,0
E,1,5.000000e-01,2,5.000000e-01,2,67,103,0
E,1,5.000000e-01,2,5.000000e-01,2,67,205,0
E,1,5.000000e-01,2,5.000000e-01,2,67,268,0
E,1,5.000000e-01,2,5.000000e-01,2,67,317,0
E,1,5.000000e-01,2,5.000000e-01,2,67,321,0
E,1,5.000000e-01,2,5.000000e-01,2,67,362,0
E,1,5.000000e-01,2,5.000000e-01,2,67,399,0
E,1,5.000000e-01,2,5.000000e-01,2,67,444,0
E,1,5.000000e-01,2,5.000000e-01,2,67,445,0
E,1,5.000000e-01,2,5.000000e-01,2,67,507,0
E,1,5.000000e-01,2,5.000000e-01,2,67,624,0
E,1,5.000000e-01,2,5.000000e-01,2,67,639,0
E,1,5.000000e-01,2,5.000000e-01,2,67,649,0
E,1,5.000000e-01,2,5.000000e-01,2,67,662,0
E,1,5.000000e-01,2,5.000000e-01,2,67,763,0
E,1,5.000000e-01,2,5.000000e-01,2,67,782,0
E,1,5.000000e-01,2,5.000000e-01,2,67,784,0
E,1,5.000000e-01,2,5.000000e-01,2,67,797,0
E,1,5.000000e-01,2,5.000000e-01,2,67,816,0
E,1,5.000000e-01,2,5.000000e-01,2,67,826,0
E,1,5.000000e-01,2,5.000000e-01,2,67,908,0
E,1,5.000000e-01,2,5.000000e-01,2,67,993,0
E,1,5.000000e-01,2,5.000000e-01,2,67,999,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1008,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1013,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1033,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1037,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1045,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1049,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1058,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1062,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1126,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1138,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1202,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1215,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1226,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1235,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1237,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1294,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1298,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1329,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1332,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1338,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1345,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1356,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1384,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1398,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1401,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1428,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1435,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1453,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1455,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1613,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1632,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1683,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1695,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1731,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1743,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1761,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1762,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1850,0
E,1,5.000000e-01,2,5.000000e-01,2,67,1907,0
E,2,2.500000e-01,2,5.000000e-01,1,36,9,0
E,2,5.000000e-01,1,5.000000e-01,1,43,17,0
E,2,5.000000e-01,1,5.000000e-01,1,43,69,0
E,2,2.500000e-01,2,5.000000e-01,1,36,119,0
E,2,2.500000e-01,2,5.000000e-01,1,36,164,0
E,2,5.000000e-01,1,5.000000e-01,1,43,252,0
E,2,5.000000e-01,1,5.000000e-01,1,43,270,0
E,2,5.000000e-01,1,5.000000e-01,1,43,311,0
E,2,5.000000e-01,1,5.000000e-01,1,43,336,0
E,2,5.000000e-01,1,5.000000e-01,1,43,343,0
E,2,2.500000e-01,2,5.000000e-01,1,36,348,0
E,2,2.500000e-01,2,5.000000e-01,1,36,351,0
E,2,5.000000e-01,1,5.000000e-01,1,43,360,0
E,2,5.000000e-01,1,5.000000e-01,1,43,380,0
E,2,2.500000e-01,2,5.000000e-01,1,36,397,0
E,2,2.500000e-01,2,5.000000e-01,1,36,398,0
E,2,5.000000e-01,1,5.000000e-01,1,43,425,0
E,2,2.500000e-01,2,5.000000e-01,1,36,516,0
E,2,5.000000e-01,1,5.000000e-01,1,43,560,0
E,2,5.000000e-01,1,5.000000e-01,1,43,586,0
E,2,5.000000e-01,1,5.000000e-01,1,43,604,0
E,2,5.000000e-01,1,5.000000e-01,1,43,610,0
E,2,2.500000e-01,2,5.000000e-01,1,36,757,0
E,2,2.500000e-01,2,5.000000e-01,1,36,808,0
E,2,5.000000e-01,1,5.000000e-01,1,43,843,0
E,2,2.500000e-01,2,5.000000e-01,1,36,931,0
E,2,5.000000e-01,1,5.000000e-01,1,43,980,0
E,2,2.500000e-01,2,5.000000e-01,1,36,1005,0
E,2,5.000000e-01,1,5.000000e-01,1,43,1024,0
E,2,5.000000e-01,1,5.000000e-01,1,43,1034,0
E,2,2.500000e-01,2,5.000000e-01,1,36,1039,0
E,2,2.500000e-01,2,5.000000e-01,1,36,1041,0
E,2,5.000000e-01,1,5.000000e-01,1,43,1046,0
