aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,33,23,1
E,1,5.000000e-01,2,5.000000e-01,2,33,96,1
E,1,5.000000e-01,2,5.000000e-01,2,33,299,1
E,1,5.000000e-01,2,5.000000e-01,2,33,326,0
E,1,5.000000e-01,2,5.000000e-01,2,33,488,1
E,1,5.000000e-01,2,5.000000e-01,2,33,509,1
E,1,5.000000e-01,2,5.000000e-01,2,33,571,0
E,1,5.000000e-01,2,5.000000e-01,2,33,647,1
E,1,5.000000e-01,2,5.000000e-01,2,33,900,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1037,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1080,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1096,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1285,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1302,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1381,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1403,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1482,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1542,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1564,0
E,1,5.000000e-01,2,5.000000e-01,2,33,1670,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1679,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1819,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1850,1
E,1,5.000000e-01,2,5.000000e-01,2,33,1862,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2381,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2418,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2776,1
E,1,5.000000e-01,2,5.000000e-01,2,33,2850,1
E,1,5.000000e-01,2,5.000000e-01,2,33,3004,1
E,1,5.000000e-01,2,5.000000e-01,2,33,3005,1
E,1,5.000000e-01,2,5.000000e-01,2,33,3037,1
E,1,5.000000e-01,2,5.000000e-01,2,33,3151,1
E,1,5.000000e-01,2,5.000000e-01,2,33,3295,1
E,2,2.500000e-01,2,5.000000e-01,1,22,110,2
E,2,2.500000e-01,2,5.000000e-01,1,22,132,2
E,2,2.500000e-01,2,5.000000e-01,1,22,201,0
E,2,2.500000e-01,2,5.000000e-01,1,22,208,0
E,2,2.500000e-01,2,5.000000e-01,1,22,423,2
E,2,5.000000e-01,1,5.000000e-01,1,21,426,1
E,2,5.000000e-01,1,5.000000e-01,1,21,715,1
E,2,5.000000e-01,1,5.000000e-01,1,21,749,1
E,2,5.000000e-01,1,5.000000e-01,1,21,808,1
E,2,5.000000e-01,1,5.000000e-01,1,21,853,1
E,2,2.500000e-01,2,5.000000e-01,1,22,922,2
E,2,2.500000e-01,2,5.000000e-01,1,22,1067,2
E,2,2.500000e-01,2,5.000000e-01,1,22,1123,2
E,2,2.500000e-01,2,5.000000e-01,1,22,1174,2
E,2,5.000000e-01,1,5.000000e-01,1,21,1310,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1361,1
E,2,2.500000e-01,2,5.000000e-01,1,22,1385,2
E,2,2.500000e-01,2,5.000000e-01,1,22,1475,2
E,2,5.000000e-01,1,5.000000e-01,1,21,1492,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1656,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1700,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1707,1
E,2,2.500000e-01,2,5.000000e-01,1,22,1727,2
E,2,5.000000e-01,1,5.000000e-01,1,21,1773,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1794,1
E,2,5.000000e-01,1,5.000000e-01,1,21,1946,1
E,2,2.500000e-01,2,5.000000e-01,1,22,1985,0
E,2,5.000000e-01,1,5.000000e-01,1,21,2251,1
E,2,2.500000e-01,2,5.000000e-01,1,22,2384,0
E,2,2.500000e-01,2,5.000000e-01,1,22,2403,2
E,2,5.000000e-01,1,5.000000e-01,1,21,2417,1
E,2,2.500000e-01,2,5.000000e-01,1,22,2461,2
E,2,5.000000e-01,1,5.000000e-01,1,21,2545,1
E,2,2.500000e-01,2,5.000000e-01,1,22,2658,2
E,2,5.000000e-01,1,5.000000e-01,1,21,2661,1
E,2,2.500000e-01,2,5.000000e-01,1,22,2677,2
E,2,2.500000e-01,2,5.000000e-01,1,22,2681,0
E,2,2.500000e-01,2,5.000000e-01,1,22,2733,2
E,2,2.500000e-01,2,5.000000e-01,1,22,2787,2
E,2,5.000000e-01,1,5.000000e-01,1,21,2861,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3038,1
E,2,5.000000e-01,1,5.000000e-01,1,21,3167,1
E,2,2.500000e-01,2,5.000000e-01,1,22,3239,2
E,3,1.250000e-01,2,3.750000e-01,2,19,11,3
E,3,1.250000e-01,2,3.750000e-01,2,19,38,3
E,3,3.750000e-01,2,3.750000e-01,2,43,48,2
E,3,1.250000e-01,2,3.750000e-01,2,19,58,0
E,3,3.750000e-01,2,3.750000e-01,2,43,240,2
E,3,3.750000e-01,2,3.750000e-01,2,43,250,1
E,3,3.750000e-01,2,3.750000e-01,2,43,268,2
E,3,3.750000e-01,2,3.750000e-01,2,43,392,2
E,3,3.750000e-01,2,3.750000e-01,2,43,445,2
E,3,3.750000e-01,2,3.750000e-01,2,43,497,2
E,3,1.250000e-01,2,3.750000e-01,2,19,501,3
E,3,3.750000e-01,2,3.750000e-01,2,43,592,2
E,3,1.250000e-01,2,3.750000e-01,2,19,654,3
E,3,3.750000e-01,2,3.750000e-01,2,43,699,2
E,3,3.750000e-01,2,3.750000e-01,2,43,705,2
E,3,3.750000e-01,2,3.750000e-01,2,43,817,1
E,3,3.750000e-01,2,3.750000e-01,2,43,839,2
E,3,3.750000e-01,2,3.750000e-01,2,43,867,2
E,3,3.750000e-01,2,3.750000e-01,2,43,988,2
E,3,3.750000e-01,2,3.750000e-01,2,43,1005,2
E,3,3.750000e-01,2,3.750000e-01,2,43,1038,2
E,3,1.250000e-01,2,3.750000e-01,2,19,1139,3
E,3,1.250000e-01,2,3.750000e-01,2,19,1200,3
E,3,1.250000e-01,2,3.750000e-01,2,19,1206,3
E,3,1.250000e-01,2,3.750000e-01,2,19,1332,3
E,3,3.750000e-01,2,3.750000e-01,2,43,1380,1
E,3,3.750000e-01,2,3.750000e-01,2,43,1577,1
E,3,1.250000e-01,2,3.750000e-01,2,19,1701,0
E,3,3.750000e-01,2,3.750000e-01,2,43,1703,1
E,3,3.750000e-01,2,3.750000e-01,2,43,1789,2
E,3,1.250000e-01,2,3.750000e-01,2,19,1793,3
E,3,3.750000e-01,2,3.750000e-01,2,43,1955,2
E,3,3.750000e-01,2,3.750000e-01,2,43,1991,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2029,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2080,2
E,3,1.250000e-01,2,3.750000e-01,2,19,2247,3
E,3,3.750000e-01,2,3.750000e-01,2,43,2250,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2254,1
E,3,3.750000e-01,2,3.750000e-01,2,43,2341,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2508,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2529,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2534,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2537,2
E,3,1.250000e-01,2,3.750000e-01,2,19,2634,3
E,3,3.750000e-01,2,3.750000e-01,2,43,2662,2
E,3,1.250000e-01,2,3.750000e-01,2,19,2665,3
E,3,3.750000e-01,2,3.750000e-01,2,43,2774,2
E,3,3.750000e-01,2,3.750000e-01,2,43,2782,2
E,3,1.250000e-01,2,3.750000e-01,2,19,2805,3
E,3,1.250000e-01,2,3.750000e-01,2,19,2884,0
E,3,1.250000e-01,2,3.750000e-01,2,19,2983,3
E,3,3.750000e-01,2,3.750000e-01,2,43,3017,2
E,3,1.250000e-01,2,3.750000e-01,2,19,3130,3
E,3,3.750000e-01,2,3.750000e-01,2,43,3139,2
E,3,1.250000e-01,2,3.750000e-01,2,19,3146,3
E,3,3.750000e-01,2,3.750000e-01,2,43,3159,2
E,3,3.750000e-01,2,3.750000e-01,2,43,3166,2
E,3,3.750000e-01,2,3.750000e-01,2,43,3205,2
E,3,3.750000e-01,2,3.750000e-01,2,43,3430,2
E,3,3.750000e-01,2,3.750000e-01,2,43,3472,1
E,3,3.750000e-01,2,3.750000e-01,2,43,3480,2
E,3,3.750000e-01,2,3.750000e-01,2,43,3504,2
E,4,2.500000e-01,2,3.750000e-01,1,28,131,3
E,4,3.750000e-01,1,3.750000e-01,1,21,206,2
E,4,3.750000e-01,1,3.750000e-01,1,21,212,2
E,4,6.250000e-02,2,3.750000e-01,1,15,237,4
E,4,2.500000e-01,2,3.750000e-01,1,28,251,3
E,4,3.750000e-01,1,3.750000e-01,1,21,253,2
E,4,2.500000e-01,2,3.750000e-01,1,28,323,3
E,4,2.500000e-01,2,3.750000e-01,1,28,397,3
E,4,2.500000e-01,2,3.750000e-01,1,28,404,3
E,4,2.500000e-01,2,3.750000e-01,1,28,516,3
E,4,3.750000e-01,1,3.750000e-01,1,21,553,2
E,4,2.500000e-01,2,3.750000e-01,1,28,562,3
E,4,2.500000e-01,2,3.750000e-01,1,28,609,3
E,4,6.250000e-02,2,3.750000e-01,1,15,697,4
E,4,2.500000e-01,2,3.750000e-01,1,28,721,1
E,4,3.750000e-01,1,3.750000e-01,1,21,812,2
E,4,3.750000e-01,1,3.750000e-01,1,21,852,2
E,4,2.500000e-01,2,3.750000e-01,1,28,908,3
E,4,2.500000e-01,2,3.750000e-01,1,28,909,3
E,4,2.500000e-01,2,3.750000e-01,1,28,1048,3
E,4,2.500000e-01,2,3.750000e-01,1,28,1134,3
E,4,6.250000e-02,2,3.750000e-01,1,15,1157,4
E,4,6.250000e-02,2,3.750000e-01,1,15,1161,4
E,4,3.750000e-01,1,3.750000e-01,1,21,1210,2
E,4,6.250000e-02,2,3.750000e-01,1,15,1259,4
E,4,6.250000e-02,2,3.750000e-01,1,15,1300,4
E,4,2.500000e-01,2,3.750000e-01,1,28,1303,3
E,4,2.500000e-01,2,3.750000e-01,1,28,1394,3
E,4,2.500000e-01,2,3.750000e-01,1,28,1426,3
E,4,3.750000e-01,1,3.750000e-01,1,21,1445,2
E,4,2.500000e-01,2,3.750000e-01,1,28,1480,1
E,4,6.250000e-02,2,3.750000e-01,1,15,1626,4
E,4,3.750000e-01,1,3.750000e-01,1,21,1634,2
E,4,2.500000e-01,2,3.750000e-01,1,28,1692,1
