species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0141,0.194742,0.998455,26
saccharomyces_sp_boulardii_,KO01_00384,0.230802,0.999643,24
saccharomyces_eubayanus,DI49_0145,0.079447,0.985124,30
kazachstania_africana_cbs_2517,KAFR_0H01130,0.288602,0.998296,23
naumovozyma_castellii_cbs_4309,NCAS_0A10920,0.043286,0.954338,37
naumovozyma_dairenensis_cbs_421,NDAI_0A05380,0.165576,0.998896,37
_candida_glabrata,CAGL0F04301g,0.135190,0.997013,25
kazachstania_naganishii_cbs_8797,KNAG_0H00890,0.027122,0.880136,34
zygosaccharomyces_rouxii,ZYRO0G13178g,0.257663,0.998475,52
zygosaccharomyces_bailii_isa1307,ZBAI_02864,-0.000000,0.239208,43
torulaspora_delbrueckii,TDEL_0F01520,0.066492,0.989680,41
zygosaccharomyces_bailii_isa1307,ZBAI_09123,0.032048,0.935310,43
vanderwaltozyma_polyspora_dsm_70294,Kpol_292p1,0.293229,0.996377,9
tetrapisispora_blattae_cbs_6284,TBLA_0B02650,0.457863,0.999683,36
tetrapisispora_phaffii_cbs_4417,TPHA_0M01390,0.134684,0.998449,29
lachancea_lanzarotensis,LALA0_S09e03422g,0.007592,0.624360,32
lachancea_thermotolerans_cbs_6340,KLTH0E14586g,-0.000000,0.144464,30
ashbya_gossypii,AGOS_ADL298C,0.019447,0.865681,45
kluyveromyces_marxianus_dmku3_1042,KLMA_70347,0.000925,0.341522,46
kluyveromyces_lactis,KLLA0_B12331g,0.178605,0.998938,34
eremothecium_sinecaudum,AW171_hschr2243,0.126902,0.999683,36
eremothecium_cymbalariae_dbvpg_7215,Ecym_7447,0.019447,0.865681,45
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL298C,0.009827,0.747708,49
hanseniaspora_osmophila,AWRI3579_g2141,0.048382,0.960739,35
brettanomyces_bruxellensis_awri1499,AWRI1499_3539,0.182054,0.998345,20
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_13773,0.015881,0.714517,22
pichia_kudriavzevii,JL09_g5597,0.101366,0.875133,4
pichia_kudriavzevii,JL09_g3179,0.125816,0.997476,28
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_9807,0.091349,0.988650,28
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_52553,0.054830,0.977670,39
sugiyamaella_lignohabitans,AWJ20_949,0.024386,0.851290,31
