species,gene,entropyValue,entropyLocation,length
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_0269,-0.000000,0.392761,15
saccharomyces_sp_boulardii_,KO01_00252,0.007361,0.545845,16
saccharomyces_arboricola_h_6,SU7_0200,0.031902,0.833276,19
saccharomyces_eubayanus,DI49_1141,-0.000000,0.176197,20
tetrapisispora_phaffii_cbs_4417,TPHA_0A03560,0.135840,0.993812,21
vanderwaltozyma_polyspora_dsm_70294,Kpol_1065p18,0.299895,0.999643,24
torulaspora_delbrueckii,TDEL_0C05030,0.038500,0.820629,14
naumovozyma_dairenensis_cbs_421,NDAI_0A07910,0.053489,0.904494,18
naumovozyma_castellii_cbs_4309,NCAS_0I01090,0.122254,0.979409,16
tetrapisispora_blattae_cbs_6284,TBLA_0H01550,0.102113,0.984187,22
_candida_glabrata,CAGL0K12342g,-0.000000,0.185471,18
kazachstania_naganishii_cbs_8797,KNAG_0B01470,-0.000000,0.370941,17
kazachstania_africana_cbs_2517,KAFR_0D02690,0.035964,0.867210,22
zygosaccharomyces_bailii_isa1307,ZBAI_05552,0.074194,0.890977,10
zygosaccharomyces_rouxii,ZYRO0C16368g,0.088010,0.942839,14
zygosaccharomyces_bailii_isa1307,ZBAI_00397,0.074194,0.890977,10
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriADL338C,-0.000000,0.492187,9
lachancea_thermotolerans_cbs_6340,KLTH0F10604g,0.009538,0.576245,14
ashbya_gossypii,AGOS_ADL338C,-0.000000,0.492187,9
lachancea_lanzarotensis,LALA0_S03e04918g,0.016754,0.698491,15
eremothecium_cymbalariae_dbvpg_7215,Ecym_3466,0.080487,0.951273,17
eremothecium_sinecaudum,AW171_hschr2282,-0.000000,0.546875,7
kluyveromyces_lactis,KLLA0_B09405g,0.093602,0.934887,11
kluyveromyces_marxianus_dmku3_1042,KLMA_80292,0.012846,0.612518,12
hanseniaspora_opuntiae,AWRI3578_g3391,0.003335,0.458995,24
hanseniaspora_osmophila,AWRI3579_g2179,0.010562,0.641054,19
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_50076,0.418129,0.996505,16
hanseniaspora_uvarum_dsm_2768,D499_0C01530,0.089133,0.974389,21
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_74934,0.117511,0.996366,50
candida_dubliniensis_cd36,CD36_45550,0.018572,0.771268,25
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_38530,0.237772,0.996844,13
candida_albicans_wo_1,CAWG_03225,0.015955,0.753200,27
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_75927,0.136693,0.987646,17
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_58808,0.149452,0.996758,22
komagataella_phaffii_cbs_7435,PP7435_CHR2-0514,0.043425,0.885414,20
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0K04498g,0.004766,0.496975,20
ogataea_polymorpha,OGAPODRAFT_75794,-0.000000,0.352394,19
_candida_auris,QG37_02273,0.005853,0.519638,18
candida_tropicalis_mya_3404,CTRG_03901,0.218627,0.998296,23
kuraishia_capsulata_cbs_1993,KUCA_T00004273001,0.067344,0.907934,13
brettanomyces_bruxellensis_awri1499,AWRI1499_0379,0.018232,0.656382,10
candida_parapsilosis_cdc317,CPAR2_501490,-0.000000,0.352394,19
pichia_kudriavzevii,JL09_g3903,0.004038,0.527158,31
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_22704,0.030278,0.849422,24
lodderomyces_elongisporus_nrrl_yb_4239,LELG_04510,-0.000000,0.322361,23
debaryomyces_hansenii_cbs767,DEHA2D10516g,0.115459,0.995460,27
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_196077,0.003335,0.458995,24
candida_orthopsilosis_co_90_125,CORT_0B01640,0.064483,0.936940,19
komagataella_pastoris,PAS_chr2-1_0759,0.043425,0.885414,20
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_155342,0.025844,0.832117,26
clavispora_lusitaniae_atcc_42720,CLUG_01323,0.006166,0.576083,25
ogataea_parapolymorpha_dl_1,HPODL_04499,-0.000000,0.196381,16
wickerhamomyces_ciferrii,BN7_6550,0.254400,0.998345,20
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_22931,0.183349,0.997013,25
debaryomyces_fabryi,AC631_02638,0.173039,0.999643,24
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_98965,0.015881,0.714517,22
cyberlindnera_jadinii,BN1211_5002,0.103373,0.965210,15
_candida_tenuis_atcc_10573,CANTEDRAFT_101732,0.013384,0.693264,24
scheffersomyces_stipitis_cbs_6054,PICST_39314,0.054251,0.937205,24
candida_maltosa_xu316,G210_2637,0.064537,0.948598,22
meyerozyma_guilliermondii_atcc_6260,PGUG_04668,0.007263,0.595524,23
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0L04499g,0.004766,0.496975,20
