aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.090948e-01,1,8.090948e-01,1,12,71,1
E,1,1.909052e-01,1,8.090948e-01,1,1,214,1
E,1,8.090948e-01,1,8.090948e-01,1,12,245,1
E,1,8.090948e-01,1,8.090948e-01,1,12,345,1
E,1,8.090948e-01,1,8.090948e-01,1,12,678,1
E,1,8.090948e-01,1,8.090948e-01,1,12,798,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1383,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1467,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1534,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1540,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1672,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1859,1
E,1,8.090948e-01,1,8.090948e-01,1,12,1883,1
E,2,3.089208e-01,1,6.546344e-01,1,10,9,1
E,2,6.546344e-01,1,6.546344e-01,1,16,32,1
E,2,6.546344e-01,1,6.546344e-01,1,16,95,1
E,2,3.089208e-01,1,6.546344e-01,1,10,140,1
E,2,3.089208e-01,1,6.546344e-01,1,10,182,1
E,2,6.546344e-01,1,6.546344e-01,1,16,281,1
E,2,6.546344e-01,1,6.546344e-01,1,16,397,1
E,2,3.089208e-01,1,6.546344e-01,1,10,424,1
E,2,3.089208e-01,1,6.546344e-01,1,10,468,1
E,2,6.546344e-01,1,6.546344e-01,1,16,512,1
E,2,6.546344e-01,1,6.546344e-01,1,16,785,1
E,2,3.089208e-01,1,6.546344e-01,1,10,828,1
E,2,6.546344e-01,1,6.546344e-01,1,16,934,1
E,2,6.546344e-01,1,6.546344e-01,1,16,963,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1371,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1395,1
E,2,3.089208e-01,1,6.546344e-01,1,10,1563,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1603,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1653,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1663,1
E,2,3.089208e-01,1,6.546344e-01,1,10,1670,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1683,1
E,2,6.546344e-01,1,6.546344e-01,1,16,1758,1
E,2,3.089208e-01,1,6.546344e-01,1,10,1849,1
E,2,6.546344e-01,1,6.546344e-01,1,16,2068,1
E,2,3.089208e-01,1,6.546344e-01,1,10,2075,1
E,3,5.296614e-01,1,5.296614e-01,1,26,105,3
E,3,3.749193e-01,1,5.296614e-01,1,9,195,3
E,3,5.296614e-01,1,5.296614e-01,1,26,226,3
E,3,5.296614e-01,1,5.296614e-01,1,26,229,3
E,3,5.296614e-01,1,5.296614e-01,1,26,243,3
E,3,5.296614e-01,1,5.296614e-01,1,26,257,3
E,3,5.296614e-01,1,5.296614e-01,1,26,260,3
E,3,5.296614e-01,1,5.296614e-01,1,26,306,3
E,3,5.296614e-01,1,5.296614e-01,1,26,448,3
E,3,5.296614e-01,1,5.296614e-01,1,26,501,3
E,3,5.296614e-01,1,5.296614e-01,1,26,517,3
E,3,3.749193e-01,1,5.296614e-01,1,9,623,3
E,3,5.296614e-01,1,5.296614e-01,1,26,985,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1019,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1272,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1450,3
E,3,8.846186e-02,1,5.296614e-01,1,1,1452,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1466,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1502,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1565,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1587,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1588,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1632,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1701,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1724,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1752,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1833,3
E,3,5.296614e-01,1,5.296614e-01,1,26,1893,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1902,3
E,3,3.749193e-01,1,5.296614e-01,1,9,1954,3
E,3,5.296614e-01,1,5.296614e-01,1,26,2000,3
