aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,3.686070e-01,1,6.313930e-01,1,1,152,1
E,1,6.313930e-01,1,6.313930e-01,1,7,295,1
E,1,6.313930e-01,1,6.313930e-01,1,7,450,1
E,1,6.313930e-01,1,6.313930e-01,1,7,1022,1
E,1,6.313930e-01,1,6.313930e-01,1,7,1077,1
E,1,6.313930e-01,1,6.313930e-01,1,7,1352,1
E,1,6.313930e-01,1,6.313930e-01,1,7,1492,1
E,1,6.313930e-01,1,6.313930e-01,1,7,1554,1
E,2,3.986571e-01,1,4.654718e-01,1,4,10,0
E,2,4.654718e-01,1,4.654718e-01,1,6,325,0
E,2,3.986571e-01,1,4.654718e-01,1,4,340,0
E,2,4.654718e-01,1,4.654718e-01,1,6,478,0
E,2,4.654718e-01,1,4.654718e-01,1,6,684,0
E,2,1.358711e-01,1,4.654718e-01,1,3,781,0
E,2,1.358711e-01,1,4.654718e-01,1,3,947,0
E,2,1.358711e-01,1,4.654718e-01,1,3,1321,0
E,2,4.654718e-01,1,4.654718e-01,1,6,1489,0
E,2,3.986571e-01,1,4.654718e-01,1,4,1493,0
E,2,4.654718e-01,1,4.654718e-01,1,6,1586,0
E,2,4.654718e-01,1,4.654718e-01,1,6,1680,0
E,2,3.986571e-01,1,4.654718e-01,1,4,1681,0
E,3,2.573643e-01,1,4.408434e-01,1,9,69,2
E,3,2.573643e-01,1,4.408434e-01,1,9,114,2
E,3,2.573643e-01,1,4.408434e-01,1,9,121,2
E,3,4.408434e-01,1,4.408434e-01,1,7,181,2
E,3,2.517093e-01,1,4.408434e-01,1,3,1004,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1052,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1089,2
E,3,2.517093e-01,1,4.408434e-01,1,3,1181,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1263,2
E,3,2.517093e-01,1,4.408434e-01,1,3,1293,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1330,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1336,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1381,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1522,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1584,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1648,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1684,2
E,3,2.573643e-01,1,4.408434e-01,1,9,1752,2
E,3,4.408434e-01,1,4.408434e-01,1,7,1758,2
E,4,1.589275e-01,1,3.711272e-01,1,6,127,0
E,4,3.249960e-01,1,3.711272e-01,1,12,144,0
E,4,1.589275e-01,1,3.711272e-01,1,6,229,0
E,4,3.249960e-01,1,3.711272e-01,1,12,286,0
E,4,3.711272e-01,1,3.711272e-01,1,6,346,0
E,4,1.589275e-01,1,3.711272e-01,1,6,369,0
E,4,3.249960e-01,1,3.711272e-01,1,12,477,0
E,4,3.249960e-01,1,3.711272e-01,1,12,479,0
E,4,3.249960e-01,1,3.711272e-01,1,12,507,0
E,4,3.711272e-01,1,3.711272e-01,1,6,788,0
E,4,3.711272e-01,1,3.711272e-01,1,6,812,0
E,4,3.249960e-01,1,3.711272e-01,1,12,864,0
E,4,3.711272e-01,1,3.711272e-01,1,6,991,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1133,0
E,4,1.264884e-01,1,3.711272e-01,1,2,1139,0
E,4,1.589275e-01,1,3.711272e-01,1,6,1200,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1260,0
E,4,1.589275e-01,1,3.711272e-01,1,6,1262,0
E,4,1.264884e-01,1,3.711272e-01,1,2,1343,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1350,0
E,4,3.711272e-01,1,3.711272e-01,1,6,1363,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1390,0
E,4,1.589275e-01,1,3.711272e-01,1,6,1506,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1595,0
E,4,3.711272e-01,1,3.711272e-01,1,6,1643,0
E,4,3.249960e-01,1,3.711272e-01,1,12,1819,0
E,5,2.929089e-01,1,3.420003e-01,1,9,48,1
E,5,2.929089e-01,1,3.420003e-01,1,9,134,1
E,5,2.929089e-01,1,3.420003e-01,1,9,183,1
E,5,2.929089e-01,1,3.420003e-01,1,9,227,1
E,5,2.929089e-01,1,3.420003e-01,1,9,287,1
E,5,3.420003e-01,1,3.420003e-01,1,8,288,1
E,5,1.996597e-01,1,3.420003e-01,1,4,305,1
E,5,3.420003e-01,1,3.420003e-01,1,8,413,1
