species,gene,entropyValue,entropyLocation,length
saccharomyces_sp_boulardii_,KO01_05242,-0.000000,0.451172,11
saccharomyces_cerevisiae_x_saccharomyces_kudriavzevii_vin7,VIN7_5154,-0.000000,0.451172,11
saccharomyces_eubayanus,DI49_5596,-0.000000,0.451172,11
saccharomyces_arboricola_h_6,SU7_3707,0.030588,0.773751,11
tetrapisispora_phaffii_cbs_4417,TPHA_0A05720,0.012846,0.612518,12
naumovozyma_dairenensis_cbs_421,NDAI_0B05920,0.172277,0.978935,10
zygosaccharomyces_bailii_isa1307,ZBAI_07849,0.009538,0.576245,14
zygosaccharomyces_bailii_isa1307,ZBAI_01991,0.009538,0.576245,14
zygosaccharomyces_rouxii,ZYRO0G20372g,-0.000000,0.392761,15
kazachstania_naganishii_cbs_8797,KNAG_0A07990,0.052013,0.854254,12
_candida_glabrata,CAGL0F04829g,-0.000000,0.546875,7
kazachstania_africana_cbs_2517,KAFR_0G03740,0.012846,0.612518,12
lachancea_thermotolerans_cbs_6340,KLTH0G02332g,0.027893,0.711263,8
kluyveromyces_marxianus_dmku3_1042,KLMA_20542,0.569059,0.999893,12
saccharomycetaceae_sp_ashbya_aceri_,AACERI_AaceriAFR320W,0.322684,0.998482,10
kluyveromyces_lactis,KLLA0_E03873g,0.103373,0.965210,15
eremothecium_cymbalariae_dbvpg_7215,Ecym_1228,0.030588,0.773751,11
eremothecium_sinecaudum,AW171_hschr31685,0.030588,0.773751,11
ashbya_gossypii,AGOS_AFR320W,0.093602,0.934887,11
lachancea_lanzarotensis,LALA0_S06e06678g,0.045052,0.820465,9
hanseniaspora_uvarum_dsm_2768,D499_0N00170,0.119590,0.961793,12
hanseniaspora_osmophila,AWRI3579_g4568,0.322684,0.998482,10
hanseniaspora_opuntiae,AWRI3578_g1517,0.119590,0.961793,12
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_15394,0.229920,0.984563,7
hanseniaspora_valbyensis_nrrl_y_1626,HANVADRAFT_14595,0.101366,0.875133,4
candida_maltosa_xu316,G210_0158,0.109078,0.981362,19
_candida_tenuis_atcc_10573,CANTEDRAFT_115888,0.013126,0.667826,17
candida_tanzawaensis_nrrl_y_17324,CANTADRAFT_27469,0.136693,0.987646,17
meyerozyma_guilliermondii_atcc_6260,PGUG_02375,0.136693,0.987646,17
babjeviella_inositovora_nrrl_y_12698,BABINDRAFT_41597,0.137828,0.977784,13
candida_orthopsilosis_co_90_125,CORT_0C05040,0.005853,0.519638,18
candida_albicans_wo_1,CAWG_02800,-0.000000,0.352394,19
metschnikowia_bicuspidata_var_bicuspidata_nrrl_yb_4993,METBIDRAFT_36423,0.004766,0.496975,20
candida_dubliniensis_cd36,CD36_84850,-0.000000,0.185471,18
spathaspora_passalidarum_nrrl_y_27907,SPAPADRAFT_61991,0.080487,0.951273,17
debaryomyces_fabryi,AC631_02800,0.004766,0.496975,20
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0C01520g,0.050809,0.881805,15
hyphopichia_burtonii_nrrl_y_1933,HYPBUDRAFT_153293,-0.000000,0.418945,13
candida_parapsilosis_cdc317,CPAR2_405640,0.013126,0.667826,17
millerozyma_farinosa_cbs_7064,GNLVRS01_PISO0D01609g,0.136693,0.987646,17
scheffersomyces_stipitis_cbs_6054,PICST_30867,0.096444,0.969915,18
debaryomyces_hansenii_cbs767,DEHA2B14476g,0.004766,0.496975,20
_candida_auris,QG37_04403,0.031902,0.833276,19
candida_tropicalis_mya_3404,CTRG_02347,-0.000000,0.352394,19
clavispora_lusitaniae_atcc_42720,CLUG_01966,0.010562,0.641054,19
lodderomyces_elongisporus_nrrl_yb_4239,LELG_02837,0.007263,0.595524,23
ascoidea_rubescens_dsm_1968,ASCRUDRAFT_39163,0.160267,0.987314,14
kuraishia_capsulata_cbs_1993,KUCA_T00005440001,0.229920,0.984563,7
pichia_membranifaciens_nrrl_y_2026,PICMEDRAFT_18820,0.093602,0.934887,11
wickerhamomyces_anomalus_nrrl_y_366_8,WICANDRAFT_37070,-0.000000,0.492187,9
ogataea_parapolymorpha_dl_1,HPODL_03892,0.074194,0.890977,10
kuraishia_capsulata_cbs_1993,KUCA_T00005442001,0.229920,0.984563,7
komagataella_pastoris,PAS_chr4_0500,0.016754,0.698491,15
wickerhamomyces_ciferrii,BN7_6565,0.375600,0.996844,13
ogataea_polymorpha,OGAPODRAFT_82313,-0.000000,0.492187,9
cyberlindnera_jadinii,BN1211_5760,0.088010,0.942839,14
komagataella_phaffii_cbs_7435,PP7435_CHR4-0476,0.016754,0.698491,15
brettanomyces_bruxellensis_awri1499,AWRI1499_4641,0.050809,0.881805,15
candida_arabinofermentans_nrrl_yb_2248,CANARDRAFT_6045,0.259288,0.998436,14
lipomyces_starkeyi_nrrl_y_11557,LIPSTDRAFT_76552,-0.000000,0.451172,11
geotrichum_candidum,BN980_GECA04s05191g,0.322684,0.998482,10
sugiyamaella_lignohabitans,AWJ20_2526,-0.000000,0.546875,7
geotrichum_candidum,BN980_GECA05s06599g,0.229920,0.984563,7
yarrowia_lipolytica,YALI0_C04114g,0.581493,0.998436,14
nadsonia_fulvescens_var_elongata_dsm_6958,NADFUDRAFT_45575,0.052013,0.854254,12
emmonsia_parva_uamh_139,EMPG_11039,-0.000000,0.492187,9
colletotrichum_tofieldiae,CT0861_12126,0.557779,0.999395,11
neofusicoccum_parvum_ucrnp2,UCRNP2_9848,0.537365,0.996377,9
xylona_heveae_tc161,L228DRAFT_251472,0.172277,0.978935,10
trichophyton_equinum_cbs_127_97,TEQG_04451,-0.000000,0.273438,8
blastomyces_gilchristii_slh14081,BDBG_01965,-0.000000,0.492187,9
trichophyton_tonsurans_cbs_112818,TESG_07353,-0.000000,0.273438,8
exophiala_mesophila,PV10_00382,0.027893,0.711263,8
talaromyces_marneffei_atcc_18224,PMAA_012970,-0.000000,0.312500,6
metarhizium_brunneum_arsef_3297,MBR_08240,0.193476,0.988643,11
bipolaris_maydis_c5,COCHEDRAFT_1020499,0.572904,0.996844,13
myceliophthora_thermophila_atcc_42464,MYCTH_2313954,0.569059,0.999893,12
aspergillus_nidulans,CADANIAG00010085,0.027893,0.711263,8
drechslerella_stenobrocha_248,DRE_00085,0.322684,0.998482,10
sphaerulina_musiva_so2202,SEPMUDRAFT_148360,0.093602,0.934887,11
aspergillus_clavatus,CADACLAG00003192,0.293229,0.996377,9
sporothrix_schenckii_atcc_58251,HMPREF1624_05025,0.259288,0.998436,14
ustilaginoidea_virens,UV8b_1618,0.119590,0.961793,12
penicillium_digitatum_phi26,PDIG_04120,0.114536,0.930077,8
aschersonia_aleyrodis_rcef_2490,AAL_05689,0.322684,0.998482,10
colletotrichum_gloeosporioides,CGGC5_1360,0.405680,0.999876,27
microsporum_gypseum_cbs_118893,MGYG_05931,0.027893,0.711263,8
colletotrichum_nymphaeae_sa_01,CNYM01_14326,0.537365,0.996377,9
penicillium_italicum,PITC_001930,0.139196,0.961212,9
rhinocladiella_mackenziei_cbs_650_93,Z518_09705,0.027893,0.711263,8
colletotrichum_sublineola,CSUB01_07480,0.339788,0.999395,11
fonsecaea_erecta,AYL99_01563,0.229920,0.984563,7
podospora_anserina_s_mat_,PODANS_1_17290,0.093602,0.934887,11
metarhizium_anisopliae,MANI_017985,0.030588,0.773751,11
marssonina_brunnea_f_sp_multigermtubi_mb_m1,MBM_07263,0.054716,0.958437,30
eutypa_lata_ucrel1,UCREL1_4977,0.339788,0.999395,11
coniosporium_apollinis_cbs_100218,W97_06922,0.074194,0.890977,10
exophiala_dermatitidis_nih_ut8656,HMPREF1120_06789,0.027893,0.711263,8
stachybotrys_chartarum_ibt_40293,S40293_01446,0.322684,0.998482,10
fonsecaea_monophora,AYO21_01339,-0.000000,0.312500,6
aspergillus_cristatus,SI65_09874,0.067344,0.907934,13
trichoderma_gamsii,TGAM01_10058,0.193476,0.988643,11
arthroderma_otae_cbs_113480,MCYG_06033,0.271132,0.992592,8
aspergillus_udagawae,AUD_4393,0.271132,0.992592,8
aspergillus_luchuensis,RIB2604_01710650,0.537365,0.996377,9
beauveria_bassiana_arsef_2860,BBA_02425,0.045052,0.820465,9
acremonium_chrysogenum_atcc_11550,ACRE_072310,0.119590,0.961793,12
capronia_semi_immersa,PV04_04845,0.271132,0.992592,8
paracoccidioides_brasiliensis_pb18,PADG_04218,-0.000000,0.246094,10
fusarium_pseudograminearum,FPSE_11062,0.136693,0.987646,17
trichophyton_violaceum,A7D00_4621,-0.000000,0.273438,8
cladophialophora_yegresii_cbs_114405,A1O7_04436,0.507907,0.984563,7
pyronema_omphalodes_cbs_100304,PCON_11282,0.219921,0.994028,12
metarhizium_guizhouense_arsef_977,MGU_03411,0.193476,0.988643,11
stemphylium_lycopersici,TW65_03426,0.237772,0.996844,13
fusarium_graminearum,FGRAMPH1_01T10991,0.136693,0.987646,17
rasamsonia_emersonii_cbs_393_64,T310_9455,0.531062,0.992592,8
gaeumannomyces_graminis,GGTG_11975,0.293229,0.996377,9
diaporthe_helianthi,DHEL01_07649,0.572904,0.996844,13
erysiphe_necator,EV44_g5743,0.030588,0.773751,11
trichophyton_rubrum_cbs_118892,TERG_06072,-0.000000,0.273438,8
paracoccidioides_sp_lutzii_pb01,PAAG_08825,-0.000000,0.246094,10
penicillium_rubens_wisconsin_54_1255,PCH_Pc20g03570,0.139196,0.961212,9
coccidioides_posadasii_str_silveira,CPSG_09426,-0.000000,0.273438,8
cordyceps_militaris_cm01,CCM_00772,0.172277,0.978935,10
capronia_epimyces_cbs_606_96,A1O3_01862,0.027893,0.711263,8
cladophialophora_psammophila_cbs_110553,A1O5_03613,0.072975,0.875173,7
diplodia_seriata,UCDDS831_g07276,0.293229,0.996377,9
aspergillus_calidoustus,ASPCAL10544,0.531062,0.992592,8
phaeoacremonium_minimum_ucrpa7,UCRPA7_4821,0.569059,0.999893,12
penicillium_camemberti_fm_013,PCAMFM013_S004g000496,0.322684,0.998482,10
baudoinia_panamericana_uamh_10762,BAUCODRAFT_570031,0.193476,0.988643,11
cordyceps_brongniartii_rcef_3172,BBO_06147,0.045052,0.820465,9
escovopsis_weberi,ESCO_001647,0.552943,0.998482,10
aspergillus_rambellii,ARAM_003201,0.172277,0.978935,10
oidiodendron_maius_zn,OIDMADRAFT_180362,0.072593,0.993603,42
trichophyton_verrucosum_hki_0517,TRV_07302,-0.000000,0.273438,8
aureobasidium_melanogenum_cbs_110374,M437DRAFT_42399,0.322684,0.998482,10
penicillium_brasilianum,PMG11_05967,0.361984,0.999893,12
metarhizium_majus_arsef_297,MAJ_08784,0.193476,0.988643,11
grosmannia_clavigera_kw1407,CMQ_8294,0.569059,0.999893,12
sporothrix_brasiliensis_5110,SPBR_05046,0.259288,0.998436,14
arthrobotrys_oligospora_atcc_24927,AOL_s00173g183,-0.000000,0.246094,10
