aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,10,120,1
E,1,5.000000e-01,2,5.000000e-01,2,10,524,1
E,1,5.000000e-01,2,5.000000e-01,2,10,545,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1022,0
E,1,5.000000e-01,2,5.000000e-01,2,10,1084,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1260,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1344,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1484,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1535,1
E,1,5.000000e-01,2,5.000000e-01,2,10,1575,1
E,2,2.500000e-01,2,5.000000e-01,1,14,7,2
E,2,2.500000e-01,2,5.000000e-01,1,14,110,2
E,2,2.500000e-01,2,5.000000e-01,1,14,179,2
E,2,2.500000e-01,2,5.000000e-01,1,14,204,2
E,2,2.500000e-01,2,5.000000e-01,1,14,238,2
E,2,5.000000e-01,1,5.000000e-01,1,10,453,1
E,2,2.500000e-01,2,5.000000e-01,1,14,647,2
E,2,2.500000e-01,2,5.000000e-01,1,14,793,2
E,2,5.000000e-01,1,5.000000e-01,1,10,801,1
E,2,5.000000e-01,1,5.000000e-01,1,10,930,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1034,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1043,2
E,2,2.500000e-01,2,5.000000e-01,1,14,1053,2
E,2,2.500000e-01,2,5.000000e-01,1,14,1209,2
E,2,5.000000e-01,1,5.000000e-01,1,10,1247,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1258,2
E,2,5.000000e-01,1,5.000000e-01,1,10,1305,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1361,2
E,2,5.000000e-01,1,5.000000e-01,1,10,1374,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1397,1
E,2,2.500000e-01,2,5.000000e-01,1,14,1588,2
E,2,5.000000e-01,1,5.000000e-01,1,10,1709,1
E,2,5.000000e-01,1,5.000000e-01,1,10,1795,1
E,2,2.500000e-01,2,5.000000e-01,1,14,2051,2
E,3,3.750000e-01,2,3.750000e-01,2,21,24,2
E,3,3.750000e-01,2,3.750000e-01,2,21,36,1
E,3,3.750000e-01,2,3.750000e-01,2,21,117,2
E,3,3.750000e-01,2,3.750000e-01,2,21,121,2
E,3,3.750000e-01,2,3.750000e-01,2,21,138,2
E,3,1.250000e-01,2,3.750000e-01,2,9,210,3
E,3,3.750000e-01,2,3.750000e-01,2,21,281,2
E,3,3.750000e-01,2,3.750000e-01,2,21,337,2
E,3,3.750000e-01,2,3.750000e-01,2,21,377,2
E,3,1.250000e-01,2,3.750000e-01,2,9,396,3
E,3,3.750000e-01,2,3.750000e-01,2,21,409,1
E,3,3.750000e-01,2,3.750000e-01,2,21,464,2
E,3,1.250000e-01,2,3.750000e-01,2,9,649,0
E,3,1.250000e-01,2,3.750000e-01,2,9,660,3
E,3,3.750000e-01,2,3.750000e-01,2,21,726,1
E,3,3.750000e-01,2,3.750000e-01,2,21,789,2
E,3,1.250000e-01,2,3.750000e-01,2,9,901,3
E,3,3.750000e-01,2,3.750000e-01,2,21,905,2
E,3,1.250000e-01,2,3.750000e-01,2,9,950,3
E,3,3.750000e-01,2,3.750000e-01,2,21,1198,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1262,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1295,2
E,3,1.250000e-01,2,3.750000e-01,2,9,1301,3
E,3,1.250000e-01,2,3.750000e-01,2,9,1398,3
E,3,3.750000e-01,2,3.750000e-01,2,21,1439,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1550,1
E,3,3.750000e-01,2,3.750000e-01,2,21,1594,2
E,3,3.750000e-01,2,3.750000e-01,2,21,1779,1
E,3,1.250000e-01,2,3.750000e-01,2,9,1948,3
E,3,3.750000e-01,2,3.750000e-01,2,21,2044,2
E,4,6.250000e-02,2,3.750000e-01,1,14,74,4
E,4,2.500000e-01,2,3.750000e-01,1,11,116,3
E,4,3.750000e-01,1,3.750000e-01,1,9,177,2
E,4,6.250000e-02,2,3.750000e-01,1,14,207,4
E,4,3.750000e-01,1,3.750000e-01,1,9,342,2
E,4,6.250000e-02,2,3.750000e-01,1,14,361,4
E,4,3.750000e-01,1,3.750000e-01,1,9,416,2
E,4,6.250000e-02,2,3.750000e-01,1,14,423,0
E,4,6.250000e-02,2,3.750000e-01,1,14,437,4
E,4,3.750000e-01,1,3.750000e-01,1,9,475,2
E,4,2.500000e-01,2,3.750000e-01,1,11,679,3
E,4,2.500000e-01,2,3.750000e-01,1,11,697,3
E,4,6.250000e-02,2,3.750000e-01,1,14,762,4
E,4,6.250000e-02,2,3.750000e-01,1,14,822,4
E,4,2.500000e-01,2,3.750000e-01,1,11,833,1
E,4,6.250000e-02,2,3.750000e-01,1,14,900,4
E,4,2.500000e-01,2,3.750000e-01,1,11,1037,3
E,4,2.500000e-01,2,3.750000e-01,1,11,1113,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1133,2
E,4,6.250000e-02,2,3.750000e-01,1,14,1173,0
E,4,6.250000e-02,2,3.750000e-01,1,14,1227,4
E,4,3.750000e-01,1,3.750000e-01,1,9,1252,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1263,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1302,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1360,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1384,2
E,4,2.500000e-01,2,3.750000e-01,1,11,1448,3
E,4,3.750000e-01,1,3.750000e-01,1,9,1490,2
E,4,6.250000e-02,2,3.750000e-01,1,14,1525,4
E,4,2.500000e-01,2,3.750000e-01,1,11,1536,3
E,4,6.250000e-02,2,3.750000e-01,1,14,1808,0
E,4,6.250000e-02,2,3.750000e-01,1,14,1831,4
E,4,6.250000e-02,2,3.750000e-01,1,14,1839,4
E,4,2.500000e-01,2,3.750000e-01,1,11,2065,3
E,5,3.125000e-02,2,3.125000e-01,2,14,61,5
E,5,3.125000e-02,2,3.125000e-01,2,14,178,5
E,5,3.125000e-02,2,3.125000e-01,2,14,194,5
E,5,1.562500e-01,2,3.125000e-01,2,9,267,4
E,5,1.562500e-01,2,3.125000e-01,2,9,336,4
E,5,3.125000e-02,2,3.125000e-01,2,14,371,5
E,5,1.562500e-01,2,3.125000e-01,2,9,387,1
E,5,3.125000e-01,2,3.125000e-01,2,14,451,2
E,5,3.125000e-01,2,3.125000e-01,2,14,535,3
E,5,3.125000e-01,2,3.125000e-01,2,14,543,3
E,5,3.125000e-01,2,3.125000e-01,2,14,572,3
E,5,3.125000e-01,2,3.125000e-01,2,14,574,2
E,5,3.125000e-02,2,3.125000e-01,2,14,605,5
