aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,5.000000e-01,2,5.000000e-01,2,27,37,1
E,1,5.000000e-01,2,5.000000e-01,2,27,42,0
E,1,5.000000e-01,2,5.000000e-01,2,27,69,1
E,1,5.000000e-01,2,5.000000e-01,2,27,101,1
E,1,5.000000e-01,2,5.000000e-01,2,27,136,1
E,1,5.000000e-01,2,5.000000e-01,2,27,191,1
E,1,5.000000e-01,2,5.000000e-01,2,27,520,1
E,1,5.000000e-01,2,5.000000e-01,2,27,667,0
E,1,5.000000e-01,2,5.000000e-01,2,27,713,1
E,1,5.000000e-01,2,5.000000e-01,2,27,718,1
E,1,5.000000e-01,2,5.000000e-01,2,27,773,1
E,1,5.000000e-01,2,5.000000e-01,2,27,930,1
E,1,5.000000e-01,2,5.000000e-01,2,27,973,1
E,1,5.000000e-01,2,5.000000e-01,2,27,1033,1
E,1,5.000000e-01,2,5.000000e-01,2,27,1075,1
E,1,5.000000e-01,2,5.000000e-01,2,27,1269,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1315,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1328,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1595,0
E,1,5.000000e-01,2,5.000000e-01,2,27,1664,1
E,1,5.000000e-01,2,5.000000e-01,2,27,1799,1
E,1,5.000000e-01,2,5.000000e-01,2,27,1925,1
E,1,5.000000e-01,2,5.000000e-01,2,27,2150,1
E,1,5.000000e-01,2,5.000000e-01,2,27,2347,1
E,1,5.000000e-01,2,5.000000e-01,2,27,2391,1
E,1,5.000000e-01,2,5.000000e-01,2,27,2791,0
E,1,5.000000e-01,2,5.000000e-01,2,27,2878,0
E,2,2.500000e-01,2,5.000000e-01,1,30,8,2
E,2,2.500000e-01,2,5.000000e-01,1,30,23,2
E,2,5.000000e-01,1,5.000000e-01,1,17,79,1
E,2,2.500000e-01,2,5.000000e-01,1,30,106,0
E,2,2.500000e-01,2,5.000000e-01,1,30,109,2
E,2,5.000000e-01,1,5.000000e-01,1,17,166,1
E,2,5.000000e-01,1,5.000000e-01,1,17,183,1
E,2,5.000000e-01,1,5.000000e-01,1,17,306,1
E,2,5.000000e-01,1,5.000000e-01,1,17,378,1
