aa,L,Pi,DegPi,Pmax,DegPmax,Freq,GeneId,Codon1
E,1,8.806727e-01,1,8.806727e-01,1,18,191,0
E,1,8.806727e-01,1,8.806727e-01,1,18,391,0
E,1,8.806727e-01,1,8.806727e-01,1,18,606,0
E,1,8.806727e-01,1,8.806727e-01,1,18,658,0
E,1,8.806727e-01,1,8.806727e-01,1,18,760,0
E,1,8.806727e-01,1,8.806727e-01,1,18,886,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1002,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1032,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1168,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1253,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1338,0
E,1,1.193273e-01,1,8.806727e-01,1,1,1398,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1513,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1854,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1878,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1921,0
E,1,8.806727e-01,1,8.806727e-01,1,18,1974,0
E,1,8.806727e-01,1,8.806727e-01,1,18,2099,0
E,1,8.806727e-01,1,8.806727e-01,1,18,2282,0
E,2,2.101766e-01,1,7.755844e-01,1,5,27,1
E,2,7.755844e-01,1,7.755844e-01,1,19,87,1
E,2,7.755844e-01,1,7.755844e-01,1,19,109,1
E,2,7.755844e-01,1,7.755844e-01,1,19,192,1
E,2,7.755844e-01,1,7.755844e-01,1,19,232,1
E,2,7.755844e-01,1,7.755844e-01,1,19,287,1
E,2,7.755844e-01,1,7.755844e-01,1,19,621,1
E,2,7.755844e-01,1,7.755844e-01,1,19,655,1
E,2,2.101766e-01,1,7.755844e-01,1,5,656,1
E,2,7.755844e-01,1,7.755844e-01,1,19,895,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1128,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1184,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1204,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1241,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1475,1
E,2,2.101766e-01,1,7.755844e-01,1,5,1708,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1729,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1767,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1817,1
E,2,7.755844e-01,1,7.755844e-01,1,19,1937,1
E,2,7.755844e-01,1,7.755844e-01,1,19,2162,1
E,2,2.101766e-01,1,7.755844e-01,1,5,2248,1
E,2,2.101766e-01,1,7.755844e-01,1,5,2261,1
E,2,7.755844e-01,1,7.755844e-01,1,19,2349,1
E,2,1.423900e-02,1,7.755844e-01,1,1,2357,1
E,3,6.830360e-01,1,6.830360e-01,1,23,48,0
E,3,2.776452e-01,1,6.830360e-01,1,6,125,0
E,3,6.830360e-01,1,6.830360e-01,1,23,139,0
E,3,2.776452e-01,1,6.830360e-01,1,6,286,0
E,3,6.830360e-01,1,6.830360e-01,1,23,306,0
E,3,6.830360e-01,1,6.830360e-01,1,23,350,0
E,3,6.830360e-01,1,6.830360e-01,1,23,379,0
E,3,6.830360e-01,1,6.830360e-01,1,23,527,0
E,3,6.830360e-01,1,6.830360e-01,1,23,623,0
E,3,6.830360e-01,1,6.830360e-01,1,23,708,0
E,3,2.776452e-01,1,6.830360e-01,1,6,719,0
